author,seed_doi,seed_title,seed_short_title,n_seed_dois_cited_by_author,n_citing_works_by_author
Johannes Haushofer,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,10
Johannes Haushofer,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,10
Johannes Haushofer,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,10
Ahmed Mushfiq Mobarak,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,3,8
Ahmed Mushfiq Mobarak,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,3,8
Ahmed Mushfiq Mobarak,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,8
Dean Karlan,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,7
Dean Karlan,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,7
Dean Karlan,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,3,7
Vikram Patel,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,6
Vikram Patel,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,6
Vikram Patel,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,6
Abhijit Banerjee,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,5
Abhijit Banerjee,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,3,5
Abhijit Banerjee,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,5
Asad Islam,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,5
Asad Islam,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,5
Asad Islam,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,5
David E. Bloom,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,3,5
David E. Bloom,10.3386/w26775,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,3,5
David E. Bloom,10.3386/w30202,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts…,3,5
David Manheim,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,3,5
David Manheim,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,3,5
David Manheim,10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance,3,5
Gharad Bryan,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,3,5
Gharad Bryan,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,5
Gharad Bryan,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,3,5
Kate Orkin,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,5
Kate Orkin,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,5
Kate Orkin,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,5
Tabassum Rahman,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,5
Tabassum Rahman,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,5
Tabassum Rahman,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,5
Christopher Blattman,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,4
Christopher Blattman,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,3,4
Christopher Blattman,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,4
Crick Lund,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,4
Crick Lund,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,4
Crick Lund,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,4
Judith Bass,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,4
Judith Bass,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,4
Judith Bass,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,4
Margaret A. Sheridan,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,4
Margaret A. Sheridan,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,3,4
Margaret A. Sheridan,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,4
Nathan Barker,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,4
Nathan Barker,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,3,4
Nathan Barker,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,4
Wietse A. Tol,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,4
Wietse A. Tol,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,4
Wietse A. Tol,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,4
Abu Bakkar Siddique,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
Abu Bakkar Siddique,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,3
Abu Bakkar Siddique,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
David Reinstein,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,3,3
David Reinstein,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,3,3
David Reinstein,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",3,3
Frank Schilbach,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
Frank Schilbach,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,3
Frank Schilbach,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
John A. List,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,3,3
John A. List,10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?",3,3
John A. List,10.3386/w32093,Cash Transfers for Child Development: Experimental Evidence from India,Cash Transfers for Child Development,3,3
John R. Walker,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
John R. Walker,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,3
John R. Walker,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
Laura Murray,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
Laura Murray,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,3
Laura Murray,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
Mahreen Mahmud,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
Mahreen Mahmud,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,3,3
Mahreen Mahmud,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
Marc Witte,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
Marc Witte,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,3
Marc Witte,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
Sarah M. Murray,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
Sarah M. Murray,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,3
Sarah M. Murray,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
Thandi Davies,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,3
Thandi Davies,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,3
Thandi Davies,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,3
Francesco Capozza,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,3,2
Francesco Capozza,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,2
Francesco Capozza,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,2
Luca Parisotto,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,3,2
Luca Parisotto,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,3,2
Luca Parisotto,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,2
Sarah Baird,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,3,2
Sarah Baird,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,3,2
Sarah Baird,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,2
Michael Mulford,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,3,1
Michael Mulford,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,3,1
Michael Mulford,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",3,1
Ugo Gentilini,10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…,2,18
Ugo Gentilini,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,2,18
David Denkenberger,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,2,9
David Denkenberger,10.31219/osf.io/vrmpf,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,2,9
Matthew O. Jackson,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,2,7
Matthew O. Jackson,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,7
Christopher B. Barrett,10.1257/aeri.20230431,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,Money (Not) to Burn,2,6
Christopher B. Barrett,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,2,6
Corey Vernot,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,5
Corey Vernot,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",2,5
Joshua M. Pearce,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,2,5
Joshua M. Pearce,10.31219/osf.io/vrmpf,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,2,5
Nicolas Treich,10.1080/21606544.2022.2138980,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,The animal welfare cost of meat,2,5
Nicolas Treich,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,2,5
Romain Espinosa,10.1080/21606544.2022.2138980,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,The animal welfare cost of meat,2,5
Romain Espinosa,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,2,5
Ross Tieman,10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,Long term cost-effectiveness of resilient foods for global catastrophes compared…,2,5
Ross Tieman,10.31219/osf.io/vrmpf,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,2,5
Erin Kelley,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,4
Erin Kelley,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",2,4
Giovanna D’Adda,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,2,4
Giovanna D’Adda,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,4
Olivier Sterck,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,4
Olivier Sterck,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,4
Christopher Udry,10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…,2,3
Christopher Udry,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,2,3
Dennis Egger,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Dennis Egger,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",2,3
Emily Breza,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Emily Breza,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,3
Fatima Zahra,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Fatima Zahra,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",2,3
Gaurav Khanna,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Gaurav Khanna,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,2,3
Gregory Lane,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Gregory Lane,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",2,3
Howard White,10.1257/pandp.20201017,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments,2,3
Howard White,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Jenny C. Aker,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,3
Jenny C. Aker,10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Building Resilient Education Systems,2,3
Jessica Leight,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,2,3
Jessica Leight,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,3
Joël Cariolle,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,3
Joël Cariolle,10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Building Resilient Education Systems,2,3
Liu Yong,10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth,2,3
Liu Yong,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Maarten Voors,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,2,3
Maarten Voors,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",2,3
Massimo Tavoni,10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,Information Avoidance and Moral Behavior,2,3
Massimo Tavoni,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,3
Patricio Domínguez,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,2,3
Patricio Domínguez,10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge,2,3
Reshmaan Hussam,10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,2,3
Reshmaan Hussam,10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…",2,3
Santiago M. Perez‐Vincent,10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…,2,3
