seed_doi,seed_title,seed_short_title
10.21428/d28e8e57.b9775e89,"Evaluation Summary and Metrics: ""Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China""",Evaluation Summary and Metrics
10.21428/d28e8e57.ba2f2053,"Evaluation Summary and Metrics: ""Willful Ignorance and Moral Behavior""",Evaluation Summary and Metrics
10.21428/d28e8e57.c4f3e6dd,"Evaluation Summary and Metrics: ""Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis""",Evaluation Summary and Metrics
10.21428/d28e8e57.c873de57,"Evaluation Summary and Metrics: ""Ends versus Means: Kantians, Utilitarians, and Moral Decisions""",Evaluation Summary and Metrics
10.21428/d28e8e57.d3d8000c,"Evaluation Summary and Metrics: ""Effects of Emigration on Rural Labor Markets""",Evaluation Summary and Metrics
10.21428/d28e8e57.db6fdb17,Evaluation Summary and Metrics: 'The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor',Evaluation Summary and Metrics
10.21428/d28e8e57.df86328a,"Evaluation Summary and Metrics: ""Choose Your Moments: NIH Peer Review and Scientific Risk Taking""",Evaluation Summary and Metrics
10.21428/d28e8e57.e3542c83,Evaluation Summary and Metrics: “The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being”,Evaluation Summary and Metrics
10.21428/d28e8e57.eda321d0,"Evaluation Summary and Metrics: ""The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers""",Evaluation Summary and Metrics
10.21428/d28e8e57.ef6f66cd,"Evaluation Summary and Metrics: ""Misperceptions and Demand for Democracy under Authoritarianism""",Evaluation Summary and Metrics
10.21428/d28e8e57.f5b7e124,"Evaluation Summary and Metrics: ""Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination In Indonesia""",Evaluation Summary and Metrics
10.21428/d28e8e57.ff4daa51,"Evaluation Summary and Metrics: ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",Evaluation Summary and Metrics
10.31219/osf.io/q6xyr,What works to reduce consumption of meat and animal products?,What works to reduce consumption of meat and animal products?
10.31219/osf.io/vrmpf,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…
10.3386/w23928,Artificial Intelligence and Economic Growth,Artificial Intelligence and Economic Growth
10.3386/w23929,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets
10.3386/w26752,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives
10.3386/w26775,Advance Market Commitments: Insights from Theory and Experience,Advance Market Commitments
10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,The Comparative Impact of Cash Transfers and a Psychotherapy Program…
10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,Selecting the Most Effective Nudge
10.3386/w29357,The Environmental Effects of Economic Production: Evidence from Ecological Observations,The Environmental Effects of Economic Production
10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…"
10.3386/w30126,Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Di…
10.3386/w30202,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts…
10.3386/w30624,Legalizing Entrepreneurship,Legalizing Entrepreneurship
10.3386/w30740,"When do ""Nudges"" Increase Welfare?","When do ""Nudges"" Increase Welfare?"
10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,Water Treatment And Child Mortality
10.3386/w31137,Biodiversity Risk,Biodiversity Risk
10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,Intergenerational Child Mortality Impacts of Deworming
10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,Building Resilient Education Systems
10.3386/w31272,Pharmaceutical Pricing and R&amp;D as a Global Public Good,Pharmaceutical Pricing and R&amp;D as a Global Public Good
10.3386/w31354,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,The Benefits and Costs of Guest Worker Programs
10.3386/w31409,Choose Your Moments: Peer Review and Scientific Risk Taking,Choose Your Moments
10.3386/w31554,Urban Forests: Environmental Health Values and Risks,Urban Forests
10.3386/w31663,"Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic Development","Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic…"
10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,The Effect of Public Science on Corporate R&amp;D
10.3386/w32073,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Ends versus Means
10.3386/w32093,Cash Transfers for Child Development: Experimental Evidence from India,Cash Transfers for Child Development
10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,The Macroeconomic Impact of Climate Change
10.3386/w32728,A Welfare Analysis of Policies Impacting Climate Change,A Welfare Analysis of Policies Impacting Climate Change
10.3386/w33018,Misperceptions and Demand for Democracy under Authoritarianism,Misperceptions and Demand for Democracy under Authoritarianism
10.48550/arxiv.2107.06476,Adaptability and the Pivot Penalty in Science,Adaptability and the Pivot Penalty in Science
10.48550/arxiv.2305.07153,Towards best practices in AGI safety and governance: A survey of expert opinion,Towards best practices in AGI safety and governance
10.48550/arxiv.2312.14289,The Returns to Science in the Presence of Technological Risk,The Returns to Science in the Presence of Technological Risk
