paper,metric,n_raters,midpoint_human,human_lo_union,human_hi_union,midpoint_llm,lower_llm,upper_llm,diff,human_mid_in_llm_CI,llm_mid_in_human_union,both_cover
Jack et al. 2022,advancing_knowledge,2,80.0,70.0,95.0,90,84,96,10.0,False,True,False
Kremer et al. 2020,advancing_knowledge,3,68.33,20.0,100.0,65,55,78,-3.33,True,True,True
Kremer et al. 2022,advancing_knowledge,2,72.5,45.0,90.0,92,85,98,19.5,False,False,False
Kubo et al. 2023,advancing_knowledge,2,75.0,70.0,80.0,75,65,85,0.0,True,True,True
Liang et al. 2021,advancing_knowledge,2,80.0,70.0,90.0,85,78,92,5.0,True,True,True
Schuett et al. 2023,advancing_knowledge,2,75.0,60.0,85.0,79,72,86,4.0,True,True,True
Trammel and Aschenbrenner 2025,advancing_knowledge,2,70.0,50.0,100.0,86,78,92,16.0,False,True,False
Walker et al. 2023,advancing_knowledge,3,83.33,70.0,95.0,88,78,95,4.67,True,True,True
Bruers 2021,claims_evidence,1,70.0,65.0,75.0,40,25,55,-30.0,False,False,False
Carson et al. 2023,claims_evidence,2,65.5,45.0,80.0,80,70,88,14.5,False,True,False
Clancy 2024,claims_evidence,2,82.0,16.0,90.0,75,60,85,-7.0,True,True,True
Hill et al. 2024,claims_evidence,1,82.0,74.0,90.0,83,74,90,1.0,True,True,True
Schuett et al. 2023,claims_evidence,2,75.0,65.0,90.0,82,75,88,7.0,True,True,True
Walker et al. 2023,claims_evidence,1,90.0,80.0,100.0,82,70,90,-8.0,True,True,True
Aghion et al. 2017,global_relevance,2,91.0,80.0,100.0,82,70,90,-9.0,False,True,False
Akram et al. 2017,global_relevance,2,70.0,50.0,90.0,80,72,88,10.0,False,True,False
Alatas et al. 2019,global_relevance,4,81.25,55.0,100.0,84,72,92,2.75,True,True,True
Alcott et al. 2024,global_relevance,4,16.0,1.0,32.0,78,68,86,62.0,False,False,False
Bahar et al. 2022,global_relevance,4,77.75,70.0,100.0,88,80,95,10.25,False,True,False
Banerjee et al. 2023,global_relevance,4,76.75,40.0,100.0,94,88,99,17.25,False,True,False
Barberio et al. 2022,global_relevance,4,65.0,50.0,90.0,88,82,95,23.0,False,True,False
Barker et al. 2021,global_relevance,4,62.5,40.0,60.0,85,75,93,22.5,False,False,False
Bettle 2023,global_relevance,2,60.0,10.0,95.0,72,55,85,12.0,True,True,True
Bhattacharya and Packalen 2020,global_relevance,2,50.0,40.0,60.0,70,55,85,20.0,False,False,False
Bruers 2021,global_relevance,2,80.0,70.0,90.0,65,50,80,-15.0,True,False,False
Buntaine et al. 2023,global_relevance,4,90.75,78.0,95.0,86,76,92,-4.75,True,True,True
Carson et al. 2023,global_relevance,4,65.0,40.0,89.0,75,65,85,10.0,True,True,True
Chuard et al. 2022,global_relevance,2,90.5,77.0,100.0,70,60,80,-20.5,False,False,False
Clancy 2024,global_relevance,6,72.5,18.0,100.0,88,78,95,15.5,False,True,False
Crawfurd et al. 2023,global_relevance,4,78.25,65.0,90.0,90,82,96,11.75,False,True,False
Epperson and Gerster 2024,global_relevance,4,85.0,33.0,100.0,68,55,78,-17.0,False,True,False
Fangwa et al. 2023,global_relevance,2,67.5,45.0,90.0,90,85,97,22.5,False,True,False
Haushofer et al. 2020,global_relevance,4,91.25,60.0,100.0,90,82,97,-1.25,True,True,True
Hill et al. 2024,global_relevance,2,80.0,70.0,90.0,86,77,93,6.0,True,True,True
Jack et al. 2022,global_relevance,4,92.5,80.0,100.0,95,90,99,2.5,True,True,True
Kremer et al. 2020,global_relevance,4,83.75,40.0,100.0,90,82,98,6.25,True,True,True
Kremer et al. 2022,global_relevance,4,51.25,0.0,95.0,95,90,99,43.75,False,True,False
Kubo et al. 2023,global_relevance,4,81.25,65.0,90.0,72,60,84,-9.25,True,True,True
Liang et al. 2021,global_relevance,4,82.5,60.0,95.0,75,65,85,-7.5,True,True,True
Schuett et al. 2023,global_relevance,4,80.0,60.0,100.0,87,82,92,7.0,False,True,False
Trammel and Aschenbrenner 2025,global_relevance,4,73.75,50.0,100.0,88,80,95,14.25,False,True,False
Walker et al. 2023,global_relevance,6,95.0,90.0,100.0,90,80,97,-5.0,True,True,True
Aghion et al. 2017,logic_communication,2,57.5,30.0,80.0,88,82,94,30.5,False,False,False
Akram et al. 2017,logic_communication,1,70.0,50.0,90.0,85,78,90,15.0,False,True,False
Alatas et al. 2019,logic_communication,2,77.5,70.0,85.0,86,78,92,8.5,False,False,False
Alcott et al. 2024,logic_communication,2,77.5,66.0,90.0,88,80,94,10.5,False,True,False
Bahar et al. 2022,logic_communication,2,79.0,50.0,100.0,82,75,88,3.0,True,True,True
Banerjee et al. 2023,logic_communication,2,78.0,40.0,91.0,90,84,95,12.0,False,True,False
Barberio et al. 2022,logic_communication,2,45.0,10.0,70.0,80,72,88,35.0,False,False,False
Barker et al. 2021,logic_communication,2,72.5,62.0,82.0,82,74,90,9.5,False,True,False
Bettle 2023,logic_communication,2,30.0,10.0,70.0,78,65,90,48.0,False,False,False
Bhattacharya and Packalen 2020,logic_communication,1,80.0,70.0,90.0,75,65,85,-5.0,True,True,True
Bruers 2021,logic_communication,1,90.0,85.0,95.0,60,50,70,-30.0,False,False,False
Buntaine et al. 2023,logic_communication,2,73.5,62.0,85.0,88,80,94,14.5,False,False,False
Carson et al. 2023,logic_communication,2,50.0,35.0,70.0,85,78,92,35.0,False,False,False
Chuard et al. 2022,logic_communication,1,91.0,81.0,100.0,85,77,92,-6.0,True,True,True
Clancy 2024,logic_communication,3,74.33,30.0,95.0,80,70,90,5.67,True,True,True
Crawfurd et al. 2023,logic_communication,2,70.5,58.0,80.0,82,72,90,11.5,False,False,False
Epperson and Gerster 2024,logic_communication,2,80.0,33.0,92.0,84,76,92,4.0,True,True,True
Fangwa et al. 2023,logic_communication,1,55.0,50.0,65.0,85,78,92,30.0,False,False,False
Haushofer et al. 2020,logic_communication,2,77.5,70.0,90.0,88,80,95,10.5,False,True,False
Hill et al. 2024,logic_communication,1,80.0,71.0,89.0,87,78,94,7.0,True,True,True
Jack et al. 2022,logic_communication,2,90.0,80.0,92.0,88,82,93,-2.0,True,True,True
Kremer et al. 2020,logic_communication,3,75.0,50.0,90.0,85,78,95,10.0,False,True,False
Kremer et al. 2022,logic_communication,2,72.5,30.0,100.0,87,80,94,14.5,False,True,False
Kubo et al. 2023,logic_communication,2,70.0,70.0,70.0,72,62,82,2.0,True,False,False
Liang et al. 2021,logic_communication,2,77.5,75.0,80.0,82,74,90,4.5,True,False,False
Schuett et al. 2023,logic_communication,2,82.5,70.0,90.0,88,84,93,5.5,False,True,False
Trammel and Aschenbrenner 2025,logic_communication,2,80.0,65.0,95.0,82,75,88,2.0,True,True,True
Walker et al. 2023,logic_communication,3,88.33,75.0,100.0,83,72,92,-5.33,True,True,True
Aghion et al. 2017,methods,2,75.0,40.0,90.0,68,55,78,-7.0,True,True,True
Akram et al. 2017,methods,1,70.0,50.0,90.0,78,70,85,8.0,True,True,True
Alatas et al. 2019,methods,2,67.5,55.0,80.0,90,83,95,22.5,False,False,False
Alcott et al. 2024,methods,2,77.5,50.0,90.0,82,72,90,4.5,True,True,True
Bahar et al. 2022,methods,2,76.0,50.0,97.0,86,80,92,10.0,False,True,False
Banerjee et al. 2023,methods,2,90.0,63.0,100.0,92,86,97,2.0,True,True,True
Barberio et al. 2022,methods,2,50.0,30.0,60.0,70,60,80,20.0,False,False,False
Barker et al. 2021,methods,2,75.0,82.0,94.0,78,68,88,3.0,True,False,False
Bettle 2023,methods,1,10.0,0.0,40.0,68,50,82,58.0,False,False,False
Bruers 2021,methods,1,65.0,60.0,70.0,35,25,50,-30.0,False,False,False
Buntaine et al. 2023,methods,2,76.0,63.0,90.0,90,83,95,14.0,False,True,False
Carson et al. 2023,methods,2,68.0,50.0,85.0,78,68,86,10.0,True,True,True
Chuard et al. 2022,methods,1,77.0,70.0,83.0,78,70,86,1.0,True,True,True
Clancy 2024,methods,3,70.0,33.0,88.0,78,65,88,8.0,True,True,True
Crawfurd et al. 2023,methods,2,64.0,44.0,82.0,78,68,86,14.0,False,True,False
Epperson and Gerster 2024,methods,2,72.5,20.0,90.0,79,70,86,6.5,True,True,True
Fangwa et al. 2023,methods,1,60.0,55.0,70.0,86,78,92,26.0,False,False,False
Haushofer et al. 2020,methods,2,90.0,85.0,95.0,90,80,95,0.0,True,True,True
Hill et al. 2024,methods,1,85.0,78.0,92.0,85,76,92,0.0,True,True,True
Jack et al. 2022,methods,2,80.0,65.0,95.0,85,78,91,5.0,True,True,True
Kremer et al. 2020,methods,3,81.67,50.0,97.5,55,40,68,-26.67,False,True,False
Kremer et al. 2022,methods,2,62.5,40.0,85.0,86,78,92,23.5,False,False,False
Kubo et al. 2023,methods,2,65.0,50.0,80.0,70,60,80,5.0,True,True,True
Liang et al. 2021,methods,2,72.5,70.0,75.0,78,68,88,5.5,True,False,False
Schuett et al. 2023,methods,2,70.0,60.0,80.0,76,66,84,6.0,True,True,True
Trammel and Aschenbrenner 2025,methods,2,87.5,75.0,95.0,82,75,90,-5.5,True,True,True
Walker et al. 2023,methods,3,85.0,75.0,95.0,80,68,88,-5.0,True,True,True
Aghion et al. 2017,open_science,2,87.5,90.0,100.0,40,25,55,-47.5,False,False,False
Akram et al. 2017,open_science,1,70.0,50.0,90.0,65,55,75,-5.0,True,True,True
Alatas et al. 2019,open_science,2,62.5,45.0,80.0,70,55,85,7.5,True,True,True
Alcott et al. 2024,open_science,2,96.0,90.0,100.0,80,70,88,-16.0,False,False,False
Bahar et al. 2022,open_science,2,69.0,40.0,83.0,62,52,72,-7.0,True,True,True
Banerjee et al. 2023,open_science,2,60.0,10.0,100.0,78,65,88,18.0,False,True,False
Barberio et al. 2022,open_science,2,55.0,30.0,70.0,45,30,58,-10.0,True,True,True
Barker et al. 2021,open_science,2,70.0,80.0,95.0,55,40,70,-15.0,True,False,False
Bettle 2023,open_science,2,10.0,0.0,50.0,55,35,75,45.0,False,False,False
Bhattacharya and Packalen 2020,open_science,1,50.0,40.0,60.0,30,15,45,-20.0,False,False,False
Bruers 2021,open_science,1,80.0,75.0,85.0,30,20,45,-50.0,False,False,False
Buntaine et al. 2023,open_science,2,59.0,42.0,80.0,72,60,84,13.0,False,True,False
Carson et al. 2023,open_science,2,47.5,15.0,79.0,60,45,75,12.5,True,True,True
Chuard et al. 2022,open_science,1,96.0,92.0,100.0,55,40,67,-41.0,False,False,False
Clancy 2024,open_science,3,79.67,35.0,99.0,55,35,75,-24.67,False,True,False
Crawfurd et al. 2023,open_science,2,70.5,52.0,90.0,65,40,85,-5.5,True,True,True
Epperson and Gerster 2024,open_science,2,62.5,33.0,92.0,73,62,84,10.5,True,True,True
Fangwa et al. 2023,open_science,1,45.0,30.0,60.0,62,45,75,17.0,True,False,False
Haushofer et al. 2020,open_science,2,60.0,40.0,80.0,74,60,85,14.0,True,True,True
Hill et al. 2024,open_science,1,90.0,85.0,95.0,70,55,82,-20.0,False,False,False
Jack et al. 2022,open_science,2,85.0,70.0,95.0,72,60,85,-13.0,True,True,True
Kremer et al. 2020,open_science,2,70.0,30.0,70.0,50,30,62,-20.0,False,True,False
Kremer et al. 2022,open_science,2,62.5,20.0,100.0,74,60,85,11.5,True,True,True
Kubo et al. 2023,open_science,2,60.0,50.0,70.0,55,40,70,-5.0,True,True,True
Liang et al. 2021,open_science,2,77.5,65.0,90.0,65,50,78,-12.5,True,True,True
Schuett et al. 2023,open_science,2,72.5,50.0,90.0,91,86,96,18.5,False,False,False
Trammel and Aschenbrenner 2025,open_science,2,79.0,60.0,99.0,72,60,85,-7.0,True,True,True
Walker et al. 2023,open_science,3,86.67,75.0,100.0,70,55,85,-16.67,False,False,False
Aghion et al. 2017,overall,2,86.0,70.0,100.0,71,63,79,-15.0,False,True,False
Akram et al. 2017,overall,1,70.0,50.0,78.0,77,70,84,7.0,True,True,True
Alatas et al. 2019,overall,2,73.5,62.0,85.0,84,77,90,10.5,False,True,False
Alcott et al. 2024,overall,2,85.5,70.0,96.0,84,78,90,-1.5,True,True,True
Bahar et al. 2022,overall,2,75.0,50.0,97.0,81,76,86,6.0,False,True,False
Banerjee et al. 2023,overall,2,84.0,65.0,100.0,90,84,96,6.0,True,True,True
Barberio et al. 2022,overall,2,50.0,20.0,70.0,70,63,78,20.0,False,True,False
Barker et al. 2021,overall,2,75.0,70.0,84.0,76,68,84,1.0,True,True,True
Bettle 2023,overall,2,32.5,0.0,60.0,68,55,80,35.5,False,False,False
Bhattacharya and Packalen 2020,overall,1,70.0,55.0,85.0,57,45,70,-13.0,True,True,True
Bruers 2021,overall,1,80.0,70.0,90.0,48,35,60,-32.0,False,False,False
Buntaine et al. 2023,overall,2,85.0,71.0,95.0,86,82,90,1.0,True,True,True
Carson et al. 2023,overall,2,72.5,50.0,90.0,75,70,82,2.5,True,True,True
Chuard et al. 2022,overall,1,80.0,65.0,90.0,74,67,81,-6.0,True,True,True
Clancy 2024,overall,2,75.5,27.0,88.0,76,68,84,0.5,True,True,True
Crawfurd et al. 2023,overall,2,72.5,55.0,82.0,80,72,88,7.5,True,True,True
Epperson and Gerster 2024,overall,2,89.0,75.0,96.0,77,70,84,-12.0,False,True,False
Fangwa et al. 2023,overall,1,65.0,55.0,74.0,81,76,87,16.0,False,False,False
Haushofer et al. 2020,overall,2,82.5,65.0,85.0,86,80,91,3.5,True,False,False
Hill et al. 2024,overall,1,80.0,70.0,90.0,83,75,90,3.0,True,True,True
Jack et al. 2022,overall,2,87.5,75.0,95.0,86,80,92,-1.5,True,True,True
Kremer et al. 2020,overall,3,79.67,59.0,94.0,69,62,76,-10.67,False,True,False
Kremer et al. 2022,overall,2,67.5,40.0,95.0,87,82,92,19.5,False,True,False
Kubo et al. 2023,overall,2,75.0,75.0,75.0,69,60,78,-6.0,True,False,False
Liang et al. 2021,overall,2,79.0,70.0,88.0,78,70,86,-1.0,True,True,True
Schuett et al. 2023,overall,2,72.5,60.0,85.0,84,80,88,11.5,False,True,False
Trammel and Aschenbrenner 2025,overall,2,81.5,60.0,99.0,81,74,88,-0.5,True,True,True
Walker et al. 2023,overall,3,88.0,77.0,100.0,82,73,90,-6.0,True,True,True
