paper,metric,midpoint,lower_bound,upper_bound,model,scale
Akram_et_al._2017,global_relevance,90,85,96,gpt-5-pro-2025-10-06,percentile
Akram_et_al._2017,tier_should,4.3,3.7,4.7,gpt-5-pro-2025-10-06,tier
Akram_et_al._2017,tier_will,4.1,3.5,4.5,gpt-5-pro-2025-10-06,tier
Alatas_et_al._2019,overall,78,70,86,gpt-5-pro-2025-10-06,percentile
Alatas_et_al._2019,claims_evidence,82,74,90,gpt-5-pro-2025-10-06,percentile
Alatas_et_al._2019,methods,82,72,90,gpt-5-pro-2025-10-06,percentile
Alatas_et_al._2019,advancing_knowledge,76,66,86,gpt-5-pro-2025-10-06,percentile
Alatas_et_al._2019,logic_communication,86,80,92,gpt-5-pro-2025-10-06,percentile
Alatas_et_al._2019,open_science,45,30,60,gpt-5-pro-2025-10-06,percentile
Alatas_et_al._2019,global_relevance,72,58,82,gpt-5-pro-2025-10-06,percentile
Alatas_et_al._2019,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Alatas_et_al._2019,tier_will,3.9,3.2,4.5,gpt-5-pro-2025-10-06,tier
Alcott_et_al._2024,overall,86,78,92,gpt-5-pro-2025-10-06,percentile
Alcott_et_al._2024,claims_evidence,82,72,90,gpt-5-pro-2025-10-06,percentile
Alcott_et_al._2024,methods,78,68,86,gpt-5-pro-2025-10-06,percentile
Alcott_et_al._2024,advancing_knowledge,89,84,95,gpt-5-pro-2025-10-06,percentile
Alcott_et_al._2024,logic_communication,90,85,95,gpt-5-pro-2025-10-06,percentile
Alcott_et_al._2024,open_science,85,78,92,gpt-5-pro-2025-10-06,percentile
Alcott_et_al._2024,global_relevance,80,72,88,gpt-5-pro-2025-10-06,percentile
Alcott_et_al._2024,tier_should,4.6,4.2,5.0,gpt-5-pro-2025-10-06,tier
Alcott_et_al._2024,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Angrist_et_al._2023,overall,92,87,96,gpt-5-pro-2025-10-06,percentile
Angrist_et_al._2023,claims_evidence,90,85,95,gpt-5-pro-2025-10-06,percentile
Angrist_et_al._2023,methods,85,78,91,gpt-5-pro-2025-10-06,percentile
Angrist_et_al._2023,advancing_knowledge,93,88,97,gpt-5-pro-2025-10-06,percentile
Angrist_et_al._2023,logic_communication,88,82,93,gpt-5-pro-2025-10-06,percentile
Angrist_et_al._2023,open_science,40,25,55,gpt-5-pro-2025-10-06,percentile
Angrist_et_al._2023,global_relevance,96,92,99,gpt-5-pro-2025-10-06,percentile
Angrist_et_al._2023,tier_should,4.5,4.1,4.9,gpt-5-pro-2025-10-06,tier
Angrist_et_al._2023,tier_will,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Arora_et_al._2023,overall,78,68,86,gpt-5-pro-2025-10-06,percentile
Arora_et_al._2023,claims_evidence,77,66,85,gpt-5-pro-2025-10-06,percentile
Arora_et_al._2023,methods,73,62,82,gpt-5-pro-2025-10-06,percentile
Arora_et_al._2023,advancing_knowledge,87,78,93,gpt-5-pro-2025-10-06,percentile
Arora_et_al._2023,logic_communication,83,75,90,gpt-5-pro-2025-10-06,percentile
Arora_et_al._2023,open_science,35,20,50,gpt-5-pro-2025-10-06,percentile
Arora_et_al._2023,global_relevance,72,60,82,gpt-5-pro-2025-10-06,percentile
Arora_et_al._2023,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Arora_et_al._2023,tier_will,4.2,3.4,4.7,gpt-5-pro-2025-10-06,tier
Bahar_et_al._2022,overall,80,72,88,gpt-5-pro-2025-10-06,percentile
Bahar_et_al._2022,claims_evidence,78,70,86,gpt-5-pro-2025-10-06,percentile
Bahar_et_al._2022,methods,75,65,84,gpt-5-pro-2025-10-06,percentile
Bahar_et_al._2022,advancing_knowledge,82,72,90,gpt-5-pro-2025-10-06,percentile
Bahar_et_al._2022,logic_communication,84,76,92,gpt-5-pro-2025-10-06,percentile
Bahar_et_al._2022,open_science,30,15,45,gpt-5-pro-2025-10-06,percentile
Bahar_et_al._2022,global_relevance,88,78,95,gpt-5-pro-2025-10-06,percentile
Bahar_et_al._2022,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Bahar_et_al._2022,tier_will,4.0,3.2,4.6,gpt-5-pro-2025-10-06,tier
Banerjee_et_al._2022,overall,92,87,96,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2022,claims_evidence,90,85,95,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2022,methods,89,84,94,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2022,advancing_knowledge,93,88,97,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2022,logic_communication,88,83,93,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2022,open_science,66,50,80,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2022,global_relevance,93,88,98,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2022,tier_should,4.6,4.2,5.0,gpt-5-pro-2025-10-06,tier
Banerjee_et_al._2022,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Banerjee_et_al._2023,overall,88,80,93,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2023,claims_evidence,87,79,93,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2023,methods,85,77,92,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2023,advancing_knowledge,92,86,97,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2023,logic_communication,82,74,90,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2023,open_science,62,45,78,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2023,global_relevance,84,75,92,gpt-5-pro-2025-10-06,percentile
Banerjee_et_al._2023,tier_should,4.6,4.2,4.9,gpt-5-pro-2025-10-06,tier
Banerjee_et_al._2023,tier_will,4.5,4.0,4.8,gpt-5-pro-2025-10-06,tier
Barberio_et_al._2022,overall,68,55,78,gpt-5-pro-2025-10-06,percentile
Barberio_et_al._2022,claims_evidence,70,58,80,gpt-5-pro-2025-10-06,percentile
Barberio_et_al._2022,methods,62,45,72,gpt-5-pro-2025-10-06,percentile
Barberio_et_al._2022,advancing_knowledge,73,60,84,gpt-5-pro-2025-10-06,percentile
Barberio_et_al._2022,logic_communication,78,68,88,gpt-5-pro-2025-10-06,percentile
Barberio_et_al._2022,open_science,32,20,45,gpt-5-pro-2025-10-06,percentile
Barberio_et_al._2022,global_relevance,86,75,95,gpt-5-pro-2025-10-06,percentile
Barberio_et_al._2022,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06,tier
Barberio_et_al._2022,tier_will,3.3,2.6,4.0,gpt-5-pro-2025-10-06,tier
Barker_et_al._2021,overall,78,70,86,gpt-5-pro-2025-10-06,percentile
Barker_et_al._2021,claims_evidence,76,68,84,gpt-5-pro-2025-10-06,percentile
Barker_et_al._2021,methods,77,68,85,gpt-5-pro-2025-10-06,percentile
Barker_et_al._2021,advancing_knowledge,74,62,84,gpt-5-pro-2025-10-06,percentile
Barker_et_al._2021,logic_communication,84,76,92,gpt-5-pro-2025-10-06,percentile
Barker_et_al._2021,open_science,42,28,58,gpt-5-pro-2025-10-06,percentile
Barker_et_al._2021,global_relevance,80,68,90,gpt-5-pro-2025-10-06,percentile
Barker_et_al._2021,tier_should,3.9,3.3,4.5,gpt-5-pro-2025-10-06,tier
Barker_et_al._2021,tier_will,3.7,3.0,4.3,gpt-5-pro-2025-10-06,tier
BenYishay_et_al._2024,overall,78,68,88,gpt-5-pro-2025-10-06,percentile
BenYishay_et_al._2024,claims_evidence,76,65,85,gpt-5-pro-2025-10-06,percentile
BenYishay_et_al._2024,methods,73,60,83,gpt-5-pro-2025-10-06,percentile
BenYishay_et_al._2024,advancing_knowledge,82,72,92,gpt-5-pro-2025-10-06,percentile
BenYishay_et_al._2024,logic_communication,74,64,85,gpt-5-pro-2025-10-06,percentile
BenYishay_et_al._2024,open_science,45,30,60,gpt-5-pro-2025-10-06,percentile
BenYishay_et_al._2024,global_relevance,88,78,95,gpt-5-pro-2025-10-06,percentile
BenYishay_et_al._2024,tier_should,3.9,3.2,4.5,gpt-5-pro-2025-10-06,tier
BenYishay_et_al._2024,tier_will,3.8,3.0,4.4,gpt-5-pro-2025-10-06,tier
Benabou_et_al._2023,overall,84,76,91,gpt-5-pro-2025-10-06,percentile
Benabou_et_al._2023,claims_evidence,82,74,89,gpt-5-pro-2025-10-06,percentile
Benabou_et_al._2023,methods,78,70,86,gpt-5-pro-2025-10-06,percentile
Benabou_et_al._2023,advancing_knowledge,83,75,90,gpt-5-pro-2025-10-06,percentile
Benabou_et_al._2023,logic_communication,86,80,92,gpt-5-pro-2025-10-06,percentile
Benabou_et_al._2023,open_science,64,50,78,gpt-5-pro-2025-10-06,percentile
Benabou_et_al._2023,global_relevance,58,45,70,gpt-5-pro-2025-10-06,percentile
Benabou_et_al._2023,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Benabou_et_al._2023,tier_will,4.0,3.4,4.6,gpt-5-pro-2025-10-06,tier
Benjamin_et_al._2023,overall,90,83,95,gpt-5-pro-2025-10-06,percentile
Benjamin_et_al._2023,claims_evidence,88,80,94,gpt-5-pro-2025-10-06,percentile
Benjamin_et_al._2023,methods,90,82,95,gpt-5-pro-2025-10-06,percentile
Benjamin_et_al._2023,advancing_knowledge,88,78,94,gpt-5-pro-2025-10-06,percentile
Benjamin_et_al._2023,logic_communication,91,86,96,gpt-5-pro-2025-10-06,percentile
Benjamin_et_al._2023,open_science,67,50,78,gpt-5-pro-2025-10-06,percentile
Benjamin_et_al._2023,global_relevance,78,68,88,gpt-5-pro-2025-10-06,percentile
Benjamin_et_al._2023,tier_should,4.3,3.8,4.8,gpt-5-pro-2025-10-06,tier
Benjamin_et_al._2023,tier_will,4.1,3.6,4.6,gpt-5-pro-2025-10-06,tier
Bergeron_et_al._2024,overall,85,75,92,gpt-5-pro-2025-10-06,percentile
Bergeron_et_al._2024,claims_evidence,77,68,86,gpt-5-pro-2025-10-06,percentile
Bergeron_et_al._2024,methods,70,60,80,gpt-5-pro-2025-10-06,percentile
Bergeron_et_al._2024,advancing_knowledge,83,72,90,gpt-5-pro-2025-10-06,percentile
Bergeron_et_al._2024,logic_communication,88,82,94,gpt-5-pro-2025-10-06,percentile
Bergeron_et_al._2024,open_science,55,40,70,gpt-5-pro-2025-10-06,percentile
Bergeron_et_al._2024,global_relevance,79,68,88,gpt-5-pro-2025-10-06,percentile
Bergeron_et_al._2024,tier_should,4.2,3.5,4.7,gpt-5-pro-2025-10-06,tier
Bergeron_et_al._2024,tier_will,4.3,3.6,4.8,gpt-5-pro-2025-10-06,tier
Bettle_2023,overall,75,63,86,gpt-5-pro-2025-10-06,percentile
Bettle_2023,claims_evidence,72,60,84,gpt-5-pro-2025-10-06,percentile
Bettle_2023,methods,63,48,74,gpt-5-pro-2025-10-06,percentile
Bettle_2023,advancing_knowledge,68,52,80,gpt-5-pro-2025-10-06,percentile
Bettle_2023,logic_communication,74,65,85,gpt-5-pro-2025-10-06,percentile
Bettle_2023,open_science,44,30,58,gpt-5-pro-2025-10-06,percentile
Bettle_2023,global_relevance,82,72,91,gpt-5-pro-2025-10-06,percentile
Bettle_2023,tier_should,3.1,2.4,3.8,gpt-5-pro-2025-10-06,tier
Bettle_2023,tier_will,2.7,1.9,3.3,gpt-5-pro-2025-10-06,tier
Bhat_et_al._2022,overall,87,80,93,gpt-5-pro-2025-10-06,percentile
Bhat_et_al._2022,claims_evidence,86,78,92,gpt-5-pro-2025-10-06,percentile
Bhat_et_al._2022,methods,82,74,90,gpt-5-pro-2025-10-06,percentile
Bhat_et_al._2022,advancing_knowledge,89,80,95,gpt-5-pro-2025-10-06,percentile
Bhat_et_al._2022,logic_communication,91,85,96,gpt-5-pro-2025-10-06,percentile
Bhat_et_al._2022,open_science,58,40,70,gpt-5-pro-2025-10-06,percentile
Bhat_et_al._2022,global_relevance,88,78,95,gpt-5-pro-2025-10-06,percentile
Bhat_et_al._2022,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Bhat_et_al._2022,tier_will,4.2,3.6,4.7,gpt-5-pro-2025-10-06,tier
Bhattacharya_and_Packalen_2020,overall,58,45,70,gpt-5-pro-2025-10-06,percentile
Bhattacharya_and_Packalen_2020,claims_evidence,44,30,58,gpt-5-pro-2025-10-06,percentile
Bhattacharya_and_Packalen_2020,methods,40,25,55,gpt-5-pro-2025-10-06,percentile
Bhattacharya_and_Packalen_2020,advancing_knowledge,59,45,72,gpt-5-pro-2025-10-06,percentile
Bhattacharya_and_Packalen_2020,logic_communication,78,68,86,gpt-5-pro-2025-10-06,percentile
Bhattacharya_and_Packalen_2020,open_science,24,10,40,gpt-5-pro-2025-10-06,percentile
Bhattacharya_and_Packalen_2020,global_relevance,62,48,75,gpt-5-pro-2025-10-06,percentile
Bhattacharya_and_Packalen_2020,tier_should,3.4,2.8,4.0,gpt-5-pro-2025-10-06,tier
Bhattacharya_and_Packalen_2020,tier_will,3.2,2.5,3.9,gpt-5-pro-2025-10-06,tier
Bilal_and_Kaenzig_2024,overall,92,85,97,gpt-5-pro-2025-10-06,percentile
Bilal_and_Kaenzig_2024,claims_evidence,88,80,95,gpt-5-pro-2025-10-06,percentile
Bilal_and_Kaenzig_2024,methods,82,74,90,gpt-5-pro-2025-10-06,percentile
Bilal_and_Kaenzig_2024,advancing_knowledge,95,88,99,gpt-5-pro-2025-10-06,percentile
Bilal_and_Kaenzig_2024,logic_communication,92,85,97,gpt-5-pro-2025-10-06,percentile
Bilal_and_Kaenzig_2024,open_science,62,45,78,gpt-5-pro-2025-10-06,percentile
Bilal_and_Kaenzig_2024,global_relevance,97,92,99,gpt-5-pro-2025-10-06,percentile
Bilal_and_Kaenzig_2024,tier_should,4.6,4.1,5.0,gpt-5-pro-2025-10-06,tier
Bilal_and_Kaenzig_2024,tier_will,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Blimpo_and_Castaneda-Dower_2025,overall,71,62,79,gpt-5-pro-2025-10-06,percentile
Blimpo_and_Castaneda-Dower_2025,claims_evidence,66,55,75,gpt-5-pro-2025-10-06,percentile
Blimpo_and_Castaneda-Dower_2025,methods,64,53,75,gpt-5-pro-2025-10-06,percentile
Blimpo_and_Castaneda-Dower_2025,advancing_knowledge,72,60,82,gpt-5-pro-2025-10-06,percentile
Blimpo_and_Castaneda-Dower_2025,logic_communication,76,66,86,gpt-5-pro-2025-10-06,percentile
Blimpo_and_Castaneda-Dower_2025,open_science,28,15,45,gpt-5-pro-2025-10-06,percentile
Blimpo_and_Castaneda-Dower_2025,global_relevance,70,58,80,gpt-5-pro-2025-10-06,percentile
Blimpo_and_Castaneda-Dower_2025,tier_should,3.8,3.0,4.4,gpt-5-pro-2025-10-06,tier
Blimpo_and_Castaneda-Dower_2025,tier_will,3.2,2.6,4.0,gpt-5-pro-2025-10-06,tier
Bruelhart et al. 2021,overall,88,82,93,gpt-5-pro-2025-10-06,percentile
Bruelhart et al. 2021,claims_evidence,86,78,92,gpt-5-pro-2025-10-06,percentile
Bruelhart et al. 2021,methods,80,72,87,gpt-5-pro-2025-10-06,percentile
Bruelhart et al. 2021,advancing_knowledge,88,82,94,gpt-5-pro-2025-10-06,percentile
Bruelhart et al. 2021,logic_communication,90,84,95,gpt-5-pro-2025-10-06,percentile
Bruelhart et al. 2021,open_science,72,60,82,gpt-5-pro-2025-10-06,percentile
Bruelhart et al. 2021,global_relevance,90,84,95,gpt-5-pro-2025-10-06,percentile
Bruelhart et al. 2021,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06,tier
Bruelhart et al. 2021,tier_will,4.5,3.7,4.9,gpt-5-pro-2025-10-06,tier
Bruers_2021,overall,46,33,58,gpt-5-pro-2025-10-06,percentile
Bruers_2021,claims_evidence,42,30,55,gpt-5-pro-2025-10-06,percentile
Bruers_2021,methods,35,20,48,gpt-5-pro-2025-10-06,percentile
Bruers_2021,advancing_knowledge,57,45,70,gpt-5-pro-2025-10-06,percentile
Bruers_2021,logic_communication,62,50,72,gpt-5-pro-2025-10-06,percentile
Bruers_2021,open_science,20,10,35,gpt-5-pro-2025-10-06,percentile
Bruers_2021,global_relevance,68,55,80,gpt-5-pro-2025-10-06,percentile
Bruers_2021,tier_should,2.4,1.6,3.2,gpt-5-pro-2025-10-06,tier
Bruers_2021,tier_will,2.0,1.1,2.7,gpt-5-pro-2025-10-06,tier
Buntaine_et_al._2023,overall,90,84,96,gpt-5-pro-2025-10-06,percentile
Buntaine_et_al._2023,claims_evidence,88,82,94,gpt-5-pro-2025-10-06,percentile
Buntaine_et_al._2023,methods,86,78,92,gpt-5-pro-2025-10-06,percentile
Buntaine_et_al._2023,advancing_knowledge,91,84,97,gpt-5-pro-2025-10-06,percentile
Buntaine_et_al._2023,logic_communication,85,77,91,gpt-5-pro-2025-10-06,percentile
Buntaine_et_al._2023,open_science,64,55,72,gpt-5-pro-2025-10-06,percentile
Buntaine_et_al._2023,global_relevance,93,86,98,gpt-5-pro-2025-10-06,percentile
Buntaine_et_al._2023,tier_should,4.6,4.1,4.9,gpt-5-pro-2025-10-06,tier
Buntaine_et_al._2023,tier_will,4.5,4.0,4.9,gpt-5-pro-2025-10-06,tier
Carson_et_al._2023,overall,78,68,87,gpt-5-pro-2025-10-06,percentile
Carson_et_al._2023,claims_evidence,80,72,90,gpt-5-pro-2025-10-06,percentile
Carson_et_al._2023,methods,72,62,84,gpt-5-pro-2025-10-06,percentile
Carson_et_al._2023,advancing_knowledge,70,55,85,gpt-5-pro-2025-10-06,percentile
Carson_et_al._2023,logic_communication,85,75,92,gpt-5-pro-2025-10-06,percentile
Carson_et_al._2023,open_science,55,40,70,gpt-5-pro-2025-10-06,percentile
Carson_et_al._2023,global_relevance,68,50,80,gpt-5-pro-2025-10-06,percentile
Carson_et_al._2023,tier_should,3.8,3.2,4.5,gpt-5-pro-2025-10-06,tier
Carson_et_al._2023,tier_will,3.7,3.0,4.3,gpt-5-pro-2025-10-06,tier
Caviola_et_al._2022,overall,84,75,92,gpt-5-pro-2025-10-06,percentile
Caviola_et_al._2022,claims_evidence,83,75,90,gpt-5-pro-2025-10-06,percentile
Caviola_et_al._2022,methods,78,70,86,gpt-5-pro-2025-10-06,percentile
Caviola_et_al._2022,advancing_knowledge,78,68,88,gpt-5-pro-2025-10-06,percentile
Caviola_et_al._2022,logic_communication,85,78,92,gpt-5-pro-2025-10-06,percentile
Caviola_et_al._2022,open_science,92,88,97,gpt-5-pro-2025-10-06,percentile
Caviola_et_al._2022,global_relevance,72,60,82,gpt-5-pro-2025-10-06,percentile
Caviola_et_al._2022,tier_should,4.3,3.8,4.8,gpt-5-pro-2025-10-06,tier
Caviola_et_al._2022,tier_will,4.1,3.5,4.7,gpt-5-pro-2025-10-06,tier
Chuard_et_al._2022,overall,75,65,85,gpt-5-pro-2025-10-06,percentile
Chuard_et_al._2022,claims_evidence,70,55,80,gpt-5-pro-2025-10-06,percentile
Chuard_et_al._2022,methods,68,55,80,gpt-5-pro-2025-10-06,percentile
Chuard_et_al._2022,advancing_knowledge,72,60,85,gpt-5-pro-2025-10-06,percentile
Chuard_et_al._2022,logic_communication,78,65,90,gpt-5-pro-2025-10-06,percentile
Chuard_et_al._2022,open_science,45,30,60,gpt-5-pro-2025-10-06,percentile
Chuard_et_al._2022,global_relevance,70,55,85,gpt-5-pro-2025-10-06,percentile
Chuard_et_al._2022,tier_should,3.8,3.2,4.4,gpt-5-pro-2025-10-06,tier
Chuard_et_al._2022,tier_will,3.6,3.0,4.3,gpt-5-pro-2025-10-06,tier
Clancy_2024,overall,73,65,82,gpt-5-pro-2025-10-06,percentile
Clancy_2024,claims_evidence,64,55,73,gpt-5-pro-2025-10-06,percentile
Clancy_2024,methods,58,48,68,gpt-5-pro-2025-10-06,percentile
Clancy_2024,advancing_knowledge,80,72,88,gpt-5-pro-2025-10-06,percentile
Clancy_2024,logic_communication,85,78,92,gpt-5-pro-2025-10-06,percentile
Clancy_2024,open_science,43,30,56,gpt-5-pro-2025-10-06,percentile
Clancy_2024,global_relevance,84,76,92,gpt-5-pro-2025-10-06,percentile
Clancy_2024,tier_should,3.2,2.6,3.8,gpt-5-pro-2025-10-06,tier
Clancy_2024,tier_will,2.7,2.1,3.3,gpt-5-pro-2025-10-06,tier
Crawfurd_et_al._2023,overall,74,60,85,gpt-5-pro-2025-10-06,percentile
Crawfurd_et_al._2023,claims_evidence,72,55,82,gpt-5-pro-2025-10-06,percentile
Crawfurd_et_al._2023,methods,68,50,80,gpt-5-pro-2025-10-06,percentile
Crawfurd_et_al._2023,advancing_knowledge,70,55,80,gpt-5-pro-2025-10-06,percentile
Crawfurd_et_al._2023,logic_communication,80,65,88,gpt-5-pro-2025-10-06,percentile
Crawfurd_et_al._2023,open_science,40,25,55,gpt-5-pro-2025-10-06,percentile
Crawfurd_et_al._2023,global_relevance,85,70,93,gpt-5-pro-2025-10-06,percentile
Crawfurd_et_al._2023,tier_should,3.7,3.0,4.4,gpt-5-pro-2025-10-06,tier
Crawfurd_et_al._2023,tier_will,3.4,2.8,4.2,gpt-5-pro-2025-10-06,tier
Denkenberger_et_al._2022,overall,62,47,75,gpt-5-pro-2025-10-06,percentile
Denkenberger_et_al._2022,claims_evidence,55,40,70,gpt-5-pro-2025-10-06,percentile
Denkenberger_et_al._2022,methods,50,35,65,gpt-5-pro-2025-10-06,percentile
Denkenberger_et_al._2022,advancing_knowledge,63,50,78,gpt-5-pro-2025-10-06,percentile
Denkenberger_et_al._2022,logic_communication,72,62,82,gpt-5-pro-2025-10-06,percentile
Denkenberger_et_al._2022,open_science,50,35,65,gpt-5-pro-2025-10-06,percentile
Denkenberger_et_al._2022,global_relevance,78,65,90,gpt-5-pro-2025-10-06,percentile
Denkenberger_et_al._2022,tier_should,3.2,2.6,3.8,gpt-5-pro-2025-10-06,tier
Denkenberger_et_al._2022,tier_will,3.0,2.2,3.6,gpt-5-pro-2025-10-06,tier
Dullaghan_and_Zhang_2022,overall,72,65,80,gpt-5-pro-2025-10-06,percentile
Dullaghan_and_Zhang_2022,claims_evidence,68,58,77,gpt-5-pro-2025-10-06,percentile
Dullaghan_and_Zhang_2022,methods,58,47,68,gpt-5-pro-2025-10-06,percentile
Dullaghan_and_Zhang_2022,advancing_knowledge,70,60,80,gpt-5-pro-2025-10-06,percentile
Dullaghan_and_Zhang_2022,logic_communication,77,68,85,gpt-5-pro-2025-10-06,percentile
Dullaghan_and_Zhang_2022,open_science,78,70,88,gpt-5-pro-2025-10-06,percentile
Dullaghan_and_Zhang_2022,global_relevance,80,70,90,gpt-5-pro-2025-10-06,percentile
Dullaghan_and_Zhang_2022,tier_should,2.4,1.6,3.3,gpt-5-pro-2025-10-06,tier
Dullaghan_and_Zhang_2022,tier_will,1.9,1.2,2.7,gpt-5-pro-2025-10-06,tier
Epperson_and_Gerster_2024,overall,82,74,89,gpt-5-pro-2025-10-06,percentile
Epperson_and_Gerster_2024,claims_evidence,80,72,88,gpt-5-pro-2025-10-06,percentile
Epperson_and_Gerster_2024,methods,78,70,86,gpt-5-pro-2025-10-06,percentile
Epperson_and_Gerster_2024,advancing_knowledge,78,70,85,gpt-5-pro-2025-10-06,percentile
Epperson_and_Gerster_2024,logic_communication,88,82,93,gpt-5-pro-2025-10-06,percentile
Epperson_and_Gerster_2024,open_science,62,50,75,gpt-5-pro-2025-10-06,percentile
Epperson_and_Gerster_2024,global_relevance,72,62,82,gpt-5-pro-2025-10-06,percentile
Epperson_and_Gerster_2024,tier_should,3.8,3.3,4.3,gpt-5-pro-2025-10-06,tier
Epperson_and_Gerster_2024,tier_will,3.6,3.0,4.1,gpt-5-pro-2025-10-06,tier
Fangwa_et_al._2023,overall,86,77,92,gpt-5-pro-2025-10-06,percentile
Fangwa_et_al._2023,claims_evidence,84,74,90,gpt-5-pro-2025-10-06,percentile
