ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
0275-0740,American Review of Public Administration,PSM,C,,,,3,2,B,04-Mar,B,3,B
0003-1224,American Sociological Review,Sociology,,,,,4*,2,,11-Aug,A*,1,
0003-1305,American Statistician,"OR,MS,POM",,,,,,1,,05-Aug,B,,
1748-4995,Annals of Actuarial Science,F&A,,,,,1,1,,0.9,A,,
1050-5164,Annals of Applied Probability,"MIS, KM",,,,,,2,,03-Feb,A,,
0254-5330,Annals of Operations Research,"OR,MS,POM",B,,2,S,3,1,A,05-Feb,A,2,B
0091-1798,Annals of Probability,"OR,MS,POM",,,,,,2,,04-Mar,A*,,
1370-4788,Annals of Public and Cooperative Economics,Economics,,,,,2,1,C,02-Sep,B,4,
0570-1864,Annals of Regional Science,Economics,,,2,,2,1,A,03-Feb,B,4,
0090-5364,Annals of Statistics,"OR,MS,POM",,,,,4*,2,,05-Aug,A*,,A
0004-5608,Annals of the Association of American Geographers,Sociology,,,,,,2,,,,,
0160-7383,Annals of Tourism Research,Tourism,,,3,S,4,2,A,7.0,A*,2,
1941-1383,Annual Review of Economics,Economics,,,2,,3,1,A,05-May,B,,
1941-1367,Annual Review of Financial Economics,Economics,,,,,3,1,,4.0,B,,
2327-0616,Annual Review of Organizational Psychology and Organiza,"Psych, OS/OB",,,,,,,C,22-Mar,A*,4,
0066-4308,Annual Review of Psychology,Psychology,,,,,4,2,,36.7,A*,,
0360-0572,Annual Review of Sociology,Sociology,,,,,4*,2,,10-Apr,A*,2,
0066-4812,Antipode,Sociology,,,,,3,2,,05-Sep,,,
0003-6846,Applied Economics,Economics,B,,2,,2,1,A,02-Mar,A,3,
1350-4851,Applied Economics Letters,Economics,,,4,,1,1,C,01-Apr,B,,
0003-6870,Applied Ergonomics,"OS/OB,HRM/IR",,,,,3,1,,07-Jan,,,
0960-3107,Applied Financial Economics,Economics,C,,4,S,2,1,C,,B,4,
1350-486X,Applied Mathematical Finance,F&A,C,,,,2,1,C,01-Mar,B,4,
0146-6216,Applied Psychological Measurement,Psychology,,,,,2,1,,02-Sep,B,,
0269-994X,Applied Psychology,Psychology,B,,3,S,3,1,B,05-Mar,A,2,B
0004-3702,Artificial Intelligence,"MIS, KM",B,,,,,2,,08-Mar,,,
1360-2381,Asia Pacific Business Review,IB,C,,3,,2,1,B,02-Jul,B,4,
1038-4111,Asia Pacific Journal of Human Resources,"OS/OB,HRM/IR",,,4,,2,1,C,04-Apr,B,4,
0217-4561,Asia Pacific Journal of Management,IB,C,,4,S,3,2,B,05-Apr,A,3,B
1355-5855,Asia Pacific Journal of Marketing and Logistics,Marketing,,,,,1,1,,04-May,A,,
1094-1665 ,Asia Pacific Journal of Tourism Research,Tourism,,,,,1,1,,04-Apr,A,,
1608-1625,Asia-Pacific Journal of Accounting and Economics,F&A,C,,,,2,1,,01-Apr,B,4,
0218-5377,Asian Journal of Political Science,PSM,,,,,,1,,01-Feb,B,,
0515-0361,Astin Bulletin,F&A,A,,3,,2,2,B,02-Jan,A,3,B
0197-4254,Atlantic Economic Journal,Economics,,,,,1,1,,0.7,C,,
0278-0380,Auditing,F&A,B,,2,P,3,2,A,04-Jan,A*,2,A
1449-8618,Australasian Journal of Information Systems,"MIS, KM",C,,,,1,,,,A,,
1441-3582,Australasian Marketing Journal,Marketing,D,,,,1,1,,03-Sep,A,,
1035-6908,Australian Accounting Review,F&A,C,,,,2,1,,03-May,B,4,
0311-6336,Australian Bulletin of Labour,"OS/OB,HRM/IR",,,,,1,,,,B,,
0004-8992,Australian Economic History Review,Bus Hist,,,3,,2,1,B,0.9,B,,
0004-900X,Australian Economic Papers,Economics,,,4,,1,1,C,01-Mar,B,,
0004-9018,Australian Economic Review,Economics,,,4,,1,1,C,01-Feb,B,,
1364-985X,Australian Journal of Agricultural and Resource Economics,Economics,,,3,,2,1,B,02-Sep,A,,
1030-7222,Australian Journal of Labour Law,"OS/OB,HRM/IR",,,,,,,,,A,,
0312-8962,Australian Journal of Management,Gen & Strat,C,,,,2,1,,02-Jul,A,4,
0004-9530,Australian Journal of Psychology,Psychology,,,,,1,1,,02-Sep,B,,
0313-6647,Australian Journal of Public Administration,PSM,C,,,,2,1,,02-Apr,A,,
1555-0494,B.E. Journal of Economic Analysis and Policy,Economics,,,3,,2,1,B,0.9,,,
1935-1690,B.E. Journal of Macroeconomics,Economics,,,2,,2,1,A,0.9,A,,
1935-1704,B.E. Journal of Theoretical Economics,Economics,,,3,,2,1,B,0.5,A,,
0197-3533,Basic and Applied Social Psychology,Psychology,,,,,1,1,,02-Sep,B,,
1469-1825,Behavioral and Brain Sciences,Psychology,,,,,4,2,,03-May,,,
1050-4753,Behavioral Research in Accounting,F&A,B,,3,S,3,2,B,02-Jul,A,3,B
0144-929X,Behaviour and Information Technology,"MIS, KM",,,,,2,2,,04-May,A,,B
1463-5771,Benchmarking,"OR,MS,POM",C,,,,1,1,,5.0,B,,
0340-5370,Betriebswirtschaftliche Forschung und Praxis,Gen & Strat,C,,,,,1,,0.1,C,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0006-3444,Biometrika,"OR,MS,POM",,,,,4,2,,03-Jan,A*,,A
0890-8389,British Accounting Review,F&A,C,,3,S,3,1,B,7.0,A*,3,B
0141-1926,British Educational Research Journal,Education,,,,,3,2,,03-Mar,,,
0007-0998,British Journal of Educational Psychology,Education,,,,,,1,,04-Sep,,,
0007-1013,British Journal of Educational Technology,Education,,,,,2,2,,07-Jun,A,,
0007-1080,British Journal of Industrial Relations,"OS/OB,HRM/IR",B,,2,P,4,2,A,03-Aug,A*,2,A
1045-3172,British Journal of Management,Gen & Strat,B,,2,S,4,2,A,06-Aug,A,1,B
0007-1234,British Journal of Political Science,PSM,,,,,,2,,06-Sep,A,,
0007-1269,British Journal of Psychology,Psychology,,,,,3,1,,06-Apr,A,,
0144-6665,British Journal of Social Psychology,Psychology,,,,,3,1,,05-Jan,A,,
0045-3102,British Journal of Social Work,PSM,,,,,,2,,3.0,,,
0007-1315,British Journal of Sociology,Sociology,,,,,3,2,,04-Jun,A,3,
0007-2303,Brookings Papers on Economic Activity,Economics,,,1,,3,1,A,15-Jun,A,2,
0307-3378,Bulletin of Economic Research,Economics,,,3,,2,1,B,1.0,B,,
0007-4918,Bulletin of Indonesian Economic Studies,Economics,,,,,1,1,,03-Apr,B,,
0007-6503,Business and Society,Gen & Strat,B,,2,S,3,2,A,11.0,A,2,B
0962-8770,Business Ethics,"OS/OB,HRM/IR",C,,4,S,2,1,B,05-Sep,B,3,
1052-150X,Business Ethics Quarterly,"OS/OB,HRM/IR",B,,2,,4,1,A,04-Jun,A,2,B
0007-6791,Business History,Bus Hist,,,2,P,4,2,A,2.0,A,2,
0007-6805,Business History Review,Bus Hist,,,3,S,4,2,B,01-Apr,A,3,
0007-6813,Business Horizons,Gen & Strat,C,,,,2,1,B,11-Mar,B,3,
1463-7154,Business Process Management Journal,"OR,MS,POM",C,,3,,2,1,B,04-Aug,B,4,
0964-4733,Business Strategy and the Environment,Gen & Strat,B,,4,,3,1,B,10-Mar,A,3,B
0955-6419,Business Strategy Review,Gen & Strat,C,,,,1,,,,B,,
0008-1256,California Management Review,Gen & Strat,B,,2,M*,3,2,A,08-Jun,A,2,B
0309-166X,Cambridge Journal of Economics,Economics,,,2,,3,2,A,03-May,A,3,
0825-0383,Canadian Journal of Administrative Sciences,Multidisciplinary,,,,,2,1,B,02-Jan,B,3,
0008-4085,Canadian Journal of Economics,Economics,C,,2,,3,1,A,01-Jun,A,,
0309-8168,Capital and Class,Sociology,,,,,2,1,B,2.0,B,,
1362-0436,Career Development International,"OS/OB,HRM/IR",,,,,2,1,C,04-Feb,B,4,
0889-4019,Career Development Quarterly,"OS/OB,HRM/IR",,,,,2,2,,3.0,,4,
1029-807X ,China Accounting and Finance Review,F&A,,,,,,,,,A,,
1043-951X,China Economic Review,Economics,,,2,,2,1,A,04-Jun,A,,
0305-7410,China Quarterly,Economics,,,,,2,2,,03-Aug,A,,
1873-7838,Cognition,Psychology,,,,,4,2,,05-May,,,
0010-0285,Cognitive Psychology,Psychology,,,,,,2,,05-Jul,A,,
1551-6709,Cognitive Science,Psychology,,,,,3,2,,04-Aug,,,
0363-7751,Communication Monographs,Comm,,,,,,2,,07-Jul,A,,
0093-6502,Communication Research,Comm,,,,S,,2,,09-Apr,A,,
1050-3293,Communication Theory,Comm,,,,,,2,,04-Jun,A,,
0001-0782,Communications of the ACM,"MIS, KM",B,,,P,2,2,,11-Mar,A,,B
1529-3181,Communications of the Association for Information Systems,"MIS, KM",C,,4,,2,2,C,03-Mar,A,4,B
0010-4159,Comparative Politics,Sociology,,,,,,2,,2.0,A,,
1024-5294,Competition and Change,Sociology,,,3,,2,1,B,03-May,B,3,
1262-2788,Comptabilité - Contrôle - Audit,F&A,,,2,,,,A,,B,2,
0010-4620,Computer Journal,"MIS, KM",,,,,2,2,,02-Jun,C,,
0360-8352,Computers and Industrial Engineering,"OR,MS,POM",B,,3,S,2,1,B,07-Sep,A,3,
0305-0548,Computers and Operations Research,"OR,MS,POM",B,,2,P,3,1,A,08-Feb,A,,B
0747-5632,Computers in Human Behavior,"MIS, KM",,,,,2,1,,13-Aug,A,,B
0823-9150,Contemporary Accounting Research,F&A,A,1,2,P*,4,2,A,04-Mar,A*,1,A
1074-3529,Contemporary Economic Policy,Economics,,,,,2,1,,01-Sep,B,,
0094-3061,Contemporary Sociology,Sociology,,,,,,1,,02-Jan,C,,
0277-5921,Contributions to Political Economy,Economics,,,,,2,1,C,0.4,B,,
0964-8410,Corporate Governance: An International Review,IB,C,,3,S,3,1,B,03-Jul,A,3,B
1472-0701,Corporate Governance: The International Journal of Busin,Gen & Strat,C,,,,2,1,,,C,,
1363-3589,Corporate Reputation Review,"OS/OB,HRM/IR",D,,,S,1,1,,01-Jul,C,,
0963-1690,Creativity and Innovation Management,Innovation,C,,3,,2,2,B,05-Feb,C,3,B
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
1740-5904,Critical Discourse Studies,Comm,,,,,,2,,03-Feb,B,,
2164-5744,Critical Finance Review,F&A,,,,,1,1,,2.00,A*,,B
1045-2354,Critical Perspectives on Accounting,F&A,B,,2,,3,1,A,06-Jun,A,2,B
1742-2043,Critical Perspectives on International Business,IB,,,4,,2,1,C,02-May,B,4,
1529-5036,Critical Studies in Media Communication,Comm,,,,,,1,,2.0,C,,
2059-5794,Cross Cultural and Strategic Management,"OS/OB,HRM/IR",C,,3,,2,1,B,03-Aug,B,4,
1475-9551,Culture and Organization,Sociology,D,,4,,2,1,C,02-Jan,B,4,
1467-8721,Current Directions in Psychological Science,Psychology,,,,,4,1,,9.0,,,
1368-3500,Current Issues in Tourism,Tourism,,,,,2,1,B,08-Jun,A,3,
0169-023X,Data and Knowledge Engineering,"MIS, KM",B,,,,,2,,04-Jul,A,,
0011-7315,Decision Sciences,"OR,MS,POM",B,,2,P,3,2,A,04-Feb,A*,2,A
0167-9236,Decision Support Systems,"MIS, KM",B,,2,P,3,2,A,10-May,A*,2,A
0070-3370,Demography,Economics,,,1,,,2,A,05-Jan,A,,
0012-1533,Developing Economies,Economics,,,,,,1,,01-Mar,B,,
0012-155X,Development and Change,Sociology,,,2,S,3,2,A,03-Aug,B,3,
0957-9265,Discourse and Society,Comm,,,,,,2,,02-Jun,A,,
0921-8009,Ecological Economics,Economics,B,,1,,3,1,A,09-Jan,A,2,B
0747-4938,Econometric Reviews,Economics,,,2,,3,1,A,02-Apr,A,3,
0266-4666,Econometric Theory,Economics,,,1,,4,2,A,02-May,A*,1,
0012-9682,Econometrica,Economics,A+,,1*,,4*,3,A,07-Sep,A*,1*,A+
1368-4221,Econometrics Journal,Economics,,1,2,,3,2,A,04-Mar,A,3,
0143-831X,Economic and Industrial Democracy,Economics,,,3,,3,1,B,03-Apr,A,3,
1573-9414,Economic Change and Restructuring,Economics,,,4,,1,1,C,03-Jan,B,,
0013-0079,Economic Development and Cultural Change,Sociology,,,1,,3,1,A,02-May,A,,
0891-2424,Economic Development Quarterly,PSM,,,2,,,1,A,02-Apr,B,,
0013-0095,Economic Geography,Economics,,,1,,4,2,A,10-Feb,A,1,
0013-0117,Economic History Review,Economics,,,1,,4,2,A,02-Mar,A,,
0095-2583,Economic Inquiry,Economics,,,2,,3,1,A,02-Mar,A,3,
1363-7029,Economic Issues,Economics,,,,,1,1,,,B,,
0013-0133,Economic Journal,Economics,A,,1,,4,2,A,05-Sep,A*,1,
0264-9993,Economic Modelling,Economics,,,2,,2,1,A,4.0,A,3,
0266-4658,Economic Policy,Economics,,,2,,3,1,A,10-Sep,A,,
0013-0249,Economic Record,Economics,,,3,,2,1,B,01-Mar,A,,
0938-2259,Economic Theory,Economics,,,1,,3,1,A,2.0,A*,,
0013-0427,Economica,Economics,,,2,,3,1,A,02-Sep,A,3,
0266-2671,Economics and Philosophy,Economics,,,2,,2,1,A,01-Feb,A,,
0954-1985,Economics and Politics,Economics,,,3,,2,1,B,02-May,A,,
0165-1765,Economics Letters,Economics,B,,3,,3,1,B,02-Jul,A,3,B
0272-7757,Economics of Education Review,Education,,,2,,2,2,A,03-Feb,A,,
1043-8599,Economics of Innovation and New Technology,Entrep,B,,3,,2,1,B,03-May,B,4,
0967-0750,Economics of Transition,Economics,,,2,S,2,1,A,,A,,
0308-5147,Economy and Society,Economics,,,2,,3,2,A,02-Sep,A,3,
1557-3060,Education Finance and Policy,Education/Econ,,,,,,1,,04-Apr,A,,
0013-1644,Educational and Psychological Measurement,Education,,,,,,2,,03-Aug,A,,
0013-1881,Educational Research,Education,,,,,,2,,02-Sep,,,
1389-5753,Electronic Commerce Research,"MIS, KM",C,,,,2,1,,05-Mar,A,4,
1567-4223,Electronic Commerce Research and Applications,"MIS, KM",C,,4,S,2,2,B,07-Apr,C,4,B
1019-6781,Electronic Markets,"MIS, KM",B,,3,,2,1,B,07-Apr,A,3,B
1566-0141,Emerging Markets Review,F&A,,,3,,2,1,B,05-Mar,A,3,B
0340-8744,Empirica,Economics,,,,,1,1,,01-Aug,C,,
0377-7332,Empirical Economics,Economics,,,4,,2,1,C,2.0,A,,
0142-5455,Employee Relations,"OS/OB,HRM/IR",B,,4,,2,1,B,02-Aug,B,3,
0140-9883,Energy Economics,Economics,B,,2,,3,2,A,10.0,A*,,A
0195-6574,Energy Journal,Economics,,,1,,3,1,A,04-Apr,A,2,
0301-4215,Energy Policy,Economics,B,,2,,2,2,A,10-Feb,A,2,B
1467-2227,Enterprise and Society,Bus Hist,,,3,S,3,2,B,0.9,A,3,
0898-5626,Entrepreneurship and Regional Development,Entrep,B,,,S,3,2,A,05-Aug,A,2,B
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
1042-2587,Entrepreneurship Theory and Practice,Entrep,A,1,1,P,4,2,A,17-Jul,A*,1,A
0308-518X,Environment and Planning A,PSM,,,2,,3,2,A,05-Jun,A*,2,B
0265-8135,Environment and Planning B: Planning and Design,PSM,,,,,,2,,,A*,,
0263-774X,Environment and Planning C: Government and Policy,PSM,,,,,3,2,,n/a,B,,
0263-7758,Environment and Planning D: Society and Space,PSM,,,,,4,2,,06-Mar,A,4,B
0924-6460,Environmental and Resource Economics,Economics,,,2,,3,1,A,04-Feb,A,2,
0966-8136,Europe-Asia Studies,IB,,,3,,2,2,B,2.0,C,4,
0963-8180,European Accounting Review,F&A,A,,2,P,3,2,A,03-Jul,A*,2,B
0955-534X,European Business Review,Gen & Strat,,,3,,2,1,B,05-Mar,B,3,B
0014-2921,European Economic Review,Economics,B,,1,,3,2,A,3.0,A*,2,
1354-7798,European Financial Management,F&A,B,,3,S,3,1,B,02-Mar,A,3,B
0267-3231,European Journal of Communication,Comm,,,,,,2,,05-Aug,B,,
1351-847X,European Journal of Finance,F&A,B,,4,S,3,1,B,02-Mar,A,3,B
1618-7598,European Journal of Health Economics,Economics,B,,2,,2,1,A,04-Mar,A,,B
0959-6801,European Journal of Industrial Relations,"OS/OB,HRM/IR",C,,3,S,3,2,B,02-May,A,3,B
0960-085X,European Journal of Information Systems,"MIS, KM",A,,1,P,4,2,A,07-Jul,A*,1,A
1460-1060,European Journal of Innovation Management,Innovation,C,,4,,1,1,C,05-Jul,C,4,
1751-6757,European Journal of International Management,IB,B,,4,,2,1,C,03-Jul,C,4,
0309-0566,European Journal of Marketing,Marketing,C,,3,S,3,2,B,04-Jul,A*,2,B
0377-2217,European Journal of Operational Research,"OR,MS,POM",A,,1,P,4,1,A,09-May,A*,1,A
0890-2070,European Journal of Personality,Psychology,,,,,,2,,06-May,A,,
0176-2680,European Journal of Political Economy,Economics,,,2,,2,1,A,03-Apr,A,3,
0304-4130,European Journal of Political Research,Sociology,,,,,,2,,06-Apr,A,,
0046-2772,European Journal of Social Psychology,Psychology,,,,,3,2,,04-Apr,A,,
0003-9756,European Journal of Sociology,Sociology,,,,,,2,,,A,,
0967-2567,European Journal of the History of Economic Thought,Economics,,,1,,2,1,A,01-Jan,B,3,
2046-9012,European Journal of Training and Development,"OS/OB,HRM/IR",,,,,1,,,02-Aug,C,,
1359-432X,European Journal of Work and Organizational Psychology,"OS/OB,HRM/IR",B,,4,S,3,1,B,05-Jul,A,3,B
0263-2373,European Management Journal,Gen & Strat,B,,3,S,2,1,B,06-Apr,B,3,B
1740-4754,European Management Review,Gen & Strat,B,,3,S,3,1,A,02-Aug,C,2,B
0965-4313,European Planning Studies,PSM,,,,,2,1,,04-Jun,,4,
0165-1587,European Review of Agricultural Economics,Economics,,,2,,3,1,A,04-Mar,A,,
1361-4916,European Review of Economic History,Economics,,,2,,3,1,A,01-Jun,A,,
1356-3890,Evaluation,PSM,,,3,,2,2,B,3.0,B,3,
0193-841X,Evaluation Review,PSM,,,,,,1,,03-Jan,A,,
1386-4157,Experimental Economics,Economics,A,,1,,3,2,A,03-May,A*,,A
0266-4720,Expert Systems,"MIS, KM",,,,,2,1,,03-Apr,,,
0957-4174,Expert Systems with Applications,"MIS, KM",,,3,,1,2,B,12-Jul,C,3,B
0014-4983,Explorations in Economic History,Economics,,,2,,3,1,A,02-Sep,A,,
0894-4865,Family Business Review,"OS/OB,HRM/IR",B,,2,S,3,1,A,09-Jul,A,2,B
0752-6180,Finance,F&A,,,2,,1,,A,0.1,C,2,
0949-2984,Finance and Stochastics,F&A,B,,3,S,3,2,A,03-Jun,A,2,B
1544-6123,Finance Research Letters,F&A,B,,3,,2,1,B,05-Mar,A,3,B
0267-4424,Financial Accountability and Management,F&A,C,,3,S,3,2,B,02-Aug,A,3,B
0015-198X,Financial Analysts Journal,F&A,B,,,S,3,2,A,03-Mar,A,2,B
0046-3892,Financial Management,F&A,B,,2,P,3,2,A,02-Sep,A,2,B
1934-4554,Financial Markets and Portfolio Management,F&A,C,,,,2,1,C,0.8,B,4,
0963-8008,"Financial Markets, Institutions and Instruments",F&A,C,,3,,3,1,B,0.9,B,3,
0732-8516,Financial Review,F&A,B/C,,4,S,3,1,B,01-Jan,A,3,B
0015-2218,FinanzArchiv,Economics,B,,4,,1,1,C,0.6,B,,
0143-5671,Fiscal Studies,F&A,C,,3,,2,1,B,02-Apr,B,,
1936-6582,Flexible Services and Manufacturing Journal,"OR,MS,POM",B,,3,,1,1,B,04-Aug,C,4,
0950-3293,Food Quality and Preference,Marketing,,,,,,2,,08-Apr,A,,
0016-3287,Futures,Innovation,,,,,2,1,B,05-May,B,3,
0899-8256,Games and Economic Behavior,Economics,,,1,,3,2,A,02-Feb,A*,,
0891-2432,Gender and Society,PSM,,,,,3,2,,5.0,A*,3,B
1754-2413,Gender in management,Gen & Strat,,,,,1,1,,02-May,C,,
,,,,,,,,,,,,,
ISSN,Journal ,Subject area [Range highest to lowest],JourQual ,FT   ,Cnrs ,EJL ,ABS ,Den ,Hceres ,Scopus ,ABDC ,Fnege ,Meta 
,,,2015,2016,2020,2020,2021,2021,2021,CiteSc ,2022,2022,2023
,,, A+-D,1=Y,  1*-4,P*-S,4*-1,02-Jan,   A-C,2021,A*-C,1*-4, A+-B
0968-6673,"Gender, Work and Organization","OS/OB,HRM/IR",B,,3,,3,2,B,03-Mar,A,2,B
1018-5895,Geneva Papers on Risk and Insurance: Issues and Practic,eEconomics,B,,3,,2,1,B,2.0,B,3,
1554-964X,Geneva Risk and Insurance Review,F&A,C,,2,,2,1,B,01-Jul,B,3,
1465-6485,German Economic Review,Economics,B,,3,,2,1,B,01-Jul,B,4,
2397-0022,German Journal of HRM,HRM/IR,C,,,,2,1,,,B,,
1044-0283,Global Finance Journal,F&A,C,,,,2,1,C,03-Mar,A,4,
2042-5791,Global Strategy Journal,Gen & Strat,B,,3,P,4,2,B,07-Feb,A,2,B
0952-1895,Governance,PSM,A,,3,,4,2,B,05-Jan,,3,B
1059-6011,Group and Organization Management,"OS/OB,HRM/IR",B,,3,S,3,2,A,05-Jan,A,2,B
