paper,metric,metric_type,value,lo,hi,rationale,scale_min,scale_max
Adena and Hager 2024,methods,percentile,86.0,78.0,91.0,"Justified geo-randomization with blocking and 2x2 factorial; appropriate linear/DiD models, blocks FE, RI tests, spillover modeling, heterogeneity. Sensitivity to post windows, winsorization checks. Limits: aggregate outcomes, potential spatial correlation, partial prereg deviations, limited multiple-testing adjustments.",0,100
Adena and Hager 2024,advancing_knowledge,percentile,85.0,75.0,90.0,Shifts focus from clicks to total giving across channels/time; quantifies ROI; documents inter-charity crowd-out at scale; evaluates content vs allocation strategies. High practical value for NGOs/digital ads. External validity beyond Germany/SvC and for targeted campaigns is plausible but not guaranteed.,0,100
Adena and Hager 2024,logic_communication,percentile,87.0,80.0,92.0,"Objectives and constructs are clear; assumptions explicit; analysis flows logically; figures/tables support claims; limitations transparent. Some complexity juggling multiple datasets and normalizations, but reasoning remains coherent and consistent.",0,100
Adena and Hager 2024,open_science,percentile,62.0,50.0,72.0,"Pre-registered; detailed appendix with design, balance, and robustness. However, no public microdata or code evident (confidentiality); prereg modifications noted; replication possible in principle but not turnkey.",0,100
Adena and Hager 2024,global_relevance,percentile,78.0,68.0,85.0,Directly actionable for charities/fundraisers on social media ROI and crowd-out implications. Useful for prioritizing fundraising spend. Less direct for broader public policy; country- and organization-specific context tempers universality.,0,100
Adena and Hager 2024,tier_should,tier,4.2,3.6,4.7,"Novel, nationwide randomized field experiment with strong identification and practical contributions. Suitable for top field journals (applied micro/marketing/management/NP). Aggregate data and scope modestly limit A-journal likelihood but merit is high.",0,5
Adena and Hager 2024,tier_will,tier,3.9,3.2,4.5,"Likely placement in a strong/top field journal (applied micro, marketing/management science, nonprofit). A-journal possible but uncertain given scope, data access, and niche audience.",0,5
Aghion et al. 2017,overall,percentile,93.0,87.0,97.0,Agenda-setting synthesis linking AI-as-automation to growth via task-based CES (ρ<0) and Baumol constraints; extends to idea production and singularities; includes firm-level channels and stylized evidence. Strong theory and communication; limited causal empirics and exogenous automation path temper strength.,0,100
Aghion et al. 2017,claims_evidence,percentile,82.0,75.0,88.0,"Main claims are clearly framed and supported by formal derivations, simulations, and sectoral capital-share trends. Evidence is primarily theoretical/descriptive; βt is exogenous; no identification. Characterization of evidence and caveats is accurate and balanced.",0,100
Aghion et al. 2017,methods,percentile,85.0,78.0,90.0,"Solid growth-theory methods (Zeira-style tasks, CES aggregation, Schumpeterian appendix). Conditions for balanced growth and singularities are explicit; regime-switching explored. Limited robustness/sensitivity or calibration; some knife-edge assumptions acknowledged.",0,100
Aghion et al. 2017,advancing_knowledge,percentile,92.0,86.0,96.0,"Integrates automation with Baumol’s disease, clarifies when AI shifts growth and income shares, formalizes conditions for (non)singularities, and outlines firm-level channels. High conceptual value and agenda-setting impact for AI–macro research and policy debates.",0,100
Aghion et al. 2017,logic_communication,percentile,91.0,86.0,95.0,"Goals and questions are clear; assumptions (βt, ρ, φ) explicit; logical steps and proofs transparent; figures aid intuition. Objections (bottlenecks, search limits, creative destruction) are well reasoned. Notation heavy but consistent and readable.",0,100
Aghion et al. 2017,open_science,percentile,45.0,35.0,55.0,"Models and data sources are described, but no code or replication package; simulations not directly reproducible; limited reusable tools or datasets. Open working-paper availability helps, yet replicability is moderate at best.",0,100
Aghion et al. 2017,global_relevance,percentile,84.0,76.0,90.0,"Highly relevant for long-run growth, factor shares, and AI policy. Provides mechanisms and qualitative guidance on constraints and risks; limited actionable, quantified policy metrics or implementation analysis.",0,100
Aghion et al. 2017,tier_should,tier,4.3,3.8,4.8,Strong theoretical contribution and synthesis with clear implications; suitable for top field or marginal A-journal. Lack of causal empirics/calibration likely keeps it just below top general outlets.,0,5
Aghion et al. 2017,tier_will,tier,4.1,3.6,4.6,Likely to publish in a leading field or marginal A-journal given topic salience and quality. Empirical lightness could steer it to strong field journals; interest in AI–macro may nudge upward.,0,5
Akram et al. 2017,overall,percentile,91.0,86.0,95.0,"Large, well-executed saturation RCT measuring direct and GE spillovers on migration, wages, hours, prices. Multi-source data, clear modeling and robust checks. Some results rely on retrospective employer data and a few weak first-stage IVs; open-science practices moderate. Overall highly convincing and useful.",0,100
Akram et al. 2017,claims_evidence,percentile,88.0,83.0,93.0,"Main claims (strategic complementarities, increased migration, higher ag wages, more work hours, slight food price rise, limited intra-household substitution) are well supported by randomized saturation, village-level IV, and high-frequency data. Profit effects are less robust; some recall-based measures temper certainty.",0,100
Akram et al. 2017,methods,percentile,87.0,82.0,92.0,Strong design: cluster saturation to identify GE effects; appropriate clustering; balance and interference checks; IV with strong village first stage for key outcomes. High-frequency surveys reduce recall bias. Some specifications have weaker instruments; employer surveys are retrospective; multiple outcomes not fully multiplicity-adjusted.,0,100
Akram et al. 2017,advancing_knowledge,percentile,92.0,87.0,97.0,"Provides rare, credible GE evidence on internal seasonal migration subsidies, quantifying wage and price effects and spillovers. Directly informs debates on mobility restrictions vs. connectivity investments. High practical and research value; external validity outside context remains to be established.",0,100
Akram et al. 2017,logic_communication,percentile,90.0,85.0,95.0,"Clear theory-to-empirics mapping, transparent assumptions, coherent narrative across multiple datasets. Tables and timing are well explained; robustness and mechanisms discussed. Some sections dense and p-value centric, but overall reasoning is tight and consistent with evidence.",0,100
Akram et al. 2017,open_science,percentile,62.0,50.0,74.0,"Trial was registered; sampling and protocols are described in detail. However, no clear public replication package or open data/code indicated; several datasets are proprietary field surveys. Replicability is possible in principle but not maximized.",0,100
Akram et al. 2017,global_relevance,percentile,93.0,88.0,97.0,"Highly relevant to development policy: seasonal hunger, internal migration, rural wages, employer impacts, and prices. Quantifies effects decision-makers need. Results are communicated in practitioner-relevant terms, with magnitudes and mechanisms.",0,100
Akram et al. 2017,tier_should,tier,4.3,3.8,4.8,"Methodologically strong, policy-relevant RCT with credible GE estimates merits a top field or marginal general-interest outlet. Minor weaknesses (some retrospective measures, a few weak IVs, limited multiplicity adjustment) likely prevent top-5 placement but still very strong.",0,5
Akram et al. 2017,tier_will,tier,4.2,3.5,4.7,"Given rigor, scope, and policy salience, it is likely to land in a top field journal or marginal A-level outlet. Some fragility in employer/profit results and data-sharing limits may reduce chances at the very top, but prospects remain strong.",0,5
Alatas et al. 2019,overall,percentile,87.0,80.0,92.0,"Large-scale randomized Twitter experiment separates reach from endorsement; strong online effects and careful tests; offline impacts are suggestive. Clear design and analysis; useful policy insights. Limits: generalizability beyond Indonesia/Twitter circa 2015, self-reported offline outcomes, evolving platform mechanics.",0,100
Alatas et al. 2019,claims_evidence,percentile,86.0,78.0,92.0,"Claims (endorsement boosts diffusion; sources dampen; concave exposure; exposure affects awareness/knowledge) are explicit and mostly backed by randomization and robustness (forced RTs, RI p-values). Offline effects are cautiously framed; some p-values marginal and outcomes self-reported.",0,100
Alatas et al. 2019,methods,percentile,85.0,77.0,91.0,"Strong design: within-celebrity randomization, forced retweets to address selection, FE, Poisson models, RI p-values, preregistration. Concerns: interference/spillovers, exposure measurement, survey selection, multiple testing, limited power for behavior, external validity across platforms/times.",0,100
Alatas et al. 2019,advancing_knowledge,percentile,84.0,76.0,90.0,Causally isolates endorsement vs reach at scale; practical insights for seeding and message design. Adds to diffusion/public health comms. Less novel now than at release; behavioral outcomes limited and suggestive; Twitter-specific context tempers breadth.,0,100
Alatas et al. 2019,logic_communication,percentile,88.0,82.0,94.0,"Questions and design are clear; reasoning transparent; figures/tables align; appendices aid interpretation. Appropriate caution on offline results. Some notational complexity and many specifications, but narrative remains coherent.",0,100
Alatas et al. 2019,open_science,percentile,66.0,55.0,76.0,"Pre-registered, IRB-approved, and design well documented. Full replication data/code not clearly public; Twitter TOS limits sharing; survey materials partially described. Above-average transparency but not exemplary for reproducibility.",0,100
Alatas et al. 2019,global_relevance,percentile,82.0,72.0,90.0,"Highly relevant to vaccine promotion and health messaging in LMICs; actionable takeaways (influencer seeding, sourcing caution, exposure strategy). Limited quantified cost-effectiveness; offline effects modest; platform changes may affect applicability.",0,100
Alatas et al. 2019,tier_should,tier,4.3,3.8,4.7,"Deserves a top field/marginal A placement: compelling RCT, novel identification, strong online evidence, and clear policy implications. Constraints on offline outcomes and generalizability likely keep it short of top general-interest journals.",0,5
Alatas et al. 2019,tier_will,tier,4.2,3.6,4.6,"Likely to publish in a strong field or marginal A journal given rigor and timeliness. Some venues may hesitate due to modest offline impacts, platform specificity, and replication/data-sharing limits.",0,5
Alcott et al. 2024,overall,percentile,92.0,86.0,96.0,"Novel sufficient-statistics welfare framework for nudges with taxes and pass-through, combined with two incentivized experiments. Strong theoretical clarity and careful estimation of heterogeneity/targeting. Limits: measurement assumptions, external validity, simplified settings, and some large SEs.",0,100
Alcott et al. 2024,claims_evidence,percentile,88.0,82.0,93.0,"Claims are clearly posed and appropriately qualified. Theory is rigorous; experiments identify ATEs, variance, and covariance/targeting. Some dependence on normality/orthogonality and bias-proxy assumptions; pass-through/markup are imputed from external evidence. Results consistent and nuanced.",0,100
Alcott et al. 2024,methods,percentile,86.0,80.0,91.0,"Sound public-finance modeling; correct derivations and sufficient-statistics. Within-subject RCT-style designs and mixed-effects estimation are reasonable. Assumptions (normality, independence of measurement error, trimming) and artefactual tasks limit robustness; cars choices not real purchases.",0,100
Alcott et al. 2024,advancing_knowledge,percentile,92.0,87.0,97.0,"Shifts welfare evaluation of nudges from average effects to variance/targeting and interaction with taxes/pass-through. Provides portable formulas and two applications, offering a template with clear policy implications across domains. Likely to influence research and practice.",0,100
Alcott et al. 2024,logic_communication,percentile,93.0,88.0,97.0,Goals and concepts explicit; assumptions stated; logic flows with proofs and graphical intuition. Figures/tables align with narrative; notation consistent. Limitations and scope are candidly discussed. Writing is clear despite technical depth.,0,100
Alcott et al. 2024,open_science,percentile,85.0,78.0,92.0,"Trials registered; IRB approved; replication files announced; extensive appendices. No pre-analysis plan (argued infeasible) and some external inputs assumed (e.g., pass-through, SCC). Overall likely reproducible with available code/data.",0,100
Alcott et al. 2024,global_relevance,percentile,90.0,84.0,95.0,"Highly relevant to health and climate policy. Offers practitioners a quantifiable framework to judge nudges vs taxes under realistic market features (pass-through, markups). Provides actionable insights with clear caveats on generalizability.",0,100
Alcott et al. 2024,tier_should,tier,4.6,4.1,5.0,"Conceptual advance plus competent empirics with strong policy salience. Merits top field or general-interest outlet; with polishing, plausible for an A journal.",0,5
Alcott et al. 2024,tier_will,tier,4.4,3.8,4.9,"Likely to publish in a top field or AEJ-level journal; nontrivial chance at an A journal given breadth and clarity, but empirical limitations may steer to top field.",0,5
Angrist et al. 2023,overall,percentile,93.0,87.0,97.0,"Multi-country RCTs during real disruptions with consistent, large learning gains for phone tutoring; credible phone-assessment validation; government-versus-NGO scale evidence; quantified cost-effectiveness; strong engagement and heterogeneity checks. Limits: mixed randomization units, phone-only testing, limited evidence of open materials/code.",0,100
Angrist et al. 2023,claims_evidence,percentile,94.0,89.0,98.0,"Claims (phone tutoring effective across contexts; SMS mixed; government delivery comparable; high cost-effectiveness) are tightly linked to RCT evidence, pooled and country estimates, measurement validity checks, and a typhoon quasi-experiment. Effects and uncertainty are reported transparently; conclusions generally match evidence.",0,100
Angrist et al. 2023,methods,percentile,90.0,84.0,95.0,"Clear RCT designs with stratification; ITT OLS with clustered SEs; balance/attrition checks; validity tests for phone assessments; heterogeneity and delivery-model analyses; LAYS cost-effectiveness. Caveats: mixed randomization levels, limited multiple-testing discussion, unclear pre-analysis plan, residual concerns about phone-only measurement.",0,100
Angrist et al. 2023,advancing_knowledge,percentile,95.0,90.0,99.0,"Fills a major gap on education in emergencies with multi-country experimental evidence, including government delivery at scale. Quantifies learning recovery, teacher-practice shifts, and cost-effectiveness, offering directly actionable guidance for systems facing shocks. Strong external validity contribution.",0,100
Angrist et al. 2023,logic_communication,percentile,90.0,85.0,95.0,"Objectives, interventions, and estimands are well articulated. Tables/figures support the narrative; assumptions, context, and limits are discussed. Reasoning is transparent and conclusions are proportionate to results. Minor complexity from multiple contexts is handled clearly.",0,100
Angrist et al. 2023,open_science,percentile,62.0,45.0,78.0,"Designs, measures, and appendices are described in useful detail; monitoring reported. However, no explicit public replication package, code, or data are indicated; the emergencies database availability is unclear; pre-analysis plan not cited. Replicability moderate but not exemplary.",0,100
Angrist et al. 2023,global_relevance,percentile,98.0,94.0,100.0,"Directly targets continuity of learning in LMIC emergencies; integrates with government systems; provides costs, LAYS, and engagement metrics; evidence spans multiple contexts and an additional shock. Highly actionable for ministries and donors prioritizing resilience.",0,100
Angrist et al. 2023,tier_should,tier,4.3,3.7,4.8,"On merit, this warrants a top field or marginal A-journal: multi-country RCTs, strong external validity, policy relevance, government scale evidence, and high cost-effectiveness with careful measurement. Minor methodological and openness limitations prevent a clear top-general placement.",0,5
Angrist et al. 2023,tier_will,tier,3.9,3.2,4.4,"Most likely in a strong/top field outlet in development/education or an applied general-interest field journal. High policy salience and rigorous design raise prospects, but mixed novelty to theory and open-science gaps may limit placement in top general journals.",0,5
Arora et al. 2023,overall,percentile,89.0,82.0,95.0,"Ambitious, well-executed empirical study separating knowledge, people, and inventions; novel IV strategy and rich data. Results are clear, large, and robust with heterogeneity analyses. Remaining concerns: exclusion restrictions for Bartik IVs, measurement error in textual similarity, and data-access dependence.",0,100
Arora et al. 2023,claims_evidence,percentile,88.0,80.0,93.0,"Main questions and claims are explicit; extensive evidence across patents, publications, AMWS scientists, R&D, and Tobin’s Q. Multiple robustness checks (alt IVs, alt measures, CF Poisson, industry/frontier heterogeneity) bolster claims. Some reliance on constructed exposures and IV assumptions limits certainty.",0,100
Arora et al. 2023,methods,percentile,86.0,78.0,91.0,"Innovative Bartik IVs using subcommittee politics to predict agency R&D; strong first stages; firm/year FE; careful exposure shares; alternative estimators. Risks remain: exclusion restriction, potential correlated shocks, stability of shares, advisor-funding linkage noise, SPECTER matching error.",0,100
Arora et al. 2023,advancing_knowledge,percentile,92.0,86.0,97.0,"Sharp contribution distinguishing abstract knowledge vs embodied people/inventions; challenges canonical spillover view; quantifies crowding-out and complements; frontier vs follower insights. High policy salience for public R&D, tech transfer, and workforce training.",0,100
Arora et al. 2023,logic_communication,percentile,86.0,80.0,91.0,"Clear conceptual framework with testable predictions; consistent empirical narrative; thorough appendices and tables. Some complexity in constructs (textual similarity, crosswalks) may tax non-specialists, but overall reasoning is transparent and aligned with evidence.",0,100
Arora et al. 2023,open_science,percentile,65.0,55.0,75.0,"Data sources and construction are documented; some datasets shared. However, key inputs (Dimensions, PQDT) are licensed; SPECTER pipeline and full code/embeddings not clearly open; heavy HPC needs hinder reproducibility. Internal consistency checks are strong.",0,100
Arora et al. 2023,global_relevance,percentile,85.0,78.0,92.0,"Highly relevant to science policy, R&D funding design, Bayh–Dole/tech transfer, and corporate innovation strategy. Provides elasticities and sectoral heterogeneity. Less detailed on implementation costs/benefits, but actionable for policymakers and large firms.",0,100
Arora et al. 2023,tier_should,tier,4.3,3.7,4.8,"Major, policy-relevant contribution with credible (if debatable) identification, rich data, and broad implications. Methods and robustness justify top field or marginal A placement; residual identification/measurement caveats likely prevent clear A+ placement.",0,5
Arora et al. 2023,tier_will,tier,3.9,3.2,4.4,"High-visibility, novel design and results suggest publication in a strong top field or marginal A outlet. Debates over IV validity/data access may steer toward top field journals rather than elite general-interest outlets.",0,5
Bahar et al. 2022,overall,percentile,90.0,83.0,95.0,"Large, high-quality admin data linked to full registry; novel RD–IV using rain-induced permutations; strong first stage; clear placebos and panel corroboration; policy-relevant findings. Some reliance on modeling the running variable and limited replicability temper confidence slightly.",0,100
Bahar et al. 2022,claims_evidence,percentile,88.0,80.0,93.0,"Claims are clear (PEP boosts firm creation 1.2–1.8 pp; effects grow; larger than relocation). Supported by IV estimates, balance tests, placebo years, heterogeneity, and DiD panel. Some residual concern about formalization vs new entry and other behavioral channels remains.",0,100
Bahar et al. 2022,methods,percentile,85.0,77.0,91.0,Innovative ‘running-variable instrument’ leveraging rainfall and batching; controls for expected instrument; strong F-stats; RD diagnostics and balance. Assumptions on within-city-week rain as-if random and mapping from rain to queue numbers are nontrivial; permutation/reordering steps add complexity.,0,100
Bahar et al. 2022,advancing_knowledge,percentile,89.0,82.0,95.0,"Provides first causal estimate (to my knowledge) of legalization’s impact on immigrant entrepreneurship in a developing-country context; timing and magnitudes are policy-relevant. Method generalizes to threshold settings. Strong contribution to migration, entrepreneurship, and applied causal design.",0,100
Bahar et al. 2022,logic_communication,percentile,87.0,80.0,92.0,"Goals and assumptions are explicit; design formalized and motivated; figures clarify the instrument and thresholds; placebos and pre-trends align with claims. Some dense technical steps (e.g., prediction reordering) could be clearer, but argument remains coherent and consistent.",0,100
Bahar et al. 2022,open_science,percentile,45.0,30.0,60.0,"Careful description and extensive appendix, but no evident replication package or public code/data. Admin data likely restricted. Reproducibility would be strengthened by code for matching, simulations, and first/second-stage analyses.",0,100
Bahar et al. 2022,global_relevance,percentile,93.0,86.0,97.0,"Directly relevant to global migration policy and regularization programs; quantifies impacts useful for governments and practitioners. Mechanisms (legal rights, time to apply) generalize, though external validity beyond Colombia may vary.",0,100
Bahar et al. 2022,tier_should,tier,4.2,3.7,4.7,"Merits top field or marginal A-journal: credible causal design, important policy question, novel method, sizable effects. Some methodological complexity and replicability limits may keep it just below top general journals.",0,5
Bahar et al. 2022,tier_will,tier,3.9,3.4,4.3,"Likely to publish in a strong/top field journal (e.g., AEJ-type, JDE, JPubE). Novelty and policy relevance are strong; methodological novelty plus limited open materials may reduce odds of top general journal placement.",0,5
Banerjee et al 2022,overall,percentile,94.0,88.0,98.0,"Invents TVA for factorial policy selection, proves support recovery and post-selection inference under clear assumptions, validates via simulations, and applies to a large RCT to pick effective and cost‑effective bundles. Some strong assumptions (beta‑min, homoskedasticity) and selection‑conditional inference caveats temper certainty.",0,100
Banerjee et al 2022,claims_evidence,percentile,92.0,85.0,96.0,"Research questions and targets (best and cost‑effective policy) are explicit. Evidence combines a 915‑village factorial RCT with validated admin data, structured pooling, and winner’s‑curse adjustment. Power and multiple‑testing are addressed. Reliance on asymptotics and tuning choices remains.",0,100
Banerjee et al 2022,methods,percentile,93.0,86.0,97.0,"Methodologically strong: lattice‑based pooling rules, Puffer‑LASSO to handle collinearity, consistency results, post‑selection OLS, and hybrid correction for selection. Extensive simulations. Assumptions (beta‑min, K<n, homoskedasticity) and noise inflation under preconditioning, plus λ choice, are limitations.",0,100
Banerjee et al 2022,advancing_knowledge,percentile,91.0,83.0,96.0,"Provides a general, practical pipeline for selecting bundled policies from large factorials; informs immunization policy with quantified effects and cost‑effectiveness; shows complementarities. Useful beyond this setting. Extensions (heteroskedasticity, K≥n, open tools) would broaden impact.",0,100
Banerjee et al 2022,logic_communication,percentile,90.0,82.0,95.0,"Clear framing, definitions, assumptions, Hasse diagrams, and algorithms; rigorous propositions with proofs; results tied back to policy. Dense exposition may limit accessibility; some post‑selection inference issues are noted but not fully resolved in theory.",0,100
Banerjee et al 2022,open_science,percentile,68.0,55.0,80.0,"Detailed appendices, simulation designs, robustness checks, and intervention descriptions aid reproducibility. However, code/data availability is not clearly provided; admin data likely restricted; full replication would require released materials.",0,100
Banerjee et al 2022,global_relevance,percentile,93.0,86.0,98.0,"Directly targets low immunization in LMICs and offers a scalable way to choose among nudges; quantifies effects and per‑dollar gains; shows complementarity of ambassadors, SMS, incentives. Framework generalizes to other global‑priority bundles and informs implementation.",0,100
Banerjee et al 2022,tier_should,tier,4.6,4.1,5.0,"Strong, novel methodology with rigorous theory plus a high‑quality application and clear policy value. Fit for a top field or A‑journal in applied econometrics/development. Assumptions and selection‑inference caveats modestly limit ceiling.",0,5
Banerjee et al 2022,tier_will,tier,4.4,3.8,5.0,"Likely to place in a top field or marginal A‑journal given methodological contribution and impactful application. Some journals may be cautious about selection‑conditional inference details and data/code availability, creating variance in outcomes.",0,5
Banerjee et al. 2022,overall,percentile,92.0,87.0,97.0,"Novel, well-justified method (TVA) for high-dimensional factorial RCTs, with theory, simulations, and a large policy-relevant application. Thoughtful adjustment for winner’s curse. Assumptions (sparsity, beta-min, homoskedasticity) limit generality somewhat; replication materials not fully clear. Substantial impact for practice and methods.",0,100
Banerjee et al. 2022,claims_evidence,percentile,91.0,86.0,96.0,"Core questions are explicit: select/prune/pool policy variants and estimate best policy. Provides proofs, clear assumptions, simulations under multiple regimes, and a sizable RCT application. Correctly notes non-uniform post-selection inference and scope limits. Empirical results align with design; cost-effectiveness addressed.",0,100
Banerjee et al. 2022,methods,percentile,92.0,88.0,97.0,"Method combines Puffer-transformed LASSO for support recovery, pooling via lattice structure, post-selection OLS, and hybrid CIs for winner’s curse. Addresses irrepresentability; states growth and beta-min assumptions. Robust simulations; sensitivity analyses. Limits: homoskedasticity, reliance on sparsity, pointwise asymptotics.",0,100
Banerjee et al. 2022,advancing_knowledge,percentile,90.0,85.0,96.0,"Contributes a principled, general approach to policy selection from large factorial designs; advances post-selection inference in applied settings. Application yields actionable guidance for immunization policy and highlights complementarities. Likely to inform future experimental designs beyond this domain.",0,100
Banerjee et al. 2022,logic_communication,percentile,87.0,80.0,93.0,"Reasoning is transparent; assumptions and steps are explicit; diagrams/algorithms aid comprehension. Dense technical sections may challenge some readers, but applied sections summarize implications well. Conclusions track evidence and limitations are candid.",0,100
Banerjee et al. 2022,open_science,percentile,65.0,50.0,80.0,"Detailed methodological exposition and appendices; algorithms and robustness checks are extensive. However, code and data availability are not clearly provided for full replication; sensitive admin data may constrain sharing. Openness is moderate rather than exemplary.",0,100
Banerjee et al. 2022,global_relevance,percentile,93.0,88.0,98.0,"High relevance for global health policy and resource allocation. Findings on immunization and cost-effectiveness are actionable. TVA is broadly applicable to multi-arm, multi-dose policy problems common in LMIC settings and beyond, improving decision quality.",0,100
Banerjee et al. 2022,tier_should,tier,4.6,4.2,5.0,Methodological innovation with strong theory and a compelling large-scale application. Practical policy value plus generalizability. Merits a top field or general-interest outlet; borderline A-journal quality on content alone.,0,5
Banerjee et al. 2022,tier_will,tier,4.4,3.8,4.9,"Bridging theory and applied development may steer toward top field journals in econ/stats or strong interdisciplinary outlets. Publication prospects are very strong, though cross-field fit and replication assets may affect placement.",0,5
Banerjee et al. 2023,overall,percentile,93.0,88.0,97.0,"Large, carefully executed cluster RCT comparing long-term UBI, short-term UBI, and lump-sum transfers. Strong internal validity, rich multi-source data, clear pre-spec, and sensible theory. Important early results. Limits: short horizon, many outcomes, limited cross-arm power, some measurement issues.",0,100
Banerjee et al. 2023,claims_evidence,percentile,92.0,87.0,96.0,"Main questions and contrasts are explicit. Claims are generally calibrated to evidence, with frequent caveats on precision (e.g., prices) and power for pairwise tests. Pre-registered aggregates reduce cherry-picking. One-sided tests justified by theory. Clear when effects are null or borderline.",0,100
Banerjee et al. 2023,methods,percentile,90.0,84.0,94.0,"Village-level stratified randomization; high response; Conley SEs; enterprise census, markets, elder surveys; migrant tracking; pre-analysis plan. Sensible specifications. Limits: multiplicity (many outcomes), self-reports, net revenue excludes household labor, short time window, limited external spillover identification.",0,100
Banerjee et al. 2023,advancing_knowledge,percentile,96.0,92.0,99.0,First large-scale universal UBI RCT with 12-year commitment; early GE effects and tranching comparison (stream vs lump-sum) are novel and policy-relevant. Updates beliefs on savings/credit constraints and labor supply under UBI. Valuable to development policy and research agendas.,0,100
Banerjee et al. 2023,logic_communication,percentile,91.0,87.0,95.0,"Questions, setup, and theory–evidence link are clear. Assumptions and limitations are stated. Tables and appendices are comprehensive; narrative is coherent. Some density and breadth may tax readers, but conclusions track presented evidence; no overreach.",0,100
Banerjee et al. 2023,open_science,percentile,82.0,72.0,90.0,"Pre-analysis plan registered; design, balance, and integrity checks reported; IRB and conflicts disclosed. Replication seems feasible with shared data/code, but public code/data availability is not clearly documented here; some outcomes added via later phone survey.",0,100
Banerjee et al. 2023,global_relevance,percentile,96.0,92.0,99.0,"Directly informs UBI and cash transfer design in LMICs; quantifies economic and welfare effects and labor responses; tranching implications matter for implementers. Communicates uncertainties. External validity beyond setting/time remains to be seen, but practical value is high.",0,100
Banerjee et al. 2023,tier_should,tier,4.6,4.2,5.0,"Methodologically rigorous, novel, and highly policy-relevant. Even as an early round, results substantially advance understanding of UBI and transfer design. Merits a top field or marginal A-journal; with longer-term follow-ups, could warrant top general outlet.",0,5
Banerjee et al. 2023,tier_will,tier,4.4,3.8,5.0,"Likely to place in a strong top field or marginal A-journal given scale, novelty, and careful execution. Early horizon and cross-arm power limits may temper top-5 probability until longer-term results arrive.",0,5
Barberio et al. 2022,overall,percentile,78.0,70.0,86.0,"Well-scoped Monte Carlo of an mRNA EID vaccine megafund with transparent assumptions, correlated trial modeling, and broad sensitivity analysis. Insights are policy-relevant. Limitations: strong simplifying assumptions on demand/pricing, no code, limited validation/optimization.",0,100
