research,criteria,publication_status,main_cause_cat,evaluator,anonymous,middle_rating,lower_ci,upper_ci,confidence_level,checked_against_source,notes_on_check_against_source,evaluator_comment,eval_weight_not_used_yet,cause_areas,journal_publication_title,publication_date_unjournal,row_created_date,.rowid,doi_key,arxiv_key,title_key,first_author,year_key,uj_map_key
A Welfare Analysis of Policies Impacting Climate Change,gp_relevance,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,90,85,96,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",17,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,merits_journal,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,4.9,4.7,5,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",18,NA,NA,NA,NA,NA,NA
A Welfare Analysis of Policies Impacting Climate Change,journal_predict,Working paper/mimeo; not published in a peer-reviewed journal,The Environment: Harm to human health,biodiversity,risks and climate change,Frank Venmans ,false,5,4.3,5,NA,NA,NA,NA,NA,NA,"WP,2025-05-23,6/5/2025 12:52:29 PM",19,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,overall,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,60,50,70,NA,false,NA,If all my comments were addressed and the paper completely redone then it would score a lot higher,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",20,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,merits_journal,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,2,1,3,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/2/2024 12:06:30 PM",21,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,overall,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,40,20,60,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/2/2024 12:07:14 PM",22,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,adv_knowledge,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,35,10,50,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",23,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,adv_knowledge,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,60,50,70,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",24,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,methods,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,50,40,60,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",25,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,logic_comms,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,60,50,70,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",26,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,open_sci,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,60,50,70,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",27,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,real_world,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,60,50,70,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",28,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,gp_relevance,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,80,70,90,NA,false,NA,The topic is highly relevant as pandemics and infectious diseases are a top global priority. The premise with the limited focus on private sector investment is somewhat flawed though as per comments 1-3 of my review,as is the assumption of no attempt to optimise of the portfolio of vaccines at the outset (e.g. in relation to expected benefits) as per comments 5-6 of my review.,NA,"Pandemic, disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",29,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,merits_journal,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,3,2.5,3.5,NA,false,NA,This is as it stands. Should be top tier 5.0 (50) if all of my comments are addressed and the paper is completely redone.,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",30,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,journal_predict,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Tim Colbourn,false,3,2.5,3.5,NA,false,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,6/7/2024 5:12:14 PM",31,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,methods,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,50,30,60,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",32,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,logic_comms,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,30,10,50,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",33,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,open_sci,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,50,30,70,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",34,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,real_world,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,60,50,80,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",35,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,gp_relevance,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,60,50,80,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",36,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,merits_journal,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,2,1,3,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",37,NA,NA,NA,NA,NA,NA
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,journal_predict,book chapter,Catastrophic and existential risks,the long-term future,forecasting,Richard Bruns,false,2,1,4,NA,NA,NA,NA,NA,Pandemic,"disease, and bio-risks,,2024-04-05,7/9/2024 10:46:48 AM",38,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,overall,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,80,70,90,NA,false,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",39,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,claims,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,82,74,90,NA,false,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",40,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,adv_knowledge,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,85,78,92,NA,false,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",41,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,methods,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,85,78,92,NA,NA,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",42,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,logic_comms,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,80,71,89,NA,NA,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",43,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,open_sci,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,90,85,95,NA,NA,NA,My rating here is based on the data and its use,not the study’s experimental design in the field,"which (like many experiments) likely has many nuances in implementation.,,Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",44,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,real_world,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,80,70,90,NA,NA,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",45,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,gp_relevance,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,80,70,90,NA,NA,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",46,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,merits_journal,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,4.5,4,5,NA,NA,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",47,NA,NA,NA,NA,NA,NA
Adaptability and the Pivot Penalty in Science,journal_predict,Published,~top journal,Innovation,meta-science,and research,Evaluator 1,true,4.5,4,5,NA,NA,NA,NA,NA,"Innovation, meta-science, & research,WP,2025-05-21,6/5/2025 12:58:51 PM",48,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,adv_knowledge,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,25,20,40,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",49,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,methods,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,95,85,97.5,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",50,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,logic_comms,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,75,60,90,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",51,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,real_world,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,NA,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",52,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,gp_relevance,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,60,40,75,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",53,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,journal_predict,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,3,2.5,4.5,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",54,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,open_sci,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,NA,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",55,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,merits_journal,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,NA,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",56,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,overall,published,decent journal,Global health; “Health & well-being in low-income countries”,David Manheim,false,80,70,90,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",57,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,adv_knowledge,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,90,70,100,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",58,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,methods,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,70,50,90,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",59,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,logic_comms,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,70,50,90,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",60,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,real_world,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,90,70,100,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",61,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,gp_relevance,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,90,70,100,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",62,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,journal_predict,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,5,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",63,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,open_sci,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,50,30,70,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",64,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,merits_journal,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,5,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",65,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,overall,published,decent journal,Global health; “Health & well-being in low-income countries”,Joel Tan,false,79,59,94,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",66,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,adv_knowledge,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,90,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",67,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,methods,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,80,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",68,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,logic_comms,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,80,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",69,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,real_world,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,NA,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",70,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,gp_relevance,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,95,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",71,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,journal_predict,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,4,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",72,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,open_sci,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,90,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",73,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,merits_journal,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,4,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",74,NA,NA,NA,NA,NA,NA
Advance Market Commitments: Insights from Theory and Experience,overall,published,decent journal,Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,80,NA,NA,NA,false,NA,NA,NA,Global health (LMICs),AEA Papers and Proceedings,"2023-03-20,6/7/2024 4:40:59 PM",75,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,adv_knowledge,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,75,65,85,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,76,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,methods,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,80,75,85,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,77,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,logic_comms,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,70,60,80,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,78,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,real_world,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,NA,NA,NA,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,79,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,gp_relevance,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,90,85,100,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,80,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,journal_predict,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,NA,NA,NA,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,81,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,open_sci,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,95,90,100,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,82,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,merits_journal,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,4,3.5,5,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,83,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,overall,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,80,70,90,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,84,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,adv_knowledge,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,97,80,100,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,85,NA,NA,NA,NA,NA,NA
Artificial Intelligence and Economic Growth,methods,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,70,40,90,NA,false,NA,NA,NA,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM,86,NA,NA,NA,NA,NA,NA
