label_paper,label_paper_title,evaluator,criteria,middle_rating,lower_ci,upper_ci,rationale
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,merits_journal,4.6,4.5,5,
NA,Population ethical intuitions. Cognition. http://sciencedirect.com/science/article/abs/pii/S0010027721003644?via%3Dihub,Stijn Bruers,journal_predict,4.7,4.3,5,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,overall,75,60,80,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,claims,60,50,70,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,adv_knowledge,60,50,70,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,methods,40,30,50,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,logic_comms,80,70,90,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,open_sci,70,60,80,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,real_world,90,80,100,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,gp_relevance,90,80,100,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,merits_journal,3.5,3,4,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Evaluator 1,journal_predict,4,3.5,4.5,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,overall,39,14,62,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,claims,59,30,85,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,adv_knowledge,50,5,95,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,methods,25,10,43,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,logic_comms,40,19,65,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,open_sci,91,86,100,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,real_world,88,45,93,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,gp_relevance,88,45,93,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,merits_journal,1.1,0.4,1.9,
NA,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,Matthew B. Jané,journal_predict,3.2,2.3,4.1,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,overall,51,35,65,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,claims,20,5,40,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,adv_knowledge,85,75,95,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,methods,55,35,75,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,logic_comms,70,55,85,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,open_sci,100,100,100,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,real_world,95,89,100,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,gp_relevance,95,89,100,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,merits_journal,2,1,3,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 1,journal_predict,2,1,3,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,overall,30,10,50,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,claims,70,50,90,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,adv_knowledge,25,10,40,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,methods,70,60,90,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,logic_comms,80,70,90,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,open_sci,100,100,100,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,real_world,35,20,70,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,gp_relevance,35,20,70,
NA,Pharmaceutical Pricing and R&D as a Global Public Good,Evaluator 2,merits_journal,2.5,1.5,3.1,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,overall,85,75,95,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,claims,85,75,95,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,adv_knowledge,90,85,95,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,methods,90,85,95,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,logic_comms,85,80,90,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,open_sci,90,85,95,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,real_world,95,90,97,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,gp_relevance,95,90,97,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,merits_journal,4.2,NA,NA,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 1,journal_predict,3.5,NA,NA,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,overall,87,84,90,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,claims,93,90,96,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,adv_knowledge,85,75,90,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,methods,85,80,90,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,logic_comms,74,70,85,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,open_sci,76,66,80,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,real_world,91,89,93,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,gp_relevance,91,89,93,
NA,The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,Evaluator 2,merits_journal,4.2,3.5,4.4,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,overall,64,58,70,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,claims,57,44,70,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,adv_knowledge,46,42,50,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,methods,36,28,44,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,logic_comms,68,62,70,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,open_sci,65,62,74,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,real_world,67,62,71,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,gp_relevance,67,62,71,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,merits_journal,2.8,2.4,3.2,
NA,The Effect of Public Science on Corporate R&D,Evaluator 1,journal_predict,3.6,3.1,4.1,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,overall,75,75,87,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,claims,80,80,90,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,adv_knowledge,90,90,95,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,methods,80,80,90,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,logic_comms,65,65,83,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,open_sci,85,75,85,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,real_world,72,72,88,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,gp_relevance,72,72,88,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,merits_journal,4,3.5,4.8,
NA,The Effect of Public Science on Corporate R&D,Ioannis Bournakis,journal_predict,4.2,4,5,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,overall,80,70,90,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,claims,82,74,90,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,adv_knowledge,85,78,92,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,methods,85,78,92,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,logic_comms,80,71,89,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,open_sci,90,85,95,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,real_world,80,70,90,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,gp_relevance,80,70,90,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,merits_journal,4.5,4,5,
Hill et al. 2024,Adaptability and the Pivot Penalty in Science,Evaluator 1,journal_predict,4.5,4,5,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,overall,90,85,94,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,claims,85,80,90,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,adv_knowledge,86,80,90,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,methods,85,75,95,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,logic_comms,90,80,95,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,open_sci,80,75,90,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,real_world,90,85,96,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,gp_relevance,90,85,96,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,merits_journal,4.9,4.7,5,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Frank Venmans ,journal_predict,5,4.3,5,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,overall,91,78,94,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,claims,96,93,100,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,adv_knowledge,93,90,95,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,methods,89,79,95,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,logic_comms,80,74,86,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,open_sci,65,60,70,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,real_world,93,90,96,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,gp_relevance,93,90,96,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,merits_journal,4,3.9,4.3,
NA,"A Welfare Analysis of Policies
Impacting Climate Change",Johannes Emmerling,journal_predict,4,3.9,4.1,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,overall,75,60,80,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,claims,75,60,80,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,adv_knowledge,80,75,90,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,methods,60,50,70,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,logic_comms,45,35,55,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,open_sci,30,15,45,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,real_world,80,75,89,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,gp_relevance,80,75,89,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,merits_journal,4,2.5,4.5,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,B. Ian Hutchins,journal_predict,3.5,2.5,4,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,overall,70,50,90,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,claims,56,45,61,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,adv_knowledge,72,66,84,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,methods,76,68,85,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,logic_comms,55,45,70,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,open_sci,65,50,79,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,real_world,50,40,60,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,gp_relevance,50,40,60,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,merits_journal,3.8,3,4.1,
Carson et al. 2023,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,James Dumlao,journal_predict,3.9,3.5,4.3,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,overall,75,65,85,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,claims,80,70,90,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,adv_knowledge,70,60,80,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,methods,70,60,80,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,logic_comms,80,70,90,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,open_sci,80,70,90,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,real_world,70,60,80,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 2,gp_relevance,70,60,80,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,overall,70,60,80,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,claims,70,65,75,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,adv_knowledge,80,75,85,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,methods,70,65,75,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,logic_comms,85,80,90,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,open_sci,65,50,80,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,real_world,90,80,100,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,gp_relevance,90,80,100,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,merits_journal,4,3.5,4.5,
Schuett et al. 2023,Towards best practices in AGI safety and governance,Evaluator 1,journal_predict,3.5,3.1,4,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,overall,50,30,80,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,claims,40,20,60,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,adv_knowledge,50,40,90,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,methods,30,10,50,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,logic_comms,65,50,80,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,open_sci,30,15,45,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,real_world,60,50,70,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,gp_relevance,60,50,70,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,merits_journal,4.5,3.5,5,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 2,journal_predict,5,5,5,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,overall,50,40,60,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,claims,20,15,25,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,adv_knowledge,60,50,70,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,methods,20,15,25,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,logic_comms,50,41,60,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,open_sci,95,90,100,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,real_world,90,80,100,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,gp_relevance,90,80,100,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,merits_journal,3.5,3,4,
NA,Global potential for natural regeneration in deforested tropical regions,Evaluator 1,journal_predict,5,5,5,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,overall,90,86,94,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,claims,92,85,95,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,adv_knowledge,88,82,94,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,methods,92,88,96,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,logic_comms,92,87,95,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,open_sci,88,84,92,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,real_world,88,80,92,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,gp_relevance,88,80,92,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,merits_journal,4.5,4.3,4.7,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 2,journal_predict,4.4,4.2,4.6,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,overall,70,55,85,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,adv_knowledge,NA,67,NA,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,methods,NA,25,NA,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,logic_comms,80,70,90,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,open_sci,50,40,60,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,real_world,50,40,60,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,gp_relevance,50,40,60,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,merits_journal,3,2.3,3.7,
Bhattacharya and Packalen 2020,Stagnation and Scientific Incentives,Daniel Lee,journal_predict,3.5,3,4,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,claims,45,40,50,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,overall,60,45,90,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,adv_knowledge,67,60,70,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,methods,55,50,60,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,logic_comms,51,50,55,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,open_sci,50,85,95,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,real_world,80,70,89,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,gp_relevance,80,70,89,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,merits_journal,4.2,3.5,4.9,
NA,Urban Forests: Environmental Health Values and Risks,Evaluator 1,journal_predict,4.2,3.5,4.9,
Bruers 2021,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,overall,NA,NA,NA,
Bruers 2021,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,claims,NA,NA,NA,
Bruers 2021,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,adv_knowledge,NA,NA,NA,
Bruers 2021,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,methods,NA,NA,NA,
Bruers 2021,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Romain Espinosa,logic_comms,NA,NA,NA,
