paper,metric,midpoint,lower_bound,upper_bound,rationale,.rowid,doi_key,arxiv_key,title_key,first_author,year_key,uj_map_key
Alatas et al. 2019,overall,84,77,90,Rounded mean of component midpoints. Excellent causal design and scale; strong online evidence and useful policy takeaways. Uncertainty stems from limited offline behavioral results and constraints on data sharing/replication.,22,NA,NA,NA,NA,NA,NA
Alatas et al. 2019,claims_evidence,88,80,94,Core questions are clear; endorsement and source-citation effects identified causally with platform-specific variation. Offline impacts are framed as suggestive and caveated. Evidence is strong for online diffusion; offline outcomes rely on survey measures with selection and self-report limits.,23,NA,NA,NA,NA,NA,NA
Alatas et al. 2019,methods,90,83,95,Large preregistered field experiment; clever identification exploiting Twitter’s author/retweeter visibility. Robustness via forced-retweet randomization and checks on visible engagement counts; appropriate Poisson models and fixed effects. Assumptions reasonable. Limited power for offline behavior; external validity beyond Twitter/users is constrained.,24,NA,NA,NA,NA,NA,NA
Alatas et al. 2019,advancing_knowledge,85,75,92,"Provides rare causal separation of endorsement vs reach at national scale; shows source citation can hinder diffusion; informs complex contagion shape. High practical and theoretical relevance for social influence and health communication. Offline behavior effects are limited, tempering the ceiling.",25,NA,NA,NA,NA,NA,NA
Alatas et al. 2019,logic_communication,86,78,92,"Goals, design, and assumptions are explicit; reasoning links evidence to claims cleanly. Figures/tables align with narrative; caveats stated. Dense in places but overall very clear and transparent.",26,NA,NA,NA,NA,NA,NA
Alatas et al. 2019,open_science,70,55,85,"Pre-registered; IRB approved; methods and analyses described in detail. Twitter data likely restricted by TOS; code/data availability not fully open, and platform changes hinder reproduction. Still, procedures are documented enough for credible replication in similar contexts.",27,NA,NA,NA,NA,NA,NA
Alatas et al. 2019,global_relevance,84,72,92,"Directly relevant to vaccine promotion and public communications in LMICs; offers actionable guidance on influencer use, messaging, sources, and exposure strategy. Quantifies effects useful for campaign design; downstream behavioral evidence is modest.",28,NA,NA,NA,NA,NA,NA
Alcott et al. 2024,overall,84,78,90,Strong theoretical contribution plus solid empirical demonstrations; some external-validity and assumption limits temper the score. Results are decision-relevant and clearly communicated. Average across categories reasonably reflects performance; no single metric dominates enough to override the default mean.,29,NA,NA,NA,NA,NA,NA
Alcott et al. 2024,claims_evidence,85,78,92,"Clear questions and claims; theory tightly linked to empirics. Two incentivized RCTs estimate ATEs, heterogeneity, and covariance with bias/externalities. Sensitivity analyses (pass-through, markups, variance/covariance) aid credibility. Limits: cars choices are hypothetical; drinks bias relies on proxies; key independence/normality assumptions; external validity cautions.",30,NA,NA,NA,NA,NA,NA
Alcott et al. 2024,methods,82,72,90,"Rigorous sufficient-statistic framework with Weyl–Fabinger supply; careful mapping to estimands. Mixed-effects estimation of Var[τ] via dispersion, and targeting via Cov with bias/externalities. Preregistration, incentivization, and extensive sensitivity. Weaknesses: no PAP, normality/independence assumptions, proxy-based bias in drinks, non-naturalistic car choices, literature-based pass-through.",31,NA,NA,NA,NA,NA,NA
Alcott et al. 2024,advancing_knowledge,90,83,96,"Shifts nudge evaluation from average effects to distortion-variance and targeting; unifies taxes, pass-through, market power, psychic costs. Portable sufficient statistics; dual experiments illustrate feasibility. Likely to influence behavioral public finance and policy appraisal.",32,NA,NA,NA,NA,NA,NA
Alcott et al. 2024,logic_communication,88,80,94,"Goals and assumptions explicit; derivations and intuition (examples, figures) are clear. Empirical-to-theory mapping is transparent. Caveats and limitations are candid. Minor complexity remains for non-specialists.",33,NA,NA,NA,NA,NA,NA
Alcott et al. 2024,open_science,80,70,88,"Trials registered (AEA, ClinicalTrials); IRB approvals; replication files posted. Methods sufficiently detailed for reproduction. No full pre-analysis plan; some data access constraints (panel, shipping logistics). Overall, above-average transparency.",34,NA,NA,NA,NA,NA,NA
Alcott et al. 2024,global_relevance,78,68,86,"High policy relevance (labels, sin taxes, nudges) across sectors; guidance on when nudges help or harm welfare, useful for regulators and practitioners. Empirics are US-centric; limited direct cost/practical implementation detail for LMIC contexts, but framework generalizes.",35,NA,NA,NA,NA,NA,NA
Arora et al. 2023,overall,78,70,86,"Strong causal identification and extensive robustness yield credible, decision-relevant results disentangling knowledge, people, and patents. Communication is clear; practical implications are meaningful. Uncertainty remains around exclusion restrictions for the IVs and generalizability beyond the U.S. context. Open-science practices are moderate. Overall quality is high among recent applied-innovation studies.",36,NA,NA,NA,NA,NA,NA
Arora et al. 2023,claims_evidence,84,75,90,"Core claims (people positive, university patents crowd out, publications per se limited) are clearly stated and consistently supported across outcomes, specifications, and robustness checks (alternative IVs, Poisson CF, heterogeneity, invention quality). Evidence characterization is cautious. Remaining concerns: possible residual violations of exclusion restrictions and interpretation of Tobin’s Q channel.",37,NA,NA,NA,NA,NA,NA
Arora et al. 2023,methods,88,80,94,Thoughtful firm-level shift-share IVs using predicted agency R&D from appropriations subcommittee composition; strong first stages; multiple alternative instruments; careful construction of relevance via CPC/OECD and SPECTER; extensive sensitivity/heterogeneity analyses; IV-Poisson for counts. Assumptions are explicit. Residual risks: Bartik identifying assumptions and potential political-economy confounds.,38,NA,NA,NA,NA,NA,NA
Arora et al. 2023,advancing_knowledge,82,72,90,"Novel decomposition of public science into knowledge, human capital, and invention at the firm level; clarifies channels and heterogeneity (frontier vs followers; industries). Results challenge common spillover narratives and inform policy on university commercialization and PhD training. Substantial contribution to innovation economics; some limits to external validity beyond U.S. institutions.",39,NA,NA,NA,NA,NA,NA
Arora et al. 2023,logic_communication,80,72,88,"Clear motivation, framework, data description, and econometric setup. Logical flow from theory to empirics; assumptions and limitations discussed. Figures/tables integrate with narrative. Minor complexity in instrument construction may challenge some readers; some interpretations (e.g., value effects) could be further unpacked.",40,NA,NA,NA,NA,NA,NA
Arora et al. 2023,open_science,60,45,70,"Uses multiple large external datasets; DISCERN dataset link provided; detailed appendices. However, full replication likely requires proprietary data (Dimensions, ProQuest) and code availability is unclear. Reproducibility is credible for those with access but not fully open. Documentation quality is good.",41,NA,NA,NA,NA,NA,NA
Arora et al. 2023,global_relevance,72,60,82,"High policy relevance for science/innovation funding, tech transfer, and workforce training. Insights likely generalize qualitatively, but identification and institutional mechanisms are U.S.-specific (appropriations, Bayh–Dole). Practical guidance for incumbents and universities is evident; cost/benefit quantification for interventions is indirect.",42,NA,NA,NA,NA,NA,NA
Bahar et al. 2022,overall,81,76,86,"Overall reflects the mean of category scores. Strong causal identification and policy relevance; careful presentation and triangulation. Open-science limitations and some residual identification assumptions (rain-based RVI, monotonicity, external validity) slightly temper the score.",43,NA,NA,NA,NA,NA,NA
Bahar et al. 2022,claims_evidence,83,75,90,"Clear statement of the question; precise causal claims focused on LATE; multiple robustness checks (placebos, dynamics, panel corroboration). Evidence convincingly supports increased firm creation. Some residual concerns remain about formalization vs. new entry, compliers’ representativeness, and possible alternative channels.",44,NA,NA,NA,NA,NA,NA
Bahar et al. 2022,methods,86,80,92,"Novel, well-argued running-variable instrument with fuzzy RD/IV; strong first stage; balance and profiling; permutation-based expected instrument; complementary panel DiD. Assumptions (rain exogeneity within week×location, monotonicity, no direct effects) are plausible but nontrivial; administrative matching noise possible.",45,NA,NA,NA,NA,NA,NA
Bahar et al. 2022,advancing_knowledge,84,76,90,First rigorous estimate (to my knowledge) of legalization’s impact on entrepreneurship in a developing-country context; adds practice-relevant magnitudes and a reusable method. External validity beyond Venezuelans in Colombia is uncertain but the contribution is substantive.,46,NA,NA,NA,NA,NA,NA
Bahar et al. 2022,logic_communication,82,75,88,"Reasoning is transparent; assumptions and design laid out carefully; results tied to claims with clear narrative and figures. Technical sections are dense, which may challenge some readers, but overall argumentation is coherent and consistent.",47,NA,NA,NA,NA,NA,NA
Bahar et al. 2022,open_science,62,52,72,"Uses administrative data unlikely to be publicly shareable; methods and appendices are detailed, but no explicit code/data repository is indicated. Replication feasible in principle with access, but practical reproducibility is constrained.",48,NA,NA,NA,NA,NA,NA
Bahar et al. 2022,global_relevance,88,80,95,Highly relevant to migration regularization policies and entrepreneurship in LMICs; produces actionable effect sizes and timing. Findings inform integration strategies and institutional design; generalizability plausible though context-specific factors remain.,49,NA,NA,NA,NA,NA,NA
Banerjee et al. 2023,overall,90,84,96,"Exceptionally strong, policy-relevant RCT with novel UBI design and careful analysis. Major strengths: scale, pre-registration, multiple arms, high compliance, rich outcomes, and clear caveats. Limitations: short time horizon so far, modest power for cross-arm contrasts and prices, some self-reports, and external validity beyond rural Kenya. Overall score equals mean of component midpoints.",50,NA,NA,NA,NA,NA,NA
Banerjee et al. 2023,claims_evidence,90,85,96,"Clear questions (UBI vs short-term vs lump-sum), strong multi-source evidence (household, enterprise census, wages, prices), and cautious interpretation. Authors pre-specify aggregates, acknowledge limited power for between-arm two-sided tests and uncertain price effects, and align findings with a simple model without overstating causality on mechanisms.",51,NA,NA,NA,NA,NA,NA
Banerjee et al. 2023,methods,92,86,97,"Large village-level RCT; strong pre-registration; high response and compliance; migrant tracking; Conley SEs; multiple data modules. Sensible specification choices and transparency on limits. Limits: between-arm power constraints, short-run horizon, some self-reported measures, and limited ability to identify general-equilibrium price effects.",52,NA,NA,NA,NA,NA,NA
Banerjee et al. 2023,advancing_knowledge,93,88,98,"First large UBI RCT with 12-year commitment and cross-arm modality contrasts. Provides rare evidence on structural shifts, occupational choice, enterprise dynamics, mental health, and the importance of tranching and duration. Highly influential for cash-transfer design and understanding savings/credit constraints in LMICs.",53,NA,NA,NA,NA,NA,NA
Banerjee et al. 2023,logic_communication,90,84,95,"Objectives, concepts, and assumptions are explicit; theory-to-empirics link is clear. Writing is thorough and transparent about caveats and inference limits. Tables and figures generally match narrative and are interpretable; minor density/complexity is expected given scope.",54,NA,NA,NA,NA,NA,NA
Banerjee et al. 2023,open_science,78,65,88,"Pre-analysis plan registered; IRBs and conflicts disclosed; design and measures well-documented. Replication seems feasible, but public availability of full data/code isn’t clearly established in the text provided; hence a conservative score pending confirmed open materials.",55,NA,NA,NA,NA,NA,NA
Banerjee et al. 2023,global_relevance,94,88,99,"Directly relevant to UBI and cash-transfer policy in LMICs under fiscal and administrative constraints. Results inform modality (lump-sum vs streams), duration, and macro spillovers for practitioners. Communication is accessible for policymakers, with quantitative magnitudes and practical implications.",56,NA,NA,NA,NA,NA,NA
Barberio et al. 2022,overall,70,63,78,"Strengths in clarity and high policy relevance offset by reliance on modeling assumptions, moderate methodological novelty, and limited openness. Overall reflects the mean of sub-scores; decisions hinge on simulated evidence with good sensitivity checks but uncertain replicability.",57,NA,NA,NA,NA,NA,NA
Barberio et al. 2022,claims_evidence,74,65,83,"Main questions and claims are clear: portfolio economics for mRNA EID vaccines are unattractive without public support. Evidence is simulation-based, calibrated to literature and expert input, with extensive sensitivity analyses. Characterization of limitations is generally accurate, though some strong conclusions hinge on uncertain price/demand assumptions.",58,NA,NA,NA,NA,NA,NA
Barberio et al. 2022,methods,70,60,80,"Monte Carlo framework with correlated trial outcomes, outbreak stochasticity, cost models, and sensitivity analysis is reasonable. The biologically motivated correlation metric is plausible but unvalidated; many parameters are assumed. No preregistration or code shown; no multiple-testing issues but model risk remains. Robustness explored but empirical validation is limited.",59,NA,NA,NA,NA,NA,NA
Barberio et al. 2022,advancing_knowledge,65,52,77,"Extends prior megafund work by adding mRNA-specific parameters, outbreak-driven cash flows, and clearer cost/revenue drivers (e.g., price-per-dose threshold, clinical cost dominance). Useful for policy design, but advances are incremental and depend on assumptions; limited direct empirical contribution.",60,NA,NA,NA,NA,NA,NA
Barberio et al. 2022,logic_communication,80,72,88,"Well-structured, transparent about assumptions, clear executive summary and visuals. Reasoning links methods to conclusions coherently; sensitivity analyses support claims. Some parameter choices could use deeper justification, but overall argumentation is easy to follow and consistent.",61,NA,NA,NA,NA,NA,NA
Barberio et al. 2022,open_science,45,30,58,"Parameters are sourced and supplementary materials are referenced, but code/data availability is unclear. Replication would be straightforward with code, yet not evidently provided. No preregistration. Internal consistency appears solid, but openness and reproducibility practices seem limited.",62,NA,NA,NA,NA,NA,NA
Barberio et al. 2022,global_relevance,88,82,95,"Highly relevant to pandemic preparedness, vaccine financing, and policy tools (AMCs, stockpiles, guarantees). Addresses practical constraints (affordability, cannibalization, trial costs) and offers decision-relevant thresholds. Findings are actionable for governments, funders, and CEPI-like entities.",63,NA,NA,NA,NA,NA,NA
Barker et al. 2021,overall,76,68,84,"Well-executed RCT with credible short-term impacts on mental health and skills, strong policy relevance, and clear exposition. Limitations: short follow-up, reliance on self-reports for key outcomes, and modest open-science practices. Percentile reflects balanced strengths across categories.",64,NA,NA,NA,NA,NA,NA
Barker et al. 2021,claims_evidence,75,65,85,Main claims are clearly stated and largely supported by experimental evidence and predictive heterogeneity. The two-pathways mechanism is plausible but partly identified; economic outcomes are proxied and short-term. No long-run evidence; several outcomes are self-reported. Strong but not definitive.,65,NA,NA,NA,NA,NA,NA
Barker et al. 2021,methods,78,68,88,"Clustered RCT with re-randomization, baseline controls, randomization inference, indices, and LASSO with holdout for heterogeneity—appropriate and transparent. Risks: many outcomes without formal FWER/FDR beyond indices, short horizon, unclear preregistration, and possible reporting bias.",66,NA,NA,NA,NA,NA,NA
Barker et al. 2021,advancing_knowledge,80,70,90,Shows sizeable short-run impacts of group CBT by lay counselors in a general poor population; challenges targeting-only view; introduces predictive vulnerability heterogeneity. Adds to development and global mental health literatures with a practical delivery model. Lacks long-run and cost-effectiveness estimates.,67,NA,NA,NA,NA,NA,NA
Barker et al. 2021,logic_communication,82,74,90,"Clear framing and theory (bandwidth, vulnerability), design, and results; limitations and contrast with Kenyan null are discussed. Reasoning is mostly transparent; some mechanistic claims remain interpretive. Presentation appears coherent and consistent.",68,NA,NA,NA,NA,NA,NA
Barker et al. 2021,open_science,55,40,70,"Manual shared and methods described; RI and LASSO details provided. However, no explicit public posting of data/code or preregistration is indicated, limiting ease of replication and reuse.",69,NA,NA,NA,NA,NA,NA
Barker et al. 2021,global_relevance,85,75,93,"Addresses mental health and human capital in a low-income setting with a scalable delivery model (NSS-compatible), showing meaningful short-run gains. High policy salience. Practical usefulness would increase with costs, implementation detail, and durability evidence.",70,NA,NA,NA,NA,NA,NA
Bettle 2023,overall,68,55,80,Overall equals the mean of the six category midpoints. Strengths in clarity and practical guidance; moderate originality and limited formal robustness checks or open tools keep the score below top-tier. Uncertainty is higher given limited visibility into full implementation details.,71,NA,NA,NA,NA,NA,NA
Bettle 2023,claims_evidence,70,55,85,"Main questions (Type M/S errors; external validity of RCTs) are explicit. Evidence is conceptual and literature-based, with a worked example; claims are generally calibrated and caveats noted. Limited new empirical testing constrains strength of evidence.",72,NA,NA,NA,NA,NA,NA
Bettle 2023,methods,68,50,82,"Applies established statistical ideas (Type M/S, discounting) to CEA with reasonable assumptions. Robustness is discussed qualitatively; little formal sensitivity analysis, preregistration, or multiple-testing correction (mostly not applicable for a guide). Validity hinges on careful interpretation rather than new estimation.",73,NA,NA,NA,NA,NA,NA
Bettle 2023,advancing_knowledge,65,50,80,"Synthesizes dispersed concepts into actionable guidance for CEA practitioners, likely improving practice by tempering overinterpretation and misgeneralization. Contribution is primarily integrative and pedagogical; limited novel methodology or parameter estimates.",74,NA,NA,NA,NA,NA,NA
Bettle 2023,logic_communication,78,65,90,"Clear structure (summary, key takeaways, guidance, worked example). Concepts defined and reasoning steps explicit; conclusions aligned with presented arguments. Minor quantitative thresholds could use fuller derivations, but overall communication is strong and practitioner-friendly.",75,NA,NA,NA,NA,NA,NA
Bettle 2023,open_science,55,35,75,"As a conceptual guide, data/code are not central. Citations and reasoning appear transparent; reproducibility of the worked example likely. However, limited provision of reusable code, datasets, or formal replication materials reduces the open-science score.",76,NA,NA,NA,NA,NA,NA
Bettle 2023,global_relevance,72,55,85,"Directly relevant to cost-effectiveness analysis in global health/development and philanthropy. Guidance on discounting noisy evidence and generalization is actionable for analysts and decision-makers, supporting better allocation under uncertainty.",77,NA,NA,NA,NA,NA,NA
Bhat et al. 2022,overall,88,82,93,"Arithmetic mean of category midpoints. Strong RCTs with long-run follow-up, robust results on mental health and behavioral updating; transparent nulls on economics. Open-science practices are good but not exemplary.",78,NA,NA,NA,NA,NA,NA
Bhat et al. 2022,claims_evidence,90,82,95,"Clear questions; two randomized trials with 4–5 year follow-up. Strong, well-powered effects for HAP; transparent nulls for THPP and economic outcomes. Expert-forecast benchmarking adds credibility. Limitations and deviations from PAP are disclosed and minor.",79,NA,NA,NA,NA,NA,NA
Bhat et al. 2022,methods,88,80,94,"Credible RCT design; balanced attrition; validated PHQ-9; incentivized tasks; DML controls; multiple-hypothesis corrections; robustness and mediation analyses. Limits: 24–31% attrition, limited power for some outcomes, some modules added post-PAP, external validity constraints.",80,NA,NA,NA,NA,NA,NA
Bhat et al. 2022,advancing_knowledge,92,85,97,"Major contribution on long-run psychotherapy impacts in LMICs; cost-effectiveness quantified; novel evidence on belief updating and self-perception; recalibrates expert priors; clarifies limits on economic outcomes, guiding complementary interventions.",81,NA,NA,NA,NA,NA,NA
Bhat et al. 2022,logic_communication,90,83,95,"Goals, concepts, and assumptions are clear. Argument flows logically; analyses match claims; nulls and caveats are explicit. Tables/figures are interpretable; consistency across sections is strong.",82,NA,NA,NA,NA,NA,NA
Bhat et al. 2022,open_science,74,60,85,"IRB, preregistration, and pre-analysis plan; multiple-hypothesis adjustments; expert forecasts via SSPP. Replication seems feasible, but public data/code availability is unclear/limited due to human-subject constraints.",83,NA,NA,NA,NA,NA,NA
Bhat et al. 2022,global_relevance,91,84,96,"High policy relevance for mental health scale-up in LMICs; durable, low-cost effects; quantified cost per depression-month averted. Practical insights on lack of economic gains inform program design and integration with other supports.",84,NA,NA,NA,NA,NA,NA
Bhattacharya and Packalen 2020,overall,57,45,70,"Overall set to the mean of component midpoints. Clear, persuasive synthesis with actionable proposals, but causal evidence is limited and open-science practices are weak. Strong communication and relevance raise the score; methods and evidentiary strength are closer to median relative to recent science-of-science work.",85,NA,NA,NA,NA,NA,NA
Bhattacharya and Packalen 2020,claims_evidence,55,40,70,"Main claim—citation-centric incentives reduce exploration and contribute to stagnation—is supported by a conceptual model, illustrative case studies (PCR, CRISPR), descriptive bibliometrics, and related literature. However, causal identification is limited, biomedicine-heavy, and robustness is modest. Characterization of evidence is mostly fair but occasionally overreaches on causality.",86,NA,NA,NA,NA,NA,NA
Bhattacharya and Packalen 2020,methods,50,35,65,"Uses a simple lifecycle model and a text-based novelty metric (UMLS concept vintage) with descriptive analyses. Reasonable and transparent, but lacks causal identification, pre-registration, and extensive sensitivity checks. Replicable in principle but dependent on proprietary data and not fully specified for exact reproduction.",87,NA,NA,NA,NA,NA,NA
Bhattacharya and Packalen 2020,advancing_knowledge,60,45,75,"Advances the policy conversation by foregrounding novelty metrics (“edge factors”) alongside impact and by linking incentives to exploration. Adds synthesis and practical recommendations more than new empirical breakthroughs. Contribution is useful and timely, though overlapping with concurrent science-of-science literature.",88,NA,NA,NA,NA,NA,NA
Bhattacharya and Packalen 2020,logic_communication,75,65,85,"Clear framing, definitions, and argument flow; figures clarify the lifecycle thesis. Reasoning is largely transparent with apt examples. Some causal claims are stronger than the evidence warrants, but overall communication quality is high.",89,NA,NA,NA,NA,NA,NA
Bhattacharya and Packalen 2020,open_science,30,15,45,"No evident shared code/data; relies on PubMed/Web of Science with limited reproducibility detail. No preregistration, limited robustness materials, and no replication package. Methods are described but not to the level enabling straightforward reanalysis.",90,NA,NA,NA,NA,NA,NA
Bhattacharya and Packalen 2020,global_relevance,70,55,85,"Highly relevant to funders, universities, and policymakers concerned with research productivity worldwide. Recommendations (dual metrics; search engine changes) are actionable, though implementation challenges and cost-benefit quantification are not deeply developed.",91,NA,NA,NA,NA,NA,NA
Bruers 2021,overall,48,35,60,"Overall reflects the mean of sub-scores. The paper is conceptually interesting and clearly presented, but empirical support is weak due to hypothetical elicitation issues, extreme skew/outliers, small effective sample sizes, and sensitivity to researcher decisions. Policy relevance is high but evidence quality limits confidence.",92,NA,NA,NA,NA,NA,NA
Bruers 2021,claims_evidence,40,25,55,"Main questions are explicit and results reported transparently. However, claims about magnitudes (e.g., welfare costs exceeding climate costs) rest on highly hypothetical WTP/WTA with extreme skew, small N after exclusions, and strong sensitivity to outlier handling. External validity is limited (Belgium-only). Authors acknowledge many limitations, but some abstract statements are stronger than warranted.",93,NA,NA,NA,NA,NA,NA
Bruers 2021,methods,35,25,50,"Uses contingent valuation with a novel ‘pill’ scenario, cheap talk, certainty scales, randomization, and comprehension checks; applies nonparametric tests and sensitivity analyses. Yet heavy attrition, ex post exclusion rules, extreme outliers, lack of preregistration/multiplicity controls, small sample, and epistemically transformative content undermine validity and robustness.",94,NA,NA,NA,NA,NA,NA
Bruers 2021,advancing_knowledge,55,45,65,"Introduces and operationalizes a non-anthropocentric SWF with representative-agent WTP/WTA for animal welfare, linking to optimal taxation and cross-externality concerns. Provides first-cut estimates and comparisons to prior modeling work. Despite weak empirics, the conceptual framing can stimulate better-designed follow-ups.",95,NA,NA,NA,NA,NA,NA
Bruers 2021,logic_communication,60,50,70,Clear motivation and theoretical setup; assumptions are mostly explicit; limitations and sensitivity are candidly discussed. Some overreach between evidence and conclusions; complex exclusions/outlier handling can confuse. Tables generally align with narrative.,96,NA,NA,NA,NA,NA,NA
Bruers 2021,open_science,30,20,45,"No preregistration, data, or code availability indicated. Survey instrument only partially reproduced. Outlier and winsorization choices are described but not fully auditable without materials. Replication would be approximate rather than exact.",97,NA,NA,NA,NA,NA,NA
