label_paper_title,authors,doi,dup_pubpub_final_links,author_response,Adjusted_paper?,Author's public statement about evaluation/UJ,publication_status,Updated since UJ report -- manual confirmation,deposit date > unjournal pub date,main_cause_cat_abbrev,notebookLM_link,working_paper_release_date,publication_date_unjournal
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,"Joel McGuire,Samuel Dupret,Ryan Dwyer,Michael Plant,Ben Stewart,James Goddard,Maxwell Klapow,Deanna Giraldi,Benjamin Olshin, Juliette Michelet,Thomas Beuchot",,https://unjournal.pubpub.org/pub/evalsumstrongminds/,Formal response,Stated intention to update,I’m not very calibrated on this given my limited exposure to academia. But I’d put it in terms of 85th percentile of feedback I’ve received on my work. ,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Global health (LMICs),https://notebooklm.google.com/notebook/a31663d7-4852-458f-92e9-da86cff2e5dc,,6/20/2025
The Effect of Public Science on Corporate R&D,"Ashish Arora,Sharon Belenzon,Larisa C. Cioaca,Lia Sheer,Hansen Zhang",doig.org/10.3386/w31899,https://unjournal.pubpub.org/pub/evalsumpublicscience/release/1,Formal response,Stated intention to update,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Innovation & meta-science,https://notebooklm.google.com/notebook/4be98023-a671-4daa-b5f5-ef6adddc0d0c,11/1/2023,6/19/2025
Global potential for natural regeneration in deforested tropical regions,"Brooke Williams,Hawthorne Beyer,Matthew Fagan,Robin Chazdon,Marina Schmoeller,Starry Sprenkle-Hyppolite,Bronson Griscom,James Watson,Anazélia Tedesco,Mariano Gonzalez-Roglich,Gabriel Daldegan,Blaise Bodin,Danielle Celentano,Sarah Wilson,Nikola Alexandre,Do-Hyung Kim,Diego Bastos Bastos,Renato Crouzeilles,",https://doi.org/10.21203/rs.3.rs-3235955/v1,https://unjournal.pubpub.org/pub/evalsumnaturalregeneration/,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Environment,https://notebooklm.google.com/notebook/8728166a-2ea9-43a5-b598-1fc4ca487878,,6/3/2025
Towards best practices in AGI safety and governance,"Jonas Schuett,Noemi Dreksler,Markus Anderljung,David McCaffary,Lennart Heim,Emma Bluemke,Ben Garfinkel",https://doi.org/10.48550/arXiv.2305.07153,https://unjournal.pubpub.org/pub/evalsumagisafety/,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Social impact of tech/AI,https://notebooklm.google.com/notebook/96568582-4381-4c51-bb19-fa0642b7ee6f,5/11/2023,6/3/2025
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,"Richard T. Carson,Joshua S. Graff Zivin,Jeffrey G. Shrader",https://doi.org/10.3386/w31409,,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Innovation & meta-science,https://notebooklm.google.com/notebook/cb59b4eb-3d62-4371-a477-3c6e65df7022,,6/1/2025
"A Welfare Analysis of Policies
Impacting Climate Change","Robert W. Hahn,Nathaniel Hendren,Robert D. Metcalfe,Ben Sprung-Keyser",doi.org/10.3386/w32728,https://unjournal.pubpub.org/pub/evalsumwelfareclimatechange/,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,true,Environment,https://notebooklm.google.com/notebook/ccabd776-9803-45a6-b069-bade511320a1,2/7/2025,5/23/2025
Adaptability and the Pivot Penalty in Science,"Ryan Hill,Yian Yin,Carolyn Stein,Dashun Wang,Benjamin F. Jones",https://doi.org/10.48550/arXiv.2107.06476,https://unjournal.pubpub.org/pub/evalsumpivotpenalty/release/1,,,,"Published, ~top journal",false,false,Innovation & meta-science,https://notebooklm.google.com/notebook/f839b171-0cc3-442e-94be-bd5a7dff6044,,5/21/2025
Stagnation and Scientific Incentives,"Jay Bhattacharya,Mikko Packalen",10.3386/w26752,https://unjournal.pubpub.org/pub/e1scientificincentives/release/1,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Innovation & meta-science,https://notebooklm.google.com/notebook/e81a1160-18d9-4806-9847-c4b90227f347,,4/16/2025
Urban Forests: Environmental Health Values and Risks,"Jianwei Xing,Zhiren Hu,Fan Xia,Jintao Xu,Eric Zou",doi.org/10.3386/w31554,,,,,Revise and resubmit,false,true,Environment,,8/1/2023,4/8/2025
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Stijn Bruers,doi.org/10.1080/21606544.2022.2138980,https://unjournal.pubpub.org/pub/evalsumanimalwelfarecost,Formal response,Unlikely to update,,"published, decent journal ",false,false,"Animal welfare, markets",,,2/4/2025
The Returns to Science In the Presence of Technological Risks,Matt Clancy,https://doi.org/10.48550/arXiv.2312.14289,https://unjournal.pubpub.org/pub/evalsumtechnologicalrisks,Formal response,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Innovation & meta-science,https://notebooklm.google.com/notebook/5bc140ef-c747-40f0-aae5-c0f8ddbd53dc,12/21/2023,1/20/2025
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,"Adrien Bilal,Diego R. Känzig",doi.org/ 10.3386/w32450,https://unjournal.pubpub.org/pub/evalsummacroclimatechange/release/4,,evidence of updating,,Revise and resubmit,false,true,Environment,https://notebooklm.google.com/notebook/3812a720-388a-4834-b288-89119067eacc,8/1/2024,1/10/2025
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,"Noam Angrist,Micheal Ainomugisha,Sai Pramod Bathena,Peter Bergman,Colin Crossley,Claire Cullen,Thato Letsomo,Moitshepi Matsheng,Rene Marlon Panti,Shwetlena Sabarwal,Tim Sullivan",doi.org/10.3386/w31208,https://unjournal.pubpub.org/pub/evalsumresilienteducation/release/1,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,true,Dev. econ/gov. (LMICs),,,12/2/2024
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,"Ania Jaroszewicz,Oliver Hauser,Jon Jachimowicz,Julian Jamison

,",https://doi.org/10.2139/ssrn.4154000,https://unjournal.pubpub.org/pub/evalsumrandomizingcashtransfer,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,"Econ., welfare, misc.",,12/19/2022,11/19/2024
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
","Michael W. Walker,Alice H. Huang,Suleiman Asman,Sarah J. Baird,Lia Fernald,Joan Hamory,Fernando Hoces de la Guardia,Satoshi Koiso,Michael Kremer,Matthew N. Krupoff,Michelle N. Layvant,Eric Ochieng,Pooja Suri,Edward Miguel",https://doi.org/10.3386/w31162,https://unjournal.pubpub.org/pub/evalsumintergendeworming,Formal response,Stated intention to update,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Global health (LMICs),,2/18/2025,10/8/2024
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development","Augustin Bergeron,Jean-Paul Carvalho,Joseph Henrich,Nathan Nunn,Jonathan L. Weigel",doi.org/10.3386/w31663,https://unjournal.pubpub.org/pub/evalsumzerosumthinking/release/3?readingCollection=02bc1831,,,,Revise and resubmit,false,true,Dev. econ/gov. (LMICs),,6/24/2024,9/12/2024
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,"Michael Kremer,Stephen P. Luby,Ricardo Maertens,Brandon Tan,Witold Więcek",doi.org/10.3386/w30835,https://unjournal.pubpub.org/pub/evalsumwatertreatment/release/1?readingCollection=02bc1831,Formal response,evidence of updating,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Global health (LMICs),,10/9/2025,9/9/2024
Biodiversity risk,"Stefano Giglio,Theresa Kuchler,Johannes Stroebel,Xuran Zeng,",https://doi.org/10.3386/w31137,https://unjournal.pubpub.org/pub/evalsumbiodiversityrisk,,mixed evidence/minor updating,,"Published, ~top journal",false,false,Environment,,,8/26/2024
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament," Ezra Karger,Josh Rosenberg, Zachary Jacobs,Molly Hickman,Rose Hadshar,Kayla Gamin,Taylor Smith,Tegan McCaslin,Bridget Williams,Stephen Thomas,Philip E. Tetlock",,https://unjournal.pubpub.org/pub/evalsumforecastingexistentialrisk/,,mixed evidence/minor updating,,"Published, ? journal",false,false,"Catastrophic & X-risk, LT, forecasting",,,8/23/2024
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,"Banerjee, Abhijit ,Duflo, Esther,Arun G. Chandrasekhar,John Floretta,Harini Kannan,Francine Loza,Anirudh Sankar,Anna Schrimpf,Maheshwor Shrestha",https://doi.org/10.3386/w28726,https://unjournal.pubpub.org/pub/evalsumeffectivenudge/,,,,Forthcoming,false,false,Global health (LMICs),,,8/10/2024
Willful Ignorance and Moral Behavior,"Andreas Gerster,Raphael Epperson",https://dx.doi.org/10.2139/ssrn.3938994,https://unjournal.pubpub.org/pub/evalsummoralbhvr/,Formal response,Stated intention to update,"""We are very grateful to Romain Espinosa and Joshua Tasoff for their thorough reading of our paper and their constructive comments, which will be helpful in preparing a revised version”",Working paper/mimeo; not published in a peer-reviewed journal,false,false,"Animal welfare, markets",,,8/7/2024
Existential risk and growth,"Leopold Aschenbrenner,Philip Trammell",,https://unjournal.pubpub.org/pub/evalsumexistentialrisk,Formal response,evidence of updating,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,"Catastrophic & X-risk, LT, forecasting",https://notebooklm.google.com/notebook/9b1e83e1-aa6e-40af-8d45-553b0c0fc6c1,,8/1/2024
Does Conservation Work in General Equilibrium?,"Verónica Salazar Restrepo,Gabriel Leite Mariante",,https://unjournal.pubpub.org/pub/evalsumconservationequilibrium/,,Stated intention to update,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,"Econ., welfare, misc.",,12/8/2023,7/22/2024
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,"Caroline Chuard,Hannes Schwandt,Alexander D. Becker,Masahiko Haraguchi",https://doi.org/10.3386/w30202,https://unjournal.pubpub.org/pub/evalsumdiseaseelimination,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Global health (LMICs),,7/1/2022,7/16/2024
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,"Lee Crawfurd,Rory Todd,Susannah Hares,Justin Sandefur,Rachel Silverman Bonnifield",10.1093/wbro/lkae010,https://unjournal.pubpub.org/pub/evalsumleadexposure,,,,"Published, uncertain peer review",false,true,Global health (LMICs),,7/1/2023,7/4/2024
Effects of Emigration on Rural Labor Markets,"Agha A. Akram,Shyamal Chowdhury,Ahmed Mushfiq Mobarak",doi.org/10.3386/w23929,https://unjournal.pubpub.org/pub/evalsumemigrationonlabor,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Dev. econ/gov. (LMICs),,,6/26/2024
Legalizing Entrepreneurship,"Dany Bahar,Bo Cowgill,Jorge Guzman",https://doi.org/10.3386/w30624,https://unjournal.pubpub.org/pub/legalizingentrepreneurshipevalsum,Formal response,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Dev. econ/gov. (LMICs),,11/1/2022,6/11/2024
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,"Abhijit Banerjee,Michael Faye,Alan Krueger,Paul Niehaus,Tavneet Suri",,https://unjournal.pubpub.org/pub/evalsumuniversalincome/,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Dev. econ/gov. (LMICs),,9/15/2023,6/10/2024
Replicability & Generalisability:  A Guide to CEA discounts,Rosie Bettle,,https://unjournal.pubpub.org/pub/evalsumtemplateapplied/,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,"Econ., welfare, misc.",,6/21/2023,6/10/2024
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","Bhargav Bhat,Jonathan de Quidt,Johannes Haushofer,Vikram Patel,Gautam Rao, Frank Schilbach,Pierre-Luc Vautrey",https://doi.org/10.3386/w30011,https://unjournal.pubpub.org/pub/evalsumpsychotherapy,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Global health (LMICs),,1/31/2023,6/10/2024
When do “Nudges” Increase Welfare?,"Hunt Allcott,Daniel Cohen,William Morrison,Dmitry Taubinsky",doi.org/10.3386/w30740,https://unjournal.pubpub.org/pub/welfarenudgesevalsum,,,,"Published, ~top journal",false,true,"Econ., welfare, misc.",,12/12/2022,5/15/2024
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,"Suresh Naidu,Yaw Nyarko,Shing-Yi Wang",doi.org/10.3386/w31354,https://unjournal.pubpub.org/pub/guest,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Dev. econ/gov. (LMICs),,6/19/2023,5/15/2024
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,,https://doi.org/10.3386/w30126,https://unjournal.pubpub.org/pub/accelvax/release/3,,,,book chapter,false,false,"Catastrophic & X-risk, LT, forecasting",,6/21/2022,4/5/2024
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,"B. Kelsey Jack,Seema Jayachandran,Namrata Kala,Rohini Pande",https://doi.org/10.1257/aeri.20230431,https://unjournal.pubpub.org/pub/jackevalsum,,,,"Published, ~top journal",false,true,Dev. econ/gov. (LMICs),,8/11/2022,10/30/2023
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,"Vivi Alatas,Arun G. Chandrasekhar,Markus Mobius,Benjamin A. Olken,Cindy Paladines",https://doi.org/10.1093/ej/uead102,https://unjournal.pubpub.org/pub/alatasevalsum,,,,"Published, ~top journal",false,true,Global health (LMICs),,2/25/2019,8/25/2023
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,"Mark Buntaine,Michael Greenstone,Guojun He,Mengdi Liu,Shaoda Wang,Bing Zhang",10.1257/aer.20221215,https://unjournal.pubpub.org/pub/jq95bapl,,,,"Published, ~top journal",false,true,Environment,,8/14/2024,8/9/2023
The Environmental Effects of Economic Production: Evidence from Ecological Observations,"Yuanning Liang,Ivan Rudik,Eric Zou",doi.org/10.3386/w29357,https://unjournal.pubpub.org/pub/liangevalsum,Formal response,evidence of updating,,Working paper/mimeo; not published in a peer-reviewed journal,false,true,Dev. econ/gov. (LMICs),https://notebooklm.google.com/notebook/cc55486c-f5a3-46de-ae51-29a86a866d02,10/11/2021,7/17/2023
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,"Anicet Fangwa,Caroline Flammer,Marieke Huysentruyt,Bertrand Quelin",https://doi.org/10.1287/mnsc.2023.4846,https://unjournal.pubpub.org/pub/eval-sum-governance-nonprofits,,,,"published, decent journal ",false,true,Global health (LMICs),,8/29/2022,5/29/2023
Banning wildlife trade can boost demand for unregulated threatened species,"Takahiro Kubo,Taro Mieno,Shinya Uryu,Saeko Terada,Diogo Veríssimo",https://doi.org/10.1111/conl.13077,https://unjournal.pubpub.org/pub/banning-wildlife-eval-summ,Formal response,evidence of updating,,"Published, ? journal",false,true,"Animal welfare, markets",,5/29/2022,5/24/2023
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,"David Denkenberger,Anders Sandberg,Ross John Tieman,Joshua M. Pearce",https://doi.org/10.1016/j.ijdrr.2022.102798,https://unjournal.pubpub.org/pub/y2a1lbzv,Formal response,,,"Published, ? journal",false,true,"Catastrophic & X-risk, LT, forecasting",,4/21/2022,5/12/2023
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,"Johannes Haushofer,Robert Mudida,Jeremy P. Shapiro",doi.org/10.3386/w28106,https://unjournal.pubpub.org/pub/cashtransfersmetrics,,,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Global health (LMICs),,11/21/2020,4/17/2023
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,"Nathan Barker,Gharad T. Bryan,Dean Karlan,Angela Ofori-Atta,Christopher R. Udry",http://doi.org/10.1257/aeri.20210612,https://unjournal.pubpub.org/pub/barkeretalsummary,,,,"Published, ~top journal",false,false,Global health (LMICs),,12/1/2022,4/7/2023
Advance Market Commitments: Insights from Theory and Experience,"Michael Kremer,Jonathan D. Levin,Christopher M. Snyder",https://doi.org/10.1257/pandp.20201017,https://unjournal.pubpub.org/pub/amcmetrics/release/8,Formal response,,,"published, decent journal ",false,false,Global health (LMICs),,2/1/2021,3/20/2023
Artificial Intelligence and Economic Growth,"Philippe Aghion, Benjamin F. Jones,Charles I. Jones",doi.org/10.3386/w23928,https://unjournal.pubpub.org/pub/aimetrics,Formal response,,,book chapter,false,false,Social impact of tech/AI,,10/1/2017,3/16/2023
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,"Daniel J. Benjamin,Kristen B. Cooper,Ori Heffetz,Miles S. Kimball,Jiannan Zhou",doi.org/10.3386/w31728,,,Stated intention to update,,Working paper/mimeo; not published in a peer-reviewed journal,false,false,Health (all countries),,12/1/2023,
A review of GiveWell’s discount rate,"Jenny Kudymowa,James Hu,Melanie Basnak,Tom Hird",,,,,,"Working paper/mimeo, not published",false,false,"Empirical methods, measurement",,,
