paper,metric,midpoint,lower_bound,upper_bound,model
Aghion_et_al._2017,logic_communication,88,82,94,gpt-5-pro-2025-10-06
Aghion_et_al._2017,open_science,47,35,60,gpt-5-pro-2025-10-06
Aghion_et_al._2017,global_relevance,70,58,78,gpt-5-pro-2025-10-06
Akram_et_al._2017,overall,87,82,92,gpt-5-pro-2025-10-06
Akram_et_al._2017,claims_evidence,86,80,91,gpt-5-pro-2025-10-06
Akram_et_al._2017,methods,80,72,87,gpt-5-pro-2025-10-06
Akram_et_al._2017,advancing_knowledge,88,83,93,gpt-5-pro-2025-10-06
Akram_et_al._2017,logic_communication,84,78,90,gpt-5-pro-2025-10-06
Akram_et_al._2017,open_science,35,25,50,gpt-5-pro-2025-10-06
Akram_et_al._2017,global_relevance,90,85,96,gpt-5-pro-2025-10-06
Alatas_et_al._2019,overall,78,70,86,gpt-5-pro-2025-10-06
Alatas_et_al._2019,claims_evidence,82,74,90,gpt-5-pro-2025-10-06
Alatas_et_al._2019,methods,82,72,90,gpt-5-pro-2025-10-06
Alatas_et_al._2019,advancing_knowledge,76,66,86,gpt-5-pro-2025-10-06
Alatas_et_al._2019,logic_communication,86,80,92,gpt-5-pro-2025-10-06
Alatas_et_al._2019,open_science,45,30,60,gpt-5-pro-2025-10-06
Alatas_et_al._2019,global_relevance,72,58,82,gpt-5-pro-2025-10-06
Alcott_et_al._2024,overall,86,78,92,gpt-5-pro-2025-10-06
Alcott_et_al._2024,claims_evidence,82,72,90,gpt-5-pro-2025-10-06
Alcott_et_al._2024,methods,78,68,86,gpt-5-pro-2025-10-06
Alcott_et_al._2024,advancing_knowledge,89,84,95,gpt-5-pro-2025-10-06
Alcott_et_al._2024,logic_communication,90,85,95,gpt-5-pro-2025-10-06
Alcott_et_al._2024,open_science,85,78,92,gpt-5-pro-2025-10-06
Alcott_et_al._2024,global_relevance,80,72,88,gpt-5-pro-2025-10-06
Angrist_et_al._2023,overall,92,87,96,gpt-5-pro-2025-10-06
Angrist_et_al._2023,claims_evidence,90,85,95,gpt-5-pro-2025-10-06
Angrist_et_al._2023,methods,85,78,91,gpt-5-pro-2025-10-06
Angrist_et_al._2023,advancing_knowledge,93,88,97,gpt-5-pro-2025-10-06
Angrist_et_al._2023,logic_communication,88,82,93,gpt-5-pro-2025-10-06
Angrist_et_al._2023,open_science,40,25,55,gpt-5-pro-2025-10-06
Angrist_et_al._2023,global_relevance,96,92,99,gpt-5-pro-2025-10-06
Arora_et_al._2023,overall,78,68,86,gpt-5-pro-2025-10-06
Arora_et_al._2023,claims_evidence,77,66,85,gpt-5-pro-2025-10-06
Arora_et_al._2023,methods,73,62,82,gpt-5-pro-2025-10-06
Arora_et_al._2023,advancing_knowledge,87,78,93,gpt-5-pro-2025-10-06
Arora_et_al._2023,logic_communication,83,75,90,gpt-5-pro-2025-10-06
Arora_et_al._2023,open_science,35,20,50,gpt-5-pro-2025-10-06
Arora_et_al._2023,global_relevance,72,60,82,gpt-5-pro-2025-10-06
Bahar_et_al._2022,overall,80,72,88,gpt-5-pro-2025-10-06
Bahar_et_al._2022,claims_evidence,78,70,86,gpt-5-pro-2025-10-06
Bahar_et_al._2022,methods,75,65,84,gpt-5-pro-2025-10-06
Bahar_et_al._2022,advancing_knowledge,82,72,90,gpt-5-pro-2025-10-06
Bahar_et_al._2022,logic_communication,84,76,92,gpt-5-pro-2025-10-06
Bahar_et_al._2022,open_science,30,15,45,gpt-5-pro-2025-10-06
Bahar_et_al._2022,global_relevance,88,78,95,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,overall,92,87,96,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,claims_evidence,90,85,95,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,methods,89,84,94,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,advancing_knowledge,93,88,97,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,logic_communication,88,83,93,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,open_science,66,50,80,gpt-5-pro-2025-10-06
Banerjee_et_al._2022,global_relevance,93,88,98,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,overall,88,80,93,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,claims_evidence,87,79,93,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,methods,85,77,92,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,advancing_knowledge,92,86,97,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,logic_communication,82,74,90,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,open_science,62,45,78,gpt-5-pro-2025-10-06
Banerjee_et_al._2023,global_relevance,84,75,92,gpt-5-pro-2025-10-06
Barberio_et_al._2022,overall,68,55,78,gpt-5-pro-2025-10-06
Barberio_et_al._2022,claims_evidence,70,58,80,gpt-5-pro-2025-10-06
Barberio_et_al._2022,methods,62,45,72,gpt-5-pro-2025-10-06
Barberio_et_al._2022,advancing_knowledge,73,60,84,gpt-5-pro-2025-10-06
Barberio_et_al._2022,logic_communication,78,68,88,gpt-5-pro-2025-10-06
Barberio_et_al._2022,open_science,32,20,45,gpt-5-pro-2025-10-06
Barberio_et_al._2022,global_relevance,86,75,95,gpt-5-pro-2025-10-06
Barker_et_al._2021,overall,78,70,86,gpt-5-pro-2025-10-06
Barker_et_al._2021,claims_evidence,76,68,84,gpt-5-pro-2025-10-06
Barker_et_al._2021,methods,77,68,85,gpt-5-pro-2025-10-06
Barker_et_al._2021,advancing_knowledge,74,62,84,gpt-5-pro-2025-10-06
Barker_et_al._2021,logic_communication,84,76,92,gpt-5-pro-2025-10-06
Barker_et_al._2021,open_science,42,28,58,gpt-5-pro-2025-10-06
Barker_et_al._2021,global_relevance,80,68,90,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,overall,78,68,88,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,claims_evidence,76,65,85,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,methods,73,60,83,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,advancing_knowledge,82,72,92,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,logic_communication,74,64,85,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,open_science,45,30,60,gpt-5-pro-2025-10-06
BenYishay_et_al._2024,global_relevance,88,78,95,gpt-5-pro-2025-10-06
Benabou_et_al._2023,overall,84,76,91,gpt-5-pro-2025-10-06
Benabou_et_al._2023,claims_evidence,82,74,89,gpt-5-pro-2025-10-06
Benabou_et_al._2023,methods,78,70,86,gpt-5-pro-2025-10-06
Benabou_et_al._2023,advancing_knowledge,83,75,90,gpt-5-pro-2025-10-06
Benabou_et_al._2023,logic_communication,86,80,92,gpt-5-pro-2025-10-06
Benabou_et_al._2023,open_science,64,50,78,gpt-5-pro-2025-10-06
Benabou_et_al._2023,global_relevance,58,45,70,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,overall,90,83,95,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,claims_evidence,88,80,94,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,methods,90,82,95,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,advancing_knowledge,88,78,94,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,logic_communication,91,86,96,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,open_science,67,50,78,gpt-5-pro-2025-10-06
Benjamin_et_al._2023,global_relevance,78,68,88,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,overall,85,75,92,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,claims_evidence,77,68,86,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,methods,70,60,80,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,advancing_knowledge,83,72,90,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,logic_communication,88,82,94,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,open_science,55,40,70,gpt-5-pro-2025-10-06
Bergeron_et_al._2024,global_relevance,79,68,88,gpt-5-pro-2025-10-06
Bettle_2023,overall,75,63,86,gpt-5-pro-2025-10-06
Bettle_2023,claims_evidence,72,60,84,gpt-5-pro-2025-10-06
Bettle_2023,methods,63,48,74,gpt-5-pro-2025-10-06
Bettle_2023,advancing_knowledge,68,52,80,gpt-5-pro-2025-10-06
Bettle_2023,logic_communication,74,65,85,gpt-5-pro-2025-10-06
Bettle_2023,open_science,44,30,58,gpt-5-pro-2025-10-06
Bettle_2023,global_relevance,82,72,91,gpt-5-pro-2025-10-06
Bhat_et_al._2022,overall,87,80,93,gpt-5-pro-2025-10-06
Bhat_et_al._2022,claims_evidence,86,78,92,gpt-5-pro-2025-10-06
Bhat_et_al._2022,methods,82,74,90,gpt-5-pro-2025-10-06
Bhat_et_al._2022,advancing_knowledge,89,80,95,gpt-5-pro-2025-10-06
Bhat_et_al._2022,logic_communication,91,85,96,gpt-5-pro-2025-10-06
Bhat_et_al._2022,open_science,58,40,70,gpt-5-pro-2025-10-06
Bhat_et_al._2022,global_relevance,88,78,95,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,overall,58,45,70,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,claims_evidence,44,30,58,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,methods,40,25,55,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,advancing_knowledge,59,45,72,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,logic_communication,78,68,86,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,open_science,24,10,40,gpt-5-pro-2025-10-06
Bhattacharya_and_Packalen_2020,global_relevance,62,48,75,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,overall,92,85,97,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,claims_evidence,88,80,95,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,methods,82,74,90,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,advancing_knowledge,95,88,99,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,logic_communication,92,85,97,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,open_science,62,45,78,gpt-5-pro-2025-10-06
Bilal_and_Kaenzig_2024,global_relevance,97,92,99,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,overall,71,62,79,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,claims_evidence,66,55,75,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,methods,64,53,75,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,advancing_knowledge,72,60,82,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,logic_communication,76,66,86,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,open_science,28,15,45,gpt-5-pro-2025-10-06
Blimpo_and_Castaneda-Dower_2025,global_relevance,70,58,80,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,overall,88,82,93,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,claims_evidence,86,78,92,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,methods,80,72,87,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,advancing_knowledge,88,82,94,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,logic_communication,90,84,95,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,open_science,72,60,82,gpt-5-pro-2025-10-06
Bruelhart et al. 2021,global_relevance,90,84,95,gpt-5-pro-2025-10-06
Bruers_2021,overall,46,33,58,gpt-5-pro-2025-10-06
Bruers_2021,claims_evidence,42,30,55,gpt-5-pro-2025-10-06
Bruers_2021,methods,35,20,48,gpt-5-pro-2025-10-06
Bruers_2021,advancing_knowledge,57,45,70,gpt-5-pro-2025-10-06
Bruers_2021,logic_communication,62,50,72,gpt-5-pro-2025-10-06
Bruers_2021,open_science,20,10,35,gpt-5-pro-2025-10-06
Bruers_2021,global_relevance,68,55,80,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,overall,90,84,96,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,claims_evidence,88,82,94,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,methods,86,78,92,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,advancing_knowledge,91,84,97,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,logic_communication,85,77,91,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,open_science,64,55,72,gpt-5-pro-2025-10-06
Buntaine_et_al._2023,global_relevance,93,86,98,gpt-5-pro-2025-10-06
Carson_et_al._2023,overall,78,68,87,gpt-5-pro-2025-10-06
Carson_et_al._2023,claims_evidence,80,72,90,gpt-5-pro-2025-10-06
Carson_et_al._2023,methods,72,62,84,gpt-5-pro-2025-10-06
Carson_et_al._2023,advancing_knowledge,70,55,85,gpt-5-pro-2025-10-06
Carson_et_al._2023,logic_communication,85,75,92,gpt-5-pro-2025-10-06
Carson_et_al._2023,open_science,55,40,70,gpt-5-pro-2025-10-06
Carson_et_al._2023,global_relevance,68,50,80,gpt-5-pro-2025-10-06
Caviola_et_al._2022,overall,84,75,92,gpt-5-pro-2025-10-06
Caviola_et_al._2022,claims_evidence,83,75,90,gpt-5-pro-2025-10-06
Caviola_et_al._2022,methods,78,70,86,gpt-5-pro-2025-10-06
Caviola_et_al._2022,advancing_knowledge,78,68,88,gpt-5-pro-2025-10-06
Caviola_et_al._2022,logic_communication,85,78,92,gpt-5-pro-2025-10-06
Caviola_et_al._2022,open_science,92,88,97,gpt-5-pro-2025-10-06
Caviola_et_al._2022,global_relevance,72,60,82,gpt-5-pro-2025-10-06
Chuard_et_al._2022,overall,75,65,85,gpt-5-pro-2025-10-06
Chuard_et_al._2022,claims_evidence,70,55,80,gpt-5-pro-2025-10-06
Chuard_et_al._2022,methods,68,55,80,gpt-5-pro-2025-10-06
Chuard_et_al._2022,advancing_knowledge,72,60,85,gpt-5-pro-2025-10-06
Chuard_et_al._2022,logic_communication,78,65,90,gpt-5-pro-2025-10-06
Chuard_et_al._2022,open_science,45,30,60,gpt-5-pro-2025-10-06
Chuard_et_al._2022,global_relevance,70,55,85,gpt-5-pro-2025-10-06
Clancy_2024,overall,73,65,82,gpt-5-pro-2025-10-06
Clancy_2024,claims_evidence,64,55,73,gpt-5-pro-2025-10-06
Clancy_2024,methods,58,48,68,gpt-5-pro-2025-10-06
Clancy_2024,advancing_knowledge,80,72,88,gpt-5-pro-2025-10-06
Clancy_2024,logic_communication,85,78,92,gpt-5-pro-2025-10-06
Clancy_2024,open_science,43,30,56,gpt-5-pro-2025-10-06
Clancy_2024,global_relevance,84,76,92,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,overall,74,60,85,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,claims_evidence,72,55,82,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,methods,68,50,80,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,advancing_knowledge,70,55,80,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,logic_communication,80,65,88,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,open_science,40,25,55,gpt-5-pro-2025-10-06
Crawfurd_et_al._2023,global_relevance,85,70,93,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,overall,62,47,75,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,claims_evidence,55,40,70,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,methods,50,35,65,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,advancing_knowledge,63,50,78,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,logic_communication,72,62,82,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,open_science,50,35,65,gpt-5-pro-2025-10-06
Denkenberger_et_al._2022,global_relevance,78,65,90,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,overall,72,65,80,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,claims_evidence,68,58,77,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,methods,58,47,68,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,advancing_knowledge,70,60,80,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,logic_communication,77,68,85,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,open_science,78,70,88,gpt-5-pro-2025-10-06
Dullaghan_and_Zhang_2022,global_relevance,80,70,90,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,overall,82,74,89,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,claims_evidence,80,72,88,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,methods,78,70,86,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,advancing_knowledge,78,70,85,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,logic_communication,88,82,93,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,open_science,62,50,75,gpt-5-pro-2025-10-06
Epperson_and_Gerster_2024,global_relevance,72,62,82,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,overall,86,77,92,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,claims_evidence,84,74,90,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,methods,80,68,88,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,advancing_knowledge,83,72,90,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,logic_communication,89,82,95,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,open_science,45,30,60,gpt-5-pro-2025-10-06
Fangwa_et_al._2023,global_relevance,91,84,97,gpt-5-pro-2025-10-06
Frech_et_al._2023,overall,70,60,80,gpt-5-pro-2025-10-06
Frech_et_al._2023,claims_evidence,66,55,76,gpt-5-pro-2025-10-06
Frech_et_al._2023,methods,58,45,68,gpt-5-pro-2025-10-06
Frech_et_al._2023,advancing_knowledge,62,50,72,gpt-5-pro-2025-10-06
Frech_et_al._2023,logic_communication,78,68,88,gpt-5-pro-2025-10-06
Frech_et_al._2023,open_science,45,35,60,gpt-5-pro-2025-10-06
Frech_et_al._2023,global_relevance,82,70,90,gpt-5-pro-2025-10-06
Green_et_al._2025,overall,80,70,88,gpt-5-pro-2025-10-06
Green_et_al._2025,claims_evidence,82,72,90,gpt-5-pro-2025-10-06
Green_et_al._2025,methods,74,62,84,gpt-5-pro-2025-10-06
Green_et_al._2025,advancing_knowledge,77,67,86,gpt-5-pro-2025-10-06
Green_et_al._2025,logic_communication,85,76,92,gpt-5-pro-2025-10-06
Green_et_al._2025,open_science,91,84,97,gpt-5-pro-2025-10-06
Green_et_al._2025,global_relevance,86,76,94,gpt-5-pro-2025-10-06
Hahn_et_al._2025,overall,94,88,98,gpt-5-pro-2025-10-06
Hahn_et_al._2025,claims_evidence,93,87,97,gpt-5-pro-2025-10-06
Hahn_et_al._2025,methods,92,85,96,gpt-5-pro-2025-10-06
Hahn_et_al._2025,advancing_knowledge,94,88,99,gpt-5-pro-2025-10-06
Hahn_et_al._2025,logic_communication,95,90,99,gpt-5-pro-2025-10-06
Hahn_et_al._2025,open_science,80,70,90,gpt-5-pro-2025-10-06
Hahn_et_al._2025,global_relevance,96,90,99,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,overall,88,82,93,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,claims_evidence,89,83,94,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,methods,87,81,92,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,advancing_knowledge,86,79,92,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,logic_communication,90,85,96,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,open_science,68,55,80,gpt-5-pro-2025-10-06
Haushofer_et_al._2020,global_relevance,93,88,98,gpt-5-pro-2025-10-06
Hill_et_al._2024,overall,93,88,97,gpt-5-pro-2025-10-06
Hill_et_al._2024,claims_evidence,86,80,92,gpt-5-pro-2025-10-06
Hill_et_al._2024,methods,85,78,91,gpt-5-pro-2025-10-06
Hill_et_al._2024,advancing_knowledge,92,86,97,gpt-5-pro-2025-10-06
Hill_et_al._2024,logic_communication,92,88,96,gpt-5-pro-2025-10-06
Hill_et_al._2024,open_science,55,40,70,gpt-5-pro-2025-10-06
Hill_et_al._2024,global_relevance,90,82,96,gpt-5-pro-2025-10-06
Jack_et_al._2022,overall,87,80,94,gpt-5-pro-2025-10-06
Jack_et_al._2022,claims_evidence,86,78,92,gpt-5-pro-2025-10-06
Jack_et_al._2022,methods,83,75,89,gpt-5-pro-2025-10-06
Jack_et_al._2022,advancing_knowledge,92,86,97,gpt-5-pro-2025-10-06
Jack_et_al._2022,logic_communication,84,77,90,gpt-5-pro-2025-10-06
Jack_et_al._2022,open_science,55,40,66,gpt-5-pro-2025-10-06
Jack_et_al._2022,global_relevance,95,90,99,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,overall,88,82,93,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,claims_evidence,88,83,93,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,methods,87,82,92,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,advancing_knowledge,85,78,91,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,logic_communication,90,85,95,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,open_science,68,58,78,gpt-5-pro-2025-10-06
Jaroszewicz_et_al._2024,global_relevance,79,71,86,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,overall,70,58,80,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,claims_evidence,74,64,84,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,methods,62,50,74,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,advancing_knowledge,66,55,77,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,logic_communication,78,68,88,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,open_science,57,42,70,gpt-5-pro-2025-10-06
Kirkland_et_al._2023,global_relevance,49,36,60,gpt-5-pro-2025-10-06
Kremer_et_al._2020,overall,76,66,85,gpt-5-pro-2025-10-06
Kremer_et_al._2020,claims_evidence,61,49,70,gpt-5-pro-2025-10-06
Kremer_et_al._2020,methods,47,35,58,gpt-5-pro-2025-10-06
Kremer_et_al._2020,advancing_knowledge,80,70,88,gpt-5-pro-2025-10-06
Kremer_et_al._2020,logic_communication,88,80,94,gpt-5-pro-2025-10-06
Kremer_et_al._2020,open_science,34,22,46,gpt-5-pro-2025-10-06
Kremer_et_al._2020,global_relevance,94,88,98,gpt-5-pro-2025-10-06
Kremer_et_al._2022,overall,90,82,96,gpt-5-pro-2025-10-06
Kremer_et_al._2022,claims_evidence,88,80,94,gpt-5-pro-2025-10-06
Kremer_et_al._2022,methods,85,76,92,gpt-5-pro-2025-10-06
Kremer_et_al._2022,advancing_knowledge,92,85,98,gpt-5-pro-2025-10-06
Kremer_et_al._2022,logic_communication,87,80,93,gpt-5-pro-2025-10-06
Kremer_et_al._2022,open_science,88,75,95,gpt-5-pro-2025-10-06
Kremer_et_al._2022,global_relevance,97,92,99,gpt-5-pro-2025-10-06
Kubo_et_al._2023,overall,71,60,82,gpt-5-pro-2025-10-06
Kubo_et_al._2023,claims_evidence,67,55,78,gpt-5-pro-2025-10-06
Kubo_et_al._2023,methods,65,52,77,gpt-5-pro-2025-10-06
Kubo_et_al._2023,advancing_knowledge,68,57,80,gpt-5-pro-2025-10-06
Kubo_et_al._2023,logic_communication,76,66,86,gpt-5-pro-2025-10-06
Kubo_et_al._2023,open_science,60,45,75,gpt-5-pro-2025-10-06
Kubo_et_al._2023,global_relevance,72,60,84,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,overall,72,60,82,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,claims_evidence,65,50,78,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,methods,62,45,75,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,advancing_knowledge,70,55,83,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,logic_communication,80,70,90,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,open_science,60,45,75,gpt-5-pro-2025-10-06
Kudymowa_et_al._2023,global_relevance,78,65,88,gpt-5-pro-2025-10-06
Liang_et_al._2025,overall,78,68,87,gpt-5-pro-2025-10-06
Liang_et_al._2025,claims_evidence,75,65,85,gpt-5-pro-2025-10-06
Liang_et_al._2025,methods,76,66,86,gpt-5-pro-2025-10-06
Liang_et_al._2025,advancing_knowledge,82,72,90,gpt-5-pro-2025-10-06
Liang_et_al._2025,logic_communication,72,62,82,gpt-5-pro-2025-10-06
Liang_et_al._2025,open_science,45,30,60,gpt-5-pro-2025-10-06
Liang_et_al._2025,global_relevance,85,75,92,gpt-5-pro-2025-10-06
Liang_et_al_2023,overall,86,76,93,gpt-5-pro-2025-10-06
Liang_et_al_2023,claims_evidence,78,68,88,gpt-5-pro-2025-10-06
Liang_et_al_2023,methods,80,70,89,gpt-5-pro-2025-10-06
Liang_et_al_2023,advancing_knowledge,84,74,92,gpt-5-pro-2025-10-06
Liang_et_al_2023,logic_communication,87,80,94,gpt-5-pro-2025-10-06
Liang_et_al_2023,open_science,65,55,75,gpt-5-pro-2025-10-06
Liang_et_al_2023,global_relevance,82,72,90,gpt-5-pro-2025-10-06
McGuire_et_al._2024,overall,83,75,90,gpt-5-pro-2025-10-06
McGuire_et_al._2024,claims_evidence,78,70,86,gpt-5-pro-2025-10-06
McGuire_et_al._2024,methods,76,65,84,gpt-5-pro-2025-10-06
McGuire_et_al._2024,advancing_knowledge,82,72,90,gpt-5-pro-2025-10-06
McGuire_et_al._2024,logic_communication,88,80,94,gpt-5-pro-2025-10-06
