paper,tier_kind,score,lo,hi,rationale
Bhat et al. 2022,tier_should,4.6,4.2,4.9,"Merits top field or marginal A-journal: rigorous RCT evidence with long-run follow-up, novel behavioral mechanisms, strong policy relevance and cost-effectiveness. Minor limits (power for econ outcomes, one trial null) slightly temper general-interest reach."
Bhat et al. 2022,tier_will,4.4,3.8,4.8,"Likely to place in a strong top field or marginal A-journal in development/health/behavioral econ. The null on economic outcomes may reduce general-interest odds, but methodological strength and policy relevance support high-tier publication."
Bhattacharya and Packalen 2020,tier_should,3.8,3.3,4.3,"Strong, timely contribution to science-of-science and policy discourse, suitable for a top field journal. Lack of rigorous new empirical identification and limited replication materials likely preclude an A-journal but merit high field placement."
Bhattacharya and Packalen 2020,tier_will,3.4,2.8,4.0,"As a conceptually driven, policy-oriented piece with limited new empirical work, it is most likely to publish in a strong field journal; with careful framing, a top field outlet is plausible but less certain."
Bilal and Kaenzig 2024,tier_should,4.8,4.3,5.0,"Merits top general-interest or top field outlet: novel identification (global temperature shocks), strong robustness, and impactful structural implications. Remaining debates on identification/magnitude do not outweigh contribution."
Bilal and Kaenzig 2024,tier_will,4.6,3.8,5.0,"High chance of A or top field publication given novelty, rigor, and policy salience. Controversy and small T-sample may lengthen review or shift to top field, but outlook remains very strong."
Blimpo and Castaneda-Dower 2025,tier_should,3.8,3.2,4.4,"Merits publication in a strong field or marginal top field journal: solid RCT, novel mechanism, and policy salience. Constraints (measurement gaps, modest N, single context, limited open science) likely keep it below top general journals."
Blimpo and Castaneda-Dower 2025,tier_will,3.4,2.8,4.0,"Likely outcome is a top B/strong field or possibly top field development/public finance outlet. Interest and novelty are strong, but data limitations and scope may deter A-journal acceptance."
Bruers 2021,tier_should,2.3,1.6,3.0,"Thought-provoking with important topic and insights, but methodological weaknesses (hypothetical bias, attrition, outliers) limit reliability. Suits a decent field journal after strengthening robustness and transparency rather than a top outlet."
Bruers 2021,tier_will,1.9,1.2,2.6,"Given contentious methods and extrapolations, more likely to land in a marginal-to-solid field journal in environmental/animal-welfare economics or interdisciplinary policy venues than in top field journals."
Buntaine et al. 2023,tier_should,4.6,3.8,5.0,"Innovative national-scale RCT with GE analysis, strong causal evidence, and clear policy relevance. Merits top field or marginal A placement on content and rigor."
Buntaine et al. 2023,tier_will,4.3,3.5,4.8,"Likely to place in a top field or marginal A venue. High quality and impact, though topic specialization and data access constraints may reduce A-journal odds."
Carson et al. 2023,tier_should,4.2,3.6,4.7,"Strong, policy-relevant science-of-science with rigorous experimental design and careful analysis. Merits a top field outlet (e.g., Management Science/Research Policy/PNAS-type). Lacks hard outcome validation for generalist flagship journals."
Carson et al. 2023,tier_will,3.9,3.2,4.5,"Likely to place in a strong/top field journal in management/science policy/econ of science. Generalist A-journals less likely given stated-preference design and no outcome data, though high-profile field outlets are plausible."
Caviola et al. 2022,tier_should,4.3,3.8,4.7,"On merit, fits a top field journal: rigorous, transparent, and novel empirical contribution at the psychology–ethics interface. Not a methodological breakthrough or direct policy study, but strong execution and clarity."
Caviola et al. 2022,tier_will,4.2,3.6,4.7,"Given rigor, novelty, and breadth, likely to publish in a strong/top field cognitive or moral psychology outlet. Some risk from external-validity and construct concerns, but overall strong publishability."
Chuard et al. 2022,tier_should,3.8,3.0,4.5,"Merits a strong field or marginal top-field outlet in applied micro/health (clear question, credible methods, robust results, policy relevance). Novelty is moderate and some identification/data limitations remain, likely keeping it below a top general-interest journal."
Chuard et al. 2022,tier_will,3.6,2.8,4.2,"Likely to place in a top field/strong B journal in health/applied micro. Solid execution and relevance, but incremental contribution and data limitations may limit reach to marginal A. Some chance of lower if referees emphasize identification concerns; some chance higher if framed for health econ."
Clancy 2024,tier_should,3.6,3.0,4.2,"On merit, suitable for a strong field journal at the econ/technology-policy interface given rigor, transparency, and policy salience. Heavy reliance on forecasts and limited empirical tests may preclude a top general journal but justifies high field-level placement."
Clancy 2024,tier_will,2.8,2.0,3.5,"Given report-style framing, limited empirical testing, and incomplete replication package, publication most likely in a decent-to-strong field/policy journal or as a well-cited institutional report rather than a top field or general journal."
Crawfurd et al. 2023,tier_should,4.2,3.6,4.6,"Merits top field/marginal A-journal in development/public health/environmental health: strong synthesis, careful bias adjustments, clear policy value. Novelty moderate but impact high."
Crawfurd et al. 2023,tier_will,3.8,3.2,4.3,"Likely placement in strong field journal (development, environmental health, public health) or marginal top field. High policy relevance but meta-analytic/observational focus may limit A-journal odds."
Denkenberger et al. 2022,tier_should,3.4,2.7,4.0,"Strong applied contribution with clear policy relevance, careful caveats, and a novel comparative framework. Methods’ speculative elements and survey limitations likely preclude top general journals but fit well in strong field journals focused on risk/disaster policy or GCR."
Denkenberger et al. 2022,tier_will,3.2,2.5,3.8,"Given topic relevance to disaster risk reduction and GCR, plus clear presentation, publication in a top B/strong field journal is likely. Structural uncertainties and subjective inputs may limit ascent to marginal A-journals absent additional validation or data."
Dullaghan and Zhang 2022,tier_should,2.8,2.2,3.4,"As an applied forecasting study, merits a strong field journal if adapted (clear framing, useful insights). Methods limits (small N, limited validation) likely cap it below top field. With added calibration/sensitivity and expanded data, could reach upper B-tier."
Dullaghan and Zhang 2022,tier_will,2.1,1.5,2.7,"Given its current report/brief format, it is more likely to remain as a public report or land in a decent applied/field outlet. Without substantial methodological expansion or new data, unlikely to reach top field journals."
Epperson and Gerster 2024,tier_should,4.0,3.4,4.5,"Rigorous causal design with lab–field bridge and policy-relevant insights merits strong field or marginal A-tier consideration. Novel identification and heterogeneity/dynamics analysis. Constraints: student sample, modest N, short-lived effects, partial deviation from prereg (well defended)."
Epperson and Gerster 2024,tier_will,3.6,3.0,4.2,Likely placement in a strong field/top B outlet; a chance at marginal A with positioning to broader policy/behavioral audiences. COVID-shortened sample and limited persistence may temper outcomes. Expect 3–4 tier range.
Fangwa et al. 2023,tier_should,3.8,3.2,4.4,"Merits a top field/marginal A journal in development/health/management: strong design, substantive impacts, and policy relevance. Falls short of A-journal due to bundled treatment, limited data access, and single-country scope."
Fangwa et al. 2023,tier_will,3.5,3.0,4.2,Likely outcome is top B/strong field or marginal top field. Strong identification and policy relevance help; generalizability and data-access constraints may limit A-journal chances.
Frech et al. 2023,tier_should,3.4,2.8,4.1,"Merits a strong field journal: clear theory, transparent empirics, and policy relevance. Assumptions and identification limits likely preclude top general journals but fit top field outlets in health/policy."
Frech et al. 2023,tier_will,3.2,2.5,3.8,"Likely outcome is a solid/top field journal in health economics or policy. Good fit and relevance, though simplifying assumptions and limited identification may cap placement below marginal A-journals."
Hahn et al. 2025,tier_should,4.7,4.2,5.0,Methodologically strong with clear policy relevance and broad synthesis; merits a top journal or top field outlet. The LBD integration and harmonized MVPF advances the literature beyond prior cost-per-ton frameworks.
Hahn et al. 2025,tier_will,4.4,3.8,4.9,"Likely to place in a top field or marginal A journal given breadth, novelty, and policy salience. Placement depends on referee views on assumptions (SCC incidence, isoelasticity, LBD causality) and fit with general-interest venues."
Haushofer et al. 2020,tier_should,4.3,3.8,4.8,"Methodologically rigorous, policy-relevant RCT with clear results and careful analysis merits a top field or marginal A-journal. Slight limits on novelty and reliance on self-reports keep it shy of the very top, but it is strong applied work."
Haushofer et al. 2020,tier_will,4.1,3.6,4.6,"Likely to place in a strong field or marginal A-journal given design quality, policy relevance, and clarity. Editorial preferences about null psychotherapy effects and generalizability introduce uncertainty around landing in an A-journal vs. top field."
Hill et al. 2024,tier_should,4.7,4.3,5.0,"Merits top-journal placement: novel, generalizable finding; rigorous analyses; broad interest to science-of-science, economics, management, and policy. Minor methodological caveats unlikely to outweigh contributions."
Hill et al. 2024,tier_will,4.6,4.2,5.0,"Likely to publish in a leading general science or top field journal (Science/NHB/PNAS/top econ/management field). Strong track, timely topic, clear results. Some journals may prefer experimental causal designs; still high probability of top-tier."
Jack et al. 2022,tier_should,4.6,4.0,5.0,"Rigor, originality in contract design for PES, strong internal validity, and major policy relevance warrant top field or A-journal. Minor measurement caveats and external validity concerns slightly temper a unanimous A-journal call."
Jack et al. 2022,tier_will,4.5,3.8,5.0,"Likely to publish in a top field or possibly a general-interest applied A-journal given rigor, policy relevance, and clear results. The niche context and measurement complexities may nudge toward top field rather than the very top general outlets."
Jaroszewicz et al. 2024,tier_should,4.4,3.8,4.8,"Methodologically exemplary, policy-relevant, and informative nulls with novel prediction-contrast and mechanism modeling. Merits top field or marginal general-interest placement. Contextual limits and nulls may deter some A-journals, but contribution justifies high tier."
Jaroszewicz et al. 2024,tier_will,4.0,3.3,4.5,Likely in a strong top field or AEJ/JPAM-style outlet; a general-interest A-journal is plausible but less certain given null/negative results and context specificity. High execution and topical importance raise placement prospects.
Kirkland et al. 2023,tier_should,3.2,2.8,3.8,"Merits a strong field journal given scope, preregistration, and solid multilevel analyses. Correlational design, single-item measures, and modest/mixed effects preclude top-tier placement."
Kirkland et al. 2023,tier_will,3.1,2.6,3.6,Multinational scope and transparency make publication in a strong field journal likely; methodological limits and correlational mediation make A-journal placement unlikely.
Kremer et al. 2020,tier_should,3.8,3.2,4.3,"Merits a top field/policy forum placement: clear, impactful synthesis with actionable design guidance. Not a full empirical or theoretical breakthrough for top general journals; short format suits proceedings or strong field outlets."
Kremer et al. 2020,tier_will,3.7,3.0,4.2,"Likely to publish in a leading association proceedings or top field policy-oriented outlet. Topic salience, clarity, and timeliness support high placement; short length and limited new identification make full A-journal placement unlikely."
Kudymowa et al. 2023,tier_should,3.6,3.0,4.2,"Merits strong field journal or marginal top field outlet in health economics/policy methods or development practice. Clear applied contribution and rigor, though limited novelty/empirics and some tentative components keep it below A-journal tier."
Kudymowa et al. 2023,tier_will,3.2,2.6,3.8,"Most likely to land in a top B/strong field journal or as a well-regarded institutional working paper. The applied focus, commissioned nature, and limited new data reduce odds of top field placement, but clarity and usefulness support solid publication."
Liang et al. 2025,tier_should,4.3,3.7,4.8,"Contribution, identification, and breadth warrant top field/marginal A in applied micro/dev/health. Novel income evidence on routine monitoring, strong robustness."
Liang et al. 2025,tier_will,4.0,3.3,4.5,"Likely top field outlet; A-journal possible but uncertain given data idiosyncrasies, cost–benefit simplicity, and China-specific context."
McGuire et al. 2024,tier_should,3.8,3.2,4.4,"On merit, fits a strong/top field journal in global health/mental health or wellbeing economics: robust synthesis, novel adjustments, and policy relevance. Ad hoc elements and reliance on nonpublic M&E data may limit suitability for top general journals."
McGuire et al. 2024,tier_will,3.2,2.6,3.8,Likely to publish as an institute report and/or in solid field journals. The core meta-analysis could place higher; the full decision-analytic package with subjective weights and private data likely lands in strong field outlets rather than A-journals.
Naidu et al. 2023,tier_should,4.4,4.1,4.8,"Merits top field or marginal A-journal: rigorous design, novel evidence, clear policy contribution. Limitations (attrition, MTE assumption, context specificity) modestly temper suitability for very top general outlets."
Naidu et al. 2023,tier_will,4.2,3.8,4.6,"Likely to land in a strong top field or marginal A-journal. High policy relevance and solid causal design; some reviewers may be cautious about attrition and extrapolations, nudging to top field rather than top general."
Salazar and Restrepo 2024,tier_should,4.2,3.6,4.7,"On merit, fits a top field environmental/development/trade outlet; could reach marginal A-journal if robustness, uncertainty analysis, and international linkages are expanded and code is released. Clear contribution and policy relevance warrant strong placement."
Salazar and Restrepo 2024,tier_will,3.8,3.0,4.5,"Given preliminary status and heavy structural calibration, likely outcome is strong field journal; with further polishing and robustness it could place in a top field. Publication prospects are good, but noise and field tastes may cap it below A-journal absent additional validation."
Schoenegger et al. 2025,tier_should,3.8,3.3,4.2,"Strong, well-communicated preregistered RCT on a timely HCI/AI topic with practical implications. Outlier sensitivity, limited task breadth (six items), and control design prevent top-tier placement. Merits a top field journal; borderline for marginal A depending on added robustness and shared materials."
Schoenegger et al. 2025,tier_will,3.6,3.0,4.1,"Likely to publish in a strong field journal given topic salience, scale, and clarity. Mixed findings across analyses, sensitivity to one item, and limited open materials may deter A-journals. With additional robustness checks or replication, prospects could move toward marginal A-tier."
Schuett et al. 2023,tier_should,3.6,3.0,4.2,"Strong applied governance survey with rigor and transparency, offering practical value. Best suited to a strong field or top policy venue; modest methodological novelty and small N limit A-journal suitability."
Schuett et al. 2023,tier_will,3.2,2.6,3.8,"Likely to publish in a solid field/policy journal or reputable governance venue. Timeliness helps, but abstract items, selection bias, and limited novelty make top-tier general outlets unlikely."
Trammel and Aschenbrenner 2025,tier_should,4.2,3.6,4.6,"Merits publication in a top field or marginal top general journal: novel, rigorous, and policy-relevant theoretical contribution clarifying growth–x-risk. Stylization and sparse empirics likely keep it short of top general outlets but strong for top field/policy theory venues."
Trammel and Aschenbrenner 2025,tier_will,3.9,3.2,4.5,"Likely outcome is strong field or marginal top-field outlet. Could reach a selective short-format top-general venue focused on timely theory-policy pieces, but theoretical niche and limited empirics add uncertainty."
Williams et al. 2024,should,4.6,4.2,5.0,"Strong pantropical mapping, but several methodological and interpretive risks remain. Training data on natural regrowth include substantial omission error in humid biomes; pseudo-absences and misclassification may bias the model. Random forests were trained on class-balanced points and probabilities are treated as calibrated; no prevalence correction or probability calibration is shown, yet expected areas/carbon rely on these values. Validation is not fully spatial; accuracy likely inflated by autocorrelation (declines at greater distances); no formal spatial block cross-validation or predictive uncertainty mapping. Reported “confidence intervals” for total area/carbon are effectively deterministic sums, not uncertainty; overall uncertainty is understated. Predictions at 30 m depend on several coarser predictors (300 m–1 km), so effective map resolution is coarser and may mislead fine-scale planning. Final maps omit socioeconomic predictors (despite similar accuracy), assuming stationarity from 2000–2016 to 2030 and potentially overstating practical feasibility. Carbon estimates exclude permanence/leakage dynamics and use coarse downscaled inputs. Data products are open, but code is only “on request,” limiting full reproducibility."
Williams et al. 2024,will,4.7,4.4,5.0,"Strong pantropical mapping, but several methodological and interpretive risks remain. Training data on natural regrowth include substantial omission error in humid biomes; pseudo-absences and misclassification may bias the model. Random forests were trained on class-balanced points and probabilities are treated as calibrated; no prevalence correction or probability calibration is shown, yet expected areas/carbon rely on these values. Validation is not fully spatial; accuracy likely inflated by autocorrelation (declines at greater distances); no formal spatial block cross-validation or predictive uncertainty mapping. Reported “confidence intervals” for total area/carbon are effectively deterministic sums, not uncertainty; overall uncertainty is understated. Predictions at 30 m depend on several coarser predictors (300 m–1 km), so effective map resolution is coarser and may mislead fine-scale planning. Final maps omit socioeconomic predictors (despite similar accuracy), assuming stationarity from 2000–2016 to 2030 and potentially overstating practical feasibility. Carbon estimates exclude permanence/leakage dynamics and use coarse downscaled inputs. Data products are open, but code is only “on request,” limiting full reproducibility."
