paper,model,prompt_version,should_score,should_ci_lower,should_ci_upper,should_rationale,will_score,will_ci_lower,will_ci_upper,will_rationale
Jack et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"RCT with novel upfront PES design credibly reduces stubble burning using satellite validation and shows cost-effective pollution mitigation. Strong identification, policymaker relevance, and theoretical insight into credit and trust constraints justify top field or general-interest placement.",4.5,4.0,5.0,"High-profile authors and policy-salient topic with clear, robust results. Field experiment and remote sensing strengthen credibility. Scope may limit top-five general appeal, but excellent fit for top field or marginal A-journal."
Hill et al. 2024,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Compelling, scalable measurement of research pivots across papers and patents; documents pervasive, increasing pivot penalty; uses within-author analysis and exogenous shocks; challenges outsider-advantage narrative; strong data and broad implications suit top general/field journals despite observational limits.",4.0,3.5,4.5,"Despite breadth and timely COVID case, causal identification and measurement choices may concern top general outlets; likely to land in top field journals in innovation/management or PNAS/Science Advances."
Haushofer et al. 2020,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Large, well-powered RCT with transparent design shows robust cash effects and null PM+, including combination arm; strong measurement and policy relevance. Novelty moderate but comparative evidence and cost-effectiveness insights fit top field development/applied outlets.",4.0,3.5,4.5,"Prominent authors and NBER dissemination, clean RCT, and policy salience favor placement in AEJ Applied, Economic Journal, or JDE. Lacks breakthrough novelty for top-five general, but highly publishable in leading field journals."
Kremer et al. 2020,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,Integrates theory and practical evidence on AMCs; credible though evaluation is complex. Demonstrates large health impact and actionable design lessons. Modest methodological novelty suggests best fit is top field/policy journal rather than top-five general.,4.0,3.5,4.5,"Timely, highly policy-relevant topic with broad readership appeal. Even without breakthrough methods, visibility and impact make top field outlets (AEJ Applied, JHE, JEP) or AEA P&P likely; author/status advantages further improve placement."
Kremer et al. 2022,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Strong, policy-relevant meta-analysis of 52 RCTs estimating child mortality effects and cost-effectiveness; rigorous methods increase power; credible team; novel evidence fills key gap; best fit is top field/global health journal.",4.5,4.0,5.0,High-profile authors and policy relevance favor placement in Lancet Global Health or top field econ/health journal; meta-analysis format may deter top-five general; still strong odds of near-A placement.
Jaroszewicz et al. 2024,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,Large preregistered RCT on U.S. one-off cash transfers with administrative and survey outcomes; credible null/negative impacts challenge prevailing beliefs and delineate mechanisms (subjective vs objective). Important policy relevance; methods sound; contribution fits top applied micro/public journals.,3.5,3.0,4.0,"Null results and short horizon reduce splash; framing as prediction-versus-outcome helps. Still policy-relevant with strong design and sample. Likely lands in solid/top field applied micro or public policy outlet, not general-interest."
Kubo et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Provides causal evidence via synthetic difference-in-differences that trade bans raise substitute species trade, revealing cross-taxon spillovers. Credible design with online market data; timely, policy-relevant contribution suited to top conservation journals.",3.0,2.5,3.5,"Strong policy relevance but limited species coverage, marketplace proxies, and potential confounding may restrain enthusiasm. Likely to land in solid conservation journals rather than A-journal general or top field flagships."
Liang et al. 2021,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,Novel nationwide biodiversity panel with credible causal shocks; links economic activity to species decline and regulation mitigation; strong identification and policy relevance; excellent fit for top field or general-interest A if robustness and mechanisms are persuasive.,4.0,3.5,4.5,"High-profile authors, NBER visibility, timely topic. Environmental economics focus may limit general journals; likely AEJ Applied/JAERE/REStat. Placement depends on ecological data credibility and identification across channels."
McGuire et al. 2024,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Comprehensive, transparent cost-effectiveness synthesis of psychotherapy charities using SWB, multiple evidence sources, GRADE, and sensitivity analyses; policy relevance high; limited novelty and potential conflicts temper top-tier appeal.",2.5,2.0,3.0,"Non-academic provenance, applied focus, and limited novelty likely steer it to niche/global health practice journals despite solid methods and transparency."
Naidu et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,Unique RCT of guest worker offers; large sample; credible design; novel MTE to quantify pecuniary vs non-pecuniary costs; important migration and welfare implications; limited external validity to male UAE construction and relies on linear MTE.,4.0,3.5,4.5,"High-profile authors and policy relevance support top placement. Yet external validity, subjective well-being measures, and linear MTE assumption may steer toward AEJ Applied/REStat rather than AER/QJE."
Salazar and Restrepo 2024,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Combines reduced-form evidence with a multi-sector spatial GE model to quantify deforestation leakage in Brazil, finding limited leakage. Credible, policy-relevant contribution; modeling seems sound, though exposition is rough. Strong fit for environmental/spatial economics field journals.",3.0,2.5,3.5,"Presentation quality and identification details are uneven, lowering odds at top outlets. Nevertheless, timely and policy-relevant, with reasonable methods; likely to place in strong environmental economics field journals such as JEEM or JAERE."
Karger et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Novel, large-scale persuasion tournament on existential risks; uniquely compares superforecasters and experts and documents persistent disagreement. Methods seem careful with incentives and rich data, but causal mechanisms unclear and generalizability limited. Strong fit for top forecasting/decision science journals.",3.0,2.5,3.5,"Interdisciplinary and politically sensitive topic; limited convergence may read as null results. Without sharper identification or policy implications, A-journals unlikely. Well-suited to strong field outlets (International Journal of Forecasting, Risk Analysis, Judgment and Decision Making)."
Trammel and Aschenbrenner 2025,gpt-5,journal_tiers_v2_2025-09-14,3.0,2.5,3.5,"Clean theoretical contribution on x-risk and growth; clear comparative statics under hazard elasticity. Results are credible, general, and policy-relevant. Limited external validation and narrow focus likely cap it at solid field journals rather than top general.",2.5,2.0,3.0,"Topic and framing are niche for mainstream economics; absent empirics or calibration, placement likely in low- to mid-tier field journals. Without senior coauthors or strong ties, probability of top field outlet is modest."
Schuett et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,3.0,2.5,3.5,"Timely expert elicitation on AGI lab safety practices, with clear policy relevance and transparency about limitations. Non-representative sample and acquiescence-prone Likert design constrain inference and novelty. Solid fit for AI governance/policy journals, not top-general.",3.0,2.5,3.5,High-profile participants and alignment with ongoing regulatory debates help placement. Yet methodological limits and descriptive contribution likely cap venue to solid field journals rather than top field or general outlets.
Walker et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,4.0,3.5,4.5,"Strong, novel causal evidence of intergenerational child mortality reductions from randomized deworming using 23-year KLPS. Identification credible; policy relevance high. Some concerns: mortality rarity, recall/attrition, external validity. Best fit: top field in development/health.",4.5,4.0,5.0,"Elite authorship, NBER WP, and KLPS platform plus policy salience make placement strong. Despite deworming controversy and statistical challenges, results appear credible. Likely top field or marginal A-journal; outside chance at general-interest."
Williams et al. 2024,gpt-5,journal_tiers_v2_2025-09-14,4.5,4.0,5.0,"Strong, policy-relevant contribution mapping pantropical natural regeneration potential and carbon sequestration with spatially explicit, remote-sensing-informed modeling; cross-validates prior estimates; addresses socioeconomic constraints and equity. Credible analysis and impactful implications suit top field or generalist outlets.",4.5,4.0,5.0,"High salience for climate and biodiversity policy, clear quantitative results, and credible methodology make it competitive at top field journals and plausible for generalist A-journals; uncertainties and policy-dependence may nudge editors toward field-leading venues."
Xing et al. 2023,gpt-5,journal_tiers_v2_2025-09-14,3.5,3.0,4.0,"Novel, policy-relevant quantification of urban greening’s PM2.5 benefits versus pollen costs using remote sensing, wind-based identification, and claims data. Large program and plausible design; ozone ambiguity remains. With cleaner exposition, merits upper field.",3.0,2.5,3.5,"Strong topic and data, but uneven writing and under-described methods weaken credibility. Fit best with environmental/urban field journals; acceptance depends on clearer identification and robustness checks rather than general-interest or top-field outlets."
