provider,paper,model,status,error
anthropic,BenYishay_et_al._2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9gTkWmcb4AFovAtJZwZ'}"
anthropic,Benabou_et_al._2023,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9gWsrsVH5JCuddCURdx'}"
anthropic,Benjamin_et_al._2023,claude-opus-4-6,completed,
anthropic,Bergeron_et_al._2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9gk1pTmZ3GgkW4WzNDX'}"
anthropic,Bhat_et_al._2022,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9goA8c7TRsSB6dREwaK'}"
anthropic,Bhattacharya_and_Packalen_2020,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9grKkdqUbrYKqt97EKV'}"
anthropic,Bilal_and_Kaenzig_2024,claude-opus-4-6,failed,"Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'prompt is too long: 210067 tokens > 200000 maximum'}, 'request_id': 'req_011CY9guPctQcZGPrQaju4jb'}"
anthropic,Bruelhart et al. 2021,claude-opus-4-6,completed,
anthropic,Bruers_2021,claude-opus-4-6,completed,
anthropic,Buntaine_et_al._2023,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9h5gBpEzEw6KQPiVP7b'}"
anthropic,Carson_et_al._2023,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9h8nga9KPH7x1Xw7wYu'}"
anthropic,Chuard_et_al._2022,claude-opus-4-6,completed,
anthropic,Clancy_2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9iCCcwYRNAPnADWBdGW'}"
anthropic,Denkenberger_et_al._2022,claude-opus-4-6,completed,
anthropic,Dullaghan_and_Zhang_2022,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9iNEPscSWw3P6H8RFqd'}"
anthropic,Fangwa_et_al._2023,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9iRLDCdmoKp8j8uufsF'}"
anthropic,Frech_et_al._2023,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9iUTc352sA3NXVhx2f4'}"
anthropic,Green_et_al._2025,claude-opus-4-6,completed,
anthropic,Hahn_et_al._2025,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9id4Cd9b4NC4zizygXq'}"
anthropic,Haushofer_et_al._2020,claude-opus-4-6,completed,
anthropic,Jack_et_al._2022,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9iouu7RSFTdBAPQH4b3'}"
anthropic,Jaroszewicz_et_al._2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9isrLuNXGm7zEB7S4n1'}"
anthropic,Kremer_et_al._2022,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9j2hTcdg1bJbJFoGGY2'}"
anthropic,Liang_et_al._2025,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9j62uV8xEDQKm2UZ6u8'}"
anthropic,Liang_et_al_2023,claude-opus-4-6,completed,
anthropic,McGuire_et_al._2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9jJGztuueoyUgpyKf3s'}"
anthropic,Peterman_et_al._2025,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9jMVRqiFV29g9qecsBD'}"
anthropic,Salazar_and_Restrepo_2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9jR21SZrU6XxmVxYbzV'}"
anthropic,Schoenegger_et_al._2025,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9jV4gnfDAtUqFr92FHr'}"
anthropic,Schuett_et_al._2023,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9jY9JBgfSpiPAhk4Rqh'}"
anthropic,Walker_et_al._2023,claude-opus-4-6,completed,
anthropic,Weaver_et_al._2025,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9jgEA6z1GF3BzmUNfYw'}"
anthropic,Williams_et_al._2024,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9jjnEFXF2aFpHYpjBNT'}"
anthropic,Xing_et_al._2023,claude-opus-4-6,failed,"Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: bc3cc5c9-80bf-4759-b366-76e010e4fc65, model: claude-opus-4-6). For details, refer to: https://docs.claude.com/en/api/rate-limits. You can see the response headers for current usage. Please reduce the prompt length or the maximum tokens requested, or try again later. You may also contact sales at https://www.anthropic.com/contact-sales to discuss your options for a rate limit increase.""}, 'request_id': 'req_011CY9joGYRLt9qZTu9Nyrkb'}"
