
title,authors,year,citation,abstract
Selecting the Most Effective Nudge: Evidence from a Large‑Scale Experiment on Immunization,Abhijit V. Banerjee; Gautam Rao; Jordan K. Shipley; Tavneet Suri; Benjamin A. Olken; Anna Plantin and co‑authors,2021,Banerjee et al. 2021,"A 75‑arm randomised trial in Haryana, India combined variations of reminders, financial incentives and community ambassadors to increase child immunisation.  The authors propose treatment variant aggregation to identify the most effective policy.  The best combination boosted immunisations by 44% relative to the control.  A more cost‑effective mix (information hubs and reminders without incentives) raised immunisations per dollar by 9.1% compared with the status quo."
Willful Ignorance and Moral Behavior,Raphael Epperson; Andreas Gerster,2024,Epperson and Gerster 2024,"A laboratory experiment and a field study at university canteens in Germany show that providing information about the negative externalities of meat production decreases meat consumption, but many people avoid such information when it is optional.  Those who deliberately avoid information are particularly responsive when forced to confront it, though the behavioural response fades after two weeks.  The study highlights the role of willful ignorance in sustaining socially harmful consumption."
Existential Risk and Growth,Leopold Aschenbrenner; Philip Trammell,2024,Aschenbrenner and Trammell 2024,"The authors model how accelerating technological progress affects existential risk.  Acceleration shortens the time society spends at risky levels of technology and increases wealth, allowing more investment in safety.  Consequently, there is an ‘existential risk Kuznets curve’: initial increases in research speed raise risk, but beyond a threshold further acceleration reduces it.  Risk rises only under extreme policy failures or if acceleration itself directly increases hazards."
Does Conservation Work in General Equilibrium?,Verónica Salazar Restrepo,2024,Salazar Restrepo 2024,"A spatial general equilibrium model of the Brazilian economy examines conservation policies that target specific ecosystems.  Protecting high‑deforestation regions reduces aggregate deforestation, but leakage (deforestation shifting elsewhere) grows over time.  After one year, leakage offsets 2–3% of reductions; after a decade, it offsets about 10% because of agricultural intensification and migration.  The results highlight the importance of considering general equilibrium effects in conservation planning."
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Caroline Chuard; Harsha Thirumurthy; Anya Ziswiler; Owen O’Donnell; Günther Fink,2022,Chuard et al. 2022,"The authors compare a dynamic epidemiological model, based on susceptible–infected–recovered (SIR) dynamics, with reduced‑form econometric approaches to assess the long‑term human capital impacts of measles elimination.  The epidemiological model predicts outbreaks but shows that infection shares are not systematically related to later educational, economic or health outcomes.  Reduced‑form methods using pre‑vaccine mortality reveal long‑term improvements, suggesting that disease severity matters more than infection rates."
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Lee Crawfurd; Youdi Schipper; Elizabeth Tofaris; Jamie O’Connell,2023,Crawfurd et al. 2023,"A systematic review and meta‑analysis examines how blood lead levels relate to learning outcomes.  Adjusting for confounding and publication bias, the preferred estimate indicates that a one‑unit log increase in blood lead reduces learning by about 0.12 standard deviations.  Targeted interventions for highly exposed groups could improve learning by around 0.1 standard deviations; broad campaigns yield much smaller gains.  The estimate accounts for a sizeable share of the gap between rich and poor countries."
Artificial Intelligence and Economic Growth,Philippe Aghion; Benjamin F. Jones; Charles I. Jones,2017,Aghion et al. 2017,"The authors model artificial intelligence as a general‑purpose technology that automates tasks traditionally performed by humans.  They examine how AI affects economic growth depending on whether it complements or substitutes for human labour.  AI that substitutes for labour tends to reduce human employment and wages, while AI that complements human skills can raise growth by enabling new tasks.  The framework highlights the importance of policy and innovation to ensure that AI augments rather than displaces human workers."
Long‑Term Cost‑Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,David Denkenberger; Anders Sandberg; Ross Tieman; Joshua M. Pearce,2022,Denkenberger et al. 2022,"Monte Carlo models compare the cost‑effectiveness of funding research into resilient foods (such as mushrooms and microbial proteins that can be scaled during global catastrophes) versus investing in artificial general intelligence (AGI) safety.  The analysis suggests a roughly 84–98% probability that spending on resilient foods yields higher expected value than AGI safety for the 100‑millionth dollar.  However, uncertainties about the magnitude of risks and food production capabilities reduce overall confidence, indicating both areas merit investment."
Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana,Nathan Barker; Gharad T. Bryan; Dean Karlan; Angela Ofori‑Atta; Christopher R. Udry,2021,Barker et al. 2021,"A randomised controlled trial provided cognitive behavioural therapy (CBT) to poor households in rural Ghana.  Two to three months after treatment, participants exhibited large improvements in mental and physical health, cognitive and socioemotional skills, and economic outcomes compared to controls.  The benefits accrued even among those without baseline distress, suggesting that mental health therapy can enhance human capital in low‑income settings."
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well‑being,Johannes Haushofer; Robert Mudida; Jeremy P. Shapiro,2020,Haushofer et al. 2020,"In rural Kenya, a large cash transfer and a five‑week psychotherapy program were randomized individually and jointly among poor households.  Cash transfers increased consumption, assets, revenues and psychological wellbeing.  The psychotherapy program alone had no measurable effects on any outcomes.  Combining cash with therapy produced similar results to cash alone, suggesting that cash transfers dominate short‑term psychotherapy in this context."
Advance Market Commitments: Insights from Theory and Experience,Michael Kremer; Jonathan D. Levin; Christopher M. Snyder,2020,Kremer et al. 2020,"Donor governments pledged $1.5 billion to pilot an advance market commitment (AMC) for pneumococcal conjugate vaccines.  The AMC induced pharmaceutical firms to develop three vaccines that have immunised more than 150 million children worldwide.  The paper reviews the economic logic of AMCs, discusses design choices in the pilot, and outlines potential extensions to other global health challenges.  It concludes that AMCs can accelerate vaccine development when well designed and funded."
Banning wildlife trade can boost demand for unregulated threatened species,Takahiro Kubo; Taro Mieno; Shinya Uryu; Saeko Terada; Diogo Veríssimo,2025,Kubo et al. 2025,"Using an 11‑year dataset from an online pet market, the authors apply a synthetic difference‑in‑differences approach to examine the consequences of wildlife trade bans.  They find that bans on three threatened species in Japan unexpectedly increased trade in non‑banned substitute species.  The spillover persisted for more than a year for some species, highlighting the need for consumer research and monitoring of trade in non‑target species following bans."
The Environmental Effects of Economic Production: Evidence from Ecological Observations,Yuanning Liang; Ivan Rudik; Eric Zou,2024,Liang et al. 2024,"A novel dataset of ecological sampling spanning 1960–2015 is linked to local economic production shocks.  Increases in economic production reduce species abundance, diversity and ecological stability; roughly one‑third of the decline is due to local air pollution.  Environmental regulations mitigate these effects.  The study quantifies biodiversity losses associated with industrial activity and underscores the importance of regulating pollution to protect ecosystems."
The Governance of Non‑Profits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo,Anicet A. Fangwa; Caroline Flammer; Marieke Huysentruyt; Bertrand V. Quelin,2024,Fangwa et al. 2024,"In a randomised trial with healthcare centres in the Democratic Republic of Congo, the authors compare performance‑based financing with and without a governance programme that emphasises auditing and feedback.  Centres receiving the governance intervention improved operating efficiency and patient health outcomes, whereas financing alone increased scale but not efficiency or outcomes.  The study demonstrates that governance reforms can enhance the social impact of non‑profit organisations."
Effects of Emigration on Rural Labor Markets,Agha Ali Akram; Shyamal Chowdhury; Ahmed Mushfiq Mobarak,2017,Akram et al. 2017,"A randomised transport subsidy encouraged potential seasonal migrants in rural Bangladesh to seek work in urban areas.  The subsidy increased migration from 35% to 65%, boosting migrants’ income and raising village labour demand.  Male agricultural wages increased by 4.5–6.6%, and village hours worked rose by 11–14%.  Food prices rose modestly, primarily for protein, but fell for non‑tradable prepared foods.  Seasonal migration subsidies thus deliver large direct and spillover benefits."
Legalizing Entrepreneurship,Dany Bahar; Bo Cowgill; Jorge Guzman,2023,Bahar et al. 2023,"The study exploits a 2018 policy in Colombia that granted Venezuelan migrants a pathway to legal residency.  Using administrative data on firms and a regression discontinuity design, the authors find that migrants who received legal status increased economic activity and entrepreneurship by as much as a factor of twelve within four years, reaching parity with native Colombians.  The paper illustrates that legalising immigrants can have large positive effects on entrepreneurship."
