doi,title,abstract,authors,author_affiliations,funding
10.3386/w31208,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,"Angrist, Noam | Ainomugisha, Micheal | Bathena, Sai Pramod | Bergman, Peter | Crossley, Colin | Cullen, Claire | Letsomo, Thato | Matsheng, Moitshepi | Panti, Rene Marlon | Sabarwal, Shwetlena | Sullivan, Tim",|  |  |  |  |  |  |  |  |  |,
10.3386/w32093,Maternal Cash Transfers for Gender Equity and Child Development: Experimental Evidence from India,,"Weaver, Jeffrey | Sukhtankar, Sandip | Niehaus, Paul | Muralidharan, Karthik",|  |  |,
10.3386/w31409,Choose Your Moments: Peer Review and Scientific Risk Taking,,"Carson, Richard | Zivin, Joshua S. Graff | Shrader, Jeffrey",|  |,
10.1257/aeri.20210612,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress,"We study the impact of group-based cognitive behavioral therapy (CBT ) for individuals selected from the general population of poor households in rural Ghana (N = 7,227). Results from one to three months after the program show strong impacts on mental and perceived physical health, cognitive and socioemotional skills, and economic self-perceptions. These effects hold regardless of baseline mental distress. We argue that this is because CBT can improve well-being for a general population of poor individuals through two pathways: reducing vulnerability to deteriorating mental health and directly increasing cognitive capacity and socioemotional skills. (JEL D12, I12, I15, I31, I32, O12, O18)","Barker, Nathan | Bryan, Gharad | Karlan, Dean | Ofori-Atta, Angela | Udry, Christopher","University of Chicago (email: ) | London School of Economics (email: ) | Northwestern University, CEPR, NBER, IPA, and J-PAL (email: ) | University of Ghana Medical School (email: ) | Northwestern University, CEPR, NBER, and J-PAL (email: )",
10.1287/mnsc.2020.00596,Does Online Fundraising Increase Charitable Giving? A Nationwide Field Experiment on Facebook,"Does online fundraising increase charitable giving? Using the Facebook advertising tool, we implemented a natural field experiment across Germany, randomly assigning almost 8,000 postal codes to Save the Children fundraising videos or to a pure control. We studied changes in the donation revenue and frequency for Save the Children and other charities by postal code. Our geo-randomized design circumvented many difficulties inherent in studies based on click-through data, especially substitution and measurement issues. We found that (i) video fundraising increased donation revenue and frequency to Save the Children during the campaign and in the subsequent five weeks, that (ii) the campaign was profitable for the fundraiser, and that (iii) the effects were similar independent of video content and impression assignment strategy. However, we also found some crowding out of donations to other similar charities or projects. Finally, we demonstrated that click data may be an inappropriate proxy for donations and recommend that managers use careful experimental designs that can plausibly evaluate the effects of advertising on relevant outcomes. This paper was accepted by Yan Chen, behavioral economics and decision analysis. Funding: M. Adena acknowledges financial support from the Deutsche Forschungsgemeinschaft [Grants 417014946 and CRC TRR 190 (Project 280092119)]. Supplemental Material: The online appendix and data files are available at https://doi.org/10.1287/mnsc.2020.00596 .","Adena, Maja | Hager, Anselm","Research Area Markets and Choice, WZB Berlin Social Science Center, D-10785 Berlin, Germany | Department of Social Sciences, Humboldt University of Berlin, 10117 Berlin, Germany",
10.1257/aer.20221215,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,"We conducted a nationwide field experiment in China to evaluate the direct and indirect impacts of assigning firms to public or private citizen appeals when they violate pollution standards. There are three main findings. First, public appeals to the regulator through social media substantially reduce violations and pollution emissions, while private appeals cause more modest environmental improvements. Second, public appeals appear to tilt regulators’ focus away from facilitating economic growth and toward avoiding pollution-induced public unrest. Third, pollution reductions by treated firms are not offset by control firms, based on randomly varying the proportion of treated firms at the prefecture level. (JEL D22, L82, P28, P31, Q52, Q53, Q58)","Buntaine, Mark T. | Greenstone, Michael | He, Guojun | Liu, Mengdi | Wang, Shaoda | Zhang, Bing","University of California, Santa Barbara (email: ) | University of Chicago and NBER (email: ) | University of Hong Kong (email: ) | University of International Business and Economics (email: ) | University of Chicago and NBER (email: ) | Nanjing University of Finance and Economics and Nanjing University (email: )",
10.3386/w30202,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,,"Chuard, Caroline | Schwandt, Hannes | Becker, Alexander | Haraguchi, Masahiko",|  |  |,
10.1007/978-3-031-64315-6_34,Effective and Scalable Math Support: Experimental Evidence on the Impact of an AI-Math Tutor in Ghana,,"Henkel, Owen | Horne-Robinson, Hannah | Kozhakhmetova, Nessie | Lee, Amanda",|  |  |,
10.3386/w23929,Effects of Emigration on Rural Labor Markets,,"Akram, Agha Ali | Chowdhury, Shyamal | Mobarak, Ahmed Mushfiq",|  |,
10.3386/w32073,"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,"Bénabou, Roland | Falk, Armin | Henkel, Luca",|  |,
10.21203/rs.3.rs-3235955/v1,The global potential for natural regeneration in deforested tropical regions,"Abstract Extensive forest restoration is a key strategy to meet nature-based sustainable development goals and provide multiple social and environmental benefits. Yet achieving forest restoration at scale requires cost-effective methods. Tree planting in degraded landscapes is a popular but costly forest restoration method, which often results in less biodiverse forests when compared to natural regeneration techniques under similar conditions. Here, we assess the current spatial distribution of pantropical natural forest (from 2000-2016) and use this information to present the first model of the potential for natural regeneration across tropical forested countries and biomes at 30-meter spatial resolution. We estimate that 215 million hectares - an area greater than the entire country of Mexico - have potential for natural forest regeneration, representing an above-ground carbon sequestration potential of 23.4 Gt CO2 (range 21.1-25.7 Gt) over 30 years. Five countries (Brazil, Indonesia, China, Mexico, and Colombia) account for 52% of this estimated potential, showcasing the need for targeting restoration initiatives that leverage natural regeneration potential. Our results facilitate broader equitable decision-making processes that capitalise on the widespread opportunity for natural regeneration to help achieve national and global environmental agendas.","Williams, Brooke | Beyer, Hawthorne | Fagan, Matthew | Chazdon, Robin | Schmoeller, Marina | Sprenkle-Hyppolite, Starry | Griscom, Bronson | Watson, James | Tedesco, Anazélia | Gonzalez-Roglich, Mariano | Daldegan, Gabriel | Bodin, Blaise | Celentano, Danielle | Wilson, Sarah | Alexandre, Nikola | Kim, Do-Hyung | Bastos, Diego Bastos | Crouzeilles, Renato","University of Queensland | The University of Queensland | University of Maryland Baltimore County | University of Connnecticut | Institute for Capacity Exchange in Environmental Decisions | Conservation International | Conservation International | University of Queensland | Institute for Capacity Exchange in Environmental Decisions | Conservation International | Conservation International | Institute for Capacity Exchange in Environmental Decisions | Instituto Socioambiental | PARTNERS Reforestation Network, Department of Ecology and Evolutionary Sciences, University of Connecticut | Conservation International | Shelterwood Collective | Institute for Capacity Exchange in Environmental Decisions | Institute for Capacity Exchange in Environmental Decisions",
10.2139/ssrn.4154000,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,"Jaroszewicz, Ania | Jachimowicz, Jon | Hauser, Oliver | Jamison, Julian",|  |  |,
10.1093/wbro/lkae010,The Effect of Lead Exposure on Children’s Learning in the Developing World: A Meta-Analysis,"Abstract Around half of children in low-income countries have elevated blood-lead levels. What role does lead play in explaining low educational outcomes in these settings? We conduct a new systematic review and meta-analysis of observational studies on the relationship between lead exposure and learning outcomes. Adjusting for observable confounds and publication bias yields a benchmark estimate of a $-0.12$ standard-deviation reduction in learning per natural log unit of blood lead. As all estimates are non-experimental, we present evidence on the likely magnitude of unobserved confounding, and summarize results from a smaller set of natural experiments. Our benchmark estimate accounts for over a fifth of the gap in learning outcomes between rich and poor countries, and implies moderate learning gains from targeted interventions for highly exposed groups ($\approx$ 0.1 standard deviations) and modest learning gains ($\lt 0.05$ standard deviations) from broader public health campaigns.","Crawfurd, Lee | Todd, Rory | Hares, Susannah | Sandefur, Justin | Bonnifield, Rachel Silverman","Center for Global Development, Great Peter House , Abbey Gardens, Great College St, London SW1P 3SE , | Center for Global Development, Great Peter House , Abbey Gardens, Great College St, London SW1P 3SE , | Center for Global Development, Great Peter House , Abbey Gardens, Great College St, London SW1P 3SE , | Center for Global Development, Great Peter House , Abbey Gardens, Great College St, London SW1P 3SE , | Center for Global Development, Great Peter House , Abbey Gardens, Great College St, London SW1P 3SE ,",Givewell | Effective Altruism Global Health and Development Fund
10.3386/w31162,Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey,,"Walker, Michael | Huang, Alice | Asman, Suleiman | Baird, Sarah | Fernald, Lia | Hicks, Joan Hamory | de la Guardia, Fernando Hoces | Koiso, Satoshi | Kremer, Michael | Krupoff, Matthew | Layvant, Michelle | Ochieng, Eric | Suri, Pooja | Miguel, Edward",|  |  |  |  |  |  |  |  |  |  |  |  |,
10.3386/w30624,Legalizing Entrepreneurship,,"Bahar, Dany | Cowgill, Bo | Guzman, Jorge",|  |,
10.1016/j.ijdrr.2022.102798,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,"Denkenberger, David | Sandberg, Anders | Tieman, Ross John | Pearce, Joshua M.",|  |  |,
10.1016/j.jhealeco.2025.102972,Long-term impacts of growth and development monitoring: Evidence from routine health examinations in early childhood,,"Liang, Yinhe | Peng, Xiaobo | Sun, Meiping Aggie",|  |,National Natural Science Foundation of China [awards: 72004245]
10.31219/osf.io/q6xyr,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,"Which interventions produce the largest and most enduring reductions in consumption of meat and animal products (MAP)? We address this question with a theoretical review and meta-analysis of randomized controlled trials that measured MAP consumption at least one day after intervention. We meta-analyze 35 papers comprising 41 studies, 112 interventions, and approximately 87,000 subjects. We find that these papers employ four major strategies to change behavior: choice architecture, persuasion, psychology, and a combination of persuasion and psychology. The pooled effect of all 112 interventions on MAP consumption is quite small (standardized mean difference (SMD) = 0.07 (95\% CI: [0.02, 0.12]), indicating an unsolved problem. Interventions aiming to reduce only consumption of red and processed meat were more effective (SMD = 0.25; 95\% CI: [0.11, 0.38]), but it remains unclear whether such interventions also decrease consumption of other forms of MAP. We conclude that while existing approaches do not provide a proven remedy to MAP consumption, designs and measurement strategies have generally been improving over time, and many promising interventions await rigorous evaluation.","Green, Seth Ariel | Smith, Austin | Mathur, Maya B",|  |,
10.3386/w33018,Misperceptions and Demand for Democracy under Authoritarianism,,"Acemoglu, Daron | Aksoy, Cevat Giray | Baysan, Ceren | Molina, Carlos | Zeki, Gamze",|  |  |  |,
10.1257/aeri.20230431,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,"We test whether payments for ecosystem services (PES) can curb the highly polluting practice of crop residue burning in India. Standard PES contracts pay participants after verification that they met a proenvironment condition (clearing fields without burning). We randomize paying a portion of the money up front and unconditionally to address liquidity constraints and farmer distrust, which may undermine the standard contract’s effectiveness. Incorporating partial up-front payment into the contract increases compliance by 10 percentage points, which is corroborated by satellite-based burning measurements. The cost per life saved is $3,600–$5,400. The standard PES contract has no effect on burning. (JEL D86, O13, Q12, Q15, Q18, Q53, Q58)","Jack, B. Kelsey | Jayachandran, Seema | Kala, Namrata | Pande, Rohini","Department of Economics, UC Santa Barbara (email: ) | Department of Economics, Princeton University (email: ) | MIT Sloan School of Management (email: ) | Department of Economics, Yale University (email: )",
10.1177/19485506221101767,Moral Expansiveness Around the World: The Role of Societal Factors Across 36 Countries,"What are the things that we think matter morally, and how do societal factors influence this? To date, research has explored several individual-level and historical factors that influence the size of our ‘moral circles.' There has, however, been less attention focused on which societal factors play a role. We present the first multi-national exploration of moral expansiveness—that is, the size of people’s moral circles across countries. We found low generalized trust, greater perceptions of a breakdown in the social fabric of society, and greater perceived economic inequality were associated with smaller moral circles. Generalized trust also helped explain the effects of perceived inequality on lower levels of moral inclusiveness. Other inequality indicators (i.e., Gini coefficients) were, however, unrelated to moral expansiveness. These findings suggest that societal factors, especially those associated with generalized trust, may influence the size of our moral circles.","Kirkland, Kelly | Crimston, Charlie R. | Jetten, Jolanda | Rudnev, Maksim | Acevedo-Triana, Cesar | Amiot, Catherine E. | Ausmees, Liisi | Baguma, Peter | Barry, Oumar | Becker, Maja | Bilewicz, Michal | Boonyasiriwat, Watcharaporn | Castelain, Thomas | Costantini, Giulio | Dimdins, Girts | Espinosa, Agustín | Finchilescu, Gillian | Fischer, Ronald | Friese, Malte | Gastardo-Conaco, Maria Cecilia | Gómez, Ángel | González, Roberto | Goto, Nobuhiko | Halama, Peter | Jiga-Boy, Gabriela M. | Kuppens, Peter | Loughnan, Steve | Markovik, Marijana | Mastor, Khairul A. | McLatchie, Neil | Novak, Lindsay M. | Onyekachi, Blessing N. | Peker, Müjde | Rizwan, Muhammad | Schaller, Mark | Suh, Eunkook M. | Talaifar, Sanaz | Tong, Eddie M. W. | Torres, Ana | Turner, Rhiannon N. | Van Lange, Paul A. M. | Vauclair, Christin-Melanie | Vinogradov, Alexander | Wang, Zhechen | Yeung, Victoria Wai Lan | Bastian, Brock","The University of Melbourne, Victoria, Australia | The University of Queensland, Brisbane, Australia | The University of Queensland, Brisbane, Australia | HSE University, Moscow, Russia | Universidad Pedagógica y Tecnológica de Colombia, Tunja, Colombia | Université du Québec à Montréal, Canada | University of Tartu, Estonia | Makerere University, Kampala, Uganda | Cheikh Anta Diop University, Dakar, Senegal | Université de Toulouse, CNRS, France | University of Warsaw, Poland | Chulalongkorn University, Bangkok, Thailand | Serra Húnter Fellow, University of Girona, Girona,Spain | University of Milano-Bicocca, Italy | University of Latvia, Riga, Latvia | Pontifical Catholic University of Peru, Lima, Peru | University of the Witwatersrand, Johannesburg, South Africa | Victoria University of Wellington, New Zealand | Saarland University, Saarbrücken, Germany | University of the Philippines Diliman, Quezon City, Philippines | Universidad Nacional de Educación a Distancia (UNED), Madrid, Spain | Pontificia Universidad Católica de Chile, Santiago, Chile | Hitotsubashi University, Japan | Slovak Academy of Sciences, Bratislava, Slovakia | Swansea University, Wales | KU Leuven, Belgium | The University of Edinburgh, Scotland | Ss. Cyril and Methodius University in Skopje, Macedonia | Universiti Kebangsaan Malaysia, Bangi, Malaysia | Lancaster University, UK | University of Illinois Chicago, USA | University of Nigeria, Nsukka, Nigeria | MEF University, Istanbul, Turkey | The University of Haripur, Pakistan | The University of British Columbia, Vancouver, Canada | Yonsei University, Seoul, South Korea | Stanford University, CA, USA | National University of Singapore, Singapore | Universidade Federal da Paraíba, João Pessoa, Brazil | Queens University Belfast, Northern Ireland | Vrije Universiteit Amsterdam, The Netherlands | Instituto Universitário de Lisboa (ISCTE-IUL), CIS-IUL, Lisboa, Portugal | Taras Shevchenko National University of Kyiv, Ukraine | Fudan University, Shanghai, China | Lingnan University, Hong Kong, China | The University of Melbourne, Victoria, Australia",Center for Intercultural and Indigenous Research [awards: ANID/FONDAP 15110006] | Center for Social Conflict and Cohesion Studies [awards: ANID/FONDAL 15130009] | Japan Society for the Promotion of Science [awards: 19KK0063] | Basic Research Program at the National Research University Higher School of Economics | Australian Research Council [awards: DP200101446] | Polish National Science Center Grant Sonata Bis [awards: UMO-2017/26/E/HS6/00129]
10.2139/ssrn.4899765,Observational Price Variation in Scanner Data Cannot Reproduce Experimental Price Elasticities,,"Bray, Robert | Sanders, Robert Evan | Stamatopoulos, Ioannis",|  |,
10.3386/w31272,Pharmaceutical Pricing and R&amp;D as a Global Public Good,,"Frech, H. | Pauly, Mark | Comanor, William | Martinez, Joseph",|  |  |,
10.1016/j.cognition.2021.104941,Population ethical intuitions,,"Caviola, Lucius | Althaus, David | Mogensen, Andreas L. | Goodwin, Geoffrey P.",|  |  |,
10.1016/j.labeco.2025.102731,Robots for economic development,,"Calì, Massimiliano | Presidente, Giorgio",|,
10.3386/w28726,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,"Banerjee, Abhijit | Chandrasekhar, Arun | Dalpath, Suresh | Duflo, Esther | Floretta, John | Jackson, Matthew | Kannan, Harini | Loza, Francine | Sankar, Anirudh | Schrimpf, Anna | Shrestha, Maheshwor",|  |  |  |  |  |  |  |  |  |,
10.3386/w26752,Stagnation and Scientific Incentives,,"Bhattacharya, Jay | Packalen, Mikko",|,
10.1080/21606544.2022.2138980,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,,"Bruers, Stijn","Department of Economics, KULeuven, Leuven, Belgium",
10.3386/w31354,The Benefits and Costs of Guest Worker Programs: Experimental Evidence from the India-UAE Migration Corridor,,"Naidu, Suresh | Nyarko, Yaw | Wang, Shing-Yi",|  |,
10.3386/w28106,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,"Haushofer, Johannes | Mudida, Robert | Shapiro, Jeremy",|  |,
10.3386/w31899,The Effect of Public Science on Corporate R&amp;D,,"Arora, Ashish | Belenzon, Sharon | Cioaca, Larisa | Sheer, Lia | Zhang, Hansen",|  |  |  |,
10.3386/w29357,Economic Activity and Biodiversity in the United States,,"Liang, Yuanning | Rudik, Ivan | Zou, Eric",|  |,
10.1287/mnsc.2023.4846,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo,"Substantial funding is provided to the healthcare systems of low-income countries. However, an important challenge is to ensure that this funding is used efficiently. This challenge is complicated by the fact that a large share of healthcare services in low-income countries is provided by nonprofit health centers that often lack (i) effective governance structures and (ii) organizational know-how and adequate training. In this paper, we argue that the bundling of performance-based incentives with auditing and feedback (A&amp;F) is a potential way to overcome these obstacles. First, the combination of feedback and performance-based incentives—that is, feedback joined with incentives to act on this feedback and achieve specific health outcomes—helps address the knowledge gap that may otherwise undermine performance-based incentives. Second, coupling feedback with auditing helps ensure that the information underlying the feedback is reliable—a prerequisite for effective feedback. To examine the effectiveness of this bundle, we use data from a randomized governance program conducted in the Democratic Republic of Congo. Within the program, a set of health centers was randomly assigned to a “governance treatment” that consisted of performance-based incentives combined with A&amp;F, whereas others were not. Consistent with our prediction, we find that the governance treatment led to (i) higher operating efficiency and (ii) improvements in health outcomes. Furthermore, we find that funding is not a substitute for the governance treatment; health centers that only receive funding increase their scale but do not show improvements in operating efficiency or health outcomes. This paper was accepted by Lamar Pierce, organizations. Funding: This research was supported by the Agence Nationale de la Recherche [Grant Investissements d’Avenir (LabEx Ecodec)]. Supplemental Material: The data files and online appendix are available at https://doi.org/10.1287/mnsc.2023.4846 .","Fangwa, Anicet A. | Flammer, Caroline | Huysentruyt, Marieke | Quélin, Bertrand V.","Desautels Faculty of Management, McGill University, Montreal, Quebec H3A 1G5, Canada; | School of International and Public Affairs, Columbia Climate School, and Columbia Business School, Columbia University, New York, New York 10027;; National Bureau of Economic Research (NBER), Cambridge, Massachusetts 02138;; European Corporate Governance Institute (ECGI), 1000 Brussels, Belgium; | École des hautes études commerciales de Paris (HEC Paris), 78350 Jouy-en-Josas, France | École des hautes études commerciales de Paris (HEC Paris), 78350 Jouy-en-Josas, France",
10.3386/w30011,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,"Bhat, Bhargav | de Quidt, Jonathan | Haushofer, Johannes | Patel, Vikram | Rao, Gautam | Schilbach, Frank | Vautrey, Pierre-Luc",|  |  |  |  |  |,
10.3386/w32450,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature,,"Bilal, Adrien | Känzig, Diego",|,
10.48550/arXiv.2312.14289,,,,,
10.48550/arXiv.2305.07153,,,,,
10.3386/w32033,Uncertainty and Individual Discretion in Allocating Research Funds,,"Goldstein, Anna | Kearney, Michael",|,
10.3386/w31554,Urban Forests: Environmental Health Values and Risks,,"Xing, Jianwei | Hu, Zhiren | Xia, Fan | Xu, Jintao | Zou, Eric",|  |  |  |,
10.3386/w30835,Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,"Kremer, Michael | Luby, Stephen | Maertens, Ricardo | Tan, Brandon | Więcek, Witold",|  |  |  |,
10.1093/ej/uead102,Do Celebrity Endorsements Matter? A Twitter Experiment Promoting Vaccination in Indonesia,"Abstract Do celebrity endorsements matter? And if so, how can celebrities communicate effectively? We conduct a nationwide Twitter experiment in Indonesia promoting vaccination. Celebrity messages are 72% more likely to be passed on or liked than similar messages without a celebrity’s imprimatur. In total, 66% of the celebrity effect comes from authorship, compared to passing on messages. Citing external medical sources decreases retweets by 27%. Phone surveys show that those randomly exposed to messaging have fewer incorrect beliefs and report more vaccination among friends and neighbours. The results can inform public health campaigns and celebrity public service more generally.","Alatas, Vivi | Chandrasekhar, Arun G | Mobius, Markus | Olken, Benjamin A | Paladines, Cindy","Asa Kreativita , Indonesia | Stanford University, NBER & J-PAL , USA | Microsoft Research , USA | Massachusetts Institute of Technology, NBER & J-PAL , USA | TCW , USA","Department of Foreign Affairs and Trade, Australian Government"
10.3386/w30740,"When do ""Nudges"" Increase Welfare?",,"Allcott, Hunt | Cohen, Daniel | Morrison, William | Taubinsky, Dmitry",|  |  |,
10.2139/ssrn.3938994,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,"Epperson, Raphael | Gerster, Andreas",|,
10.3386/w31663,"Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic Development",,"Bergeron, Augustin | Carvalho, Jean-Paul | Henrich, Joseph | Nunn, Nathan | Weigel, Jonathan",|  |  |  |,
