label_paper_title,authors,author_date,Abstract,research_url,doi,Funded by,N Referenced by,Deposit date (DOI),Journal publication title,doi_authors,publication_date_unjournal,Updated since UJ report -- manual confirmation,deposit date > unjournal pub date,doi_eval_summary
Banning wildlife trade can boost demand for unregulated threatened species,"Takahiro Kubo,Taro Mieno,Shinya Uryu,Saeko Terada,Diogo Veríssimo","Kubo et al., 2025","Regulations on the harvest and use of natural resources 

might have unintended spillover impacts 

4

beyond the policy targets. Banning wildlife trade is an immediate measure to protect species from 

5

overexploitation.  However,  few 

causal  inference 

studies  have  investigated  the  consequences  of 

6

wildlife  trade bans. We use the synthetic difference

-

in

-

differences approach  to causal inference 

7

based on a 10

-

year online auction dataset to explore whether trade bans on three threatened species 

8

in Japan

–

giant water bugs

, 

Tokyo salamanders

, and 

golden venus 

chub

–

have spillover impacts on 

9

trades of substitutable non

-

banned species. We find conservation

side effects

of wildlife trade bans, 

10

leading  to  an  increase  in  trade  volume  of  non

-

banned  species

in  each  taxon. 

Our  results  raise 

11

concerns about the unintended consequences of trade bans and restate the importance of further 

12

efforts

concerning

consumer  research,  monitoring  and  enforcement  beyond  the  target  species, 

13

while minimizing costs by applying 

machine learning 

technologies and enhancing  international 

14

cooperation


",https://osf.io/preprints/socarxiv/s6gwu/,https://doi.org/10.1111/conl.13077,,9,2/26/2025,Conservation Letters,Takahiro Kubo; Taro Mieno; Shinya Uryu; Saeko Terada; Diogo Veríssimo,5/24/2023,false,true,
Biodiversity risk,"Stefano Giglio,Theresa Kuchler,Johannes Stroebel,Xuran Zeng,","Giglio et al., 2023","We explore the effects of physical and regulatory risks related to biodiversity loss on asset values. We first develop a news-based measure of aggregate biodiversity risk and analyze how it varies over time. We also construct and publicly release several firm- and industry-level measures of exposure to biodiversity risk, based on textual analyses of firms' 10-K statements; the holdings of biodiversity-related funds; firms' responses to a questionnaire fielded by CDP; and a large survey of finance professionals, regulators, and academics. Exposures to biodiversity risk vary substantially across industries in a way that is economically sensible and distinct from exposures to climate risk. We find evidence that biodiversity risks already affect equity prices: returns of portfolios that are sorted on our measures of biodiversity risk exposure covary positively with innovations in aggregate biodiversity risk. However, our survey indicates that market participants do not perceive the current pricing of biodiversity risks in equity markets to be adequate.


",https://www.biodiversityrisk.org/,https://doi.org/10.3386/w31137,,95,5/16/2023,WP,Stefano Giglio; Theresa Kuchler; Johannes Stroebel; Xuran Zeng,8/26/2024,false,false,https://doi.org/10.21428/d28e8e57.a8ca23ad
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,"Noam Angrist,Micheal Ainomugisha,Sai Pramod Bathena,Peter Bergman,Colin Crossley,Claire Cullen,Thato Letsomo,Moitshepi Matsheng,Rene Marlon Panti,Shwetlena Sabarwal,Tim Sullivan","Angrist et al., 2025","Education systems need to withstand frequent shocks, including conflict, disease, natural disasters, and climate events, all of which routinely close schools. During these emergencies, alternative models are needed to deliver education. However, rigorous evaluation of effective educational approaches in these settings is challenging and rare, especially across multiple countries. We present results from large-scale randomized trials evaluating the provision of education in emergency settings across five countries: India, Kenya, Nepal, Philippines, and Uganda. We test multiple scalable models of remote instruction for primary school children during COVID-19, which disrupted education for over 1 billion schoolchildren worldwide. Despite heterogeneous contexts, results show that the effectiveness of phone call tutorials can scale across contexts. We find consistently large and robust effect sizes on learning, with average effects of 0.30-0.35 standard deviations. These effects are highly cost-effective, delivering up to four years of high-quality instruction per $100 spent, ranking in the top percentile of education programs and policies. In a subset of trials, we randomized whether the intervention was provided by NGO instructors or government teachers. Results show similar effects, indicating scalability within government systems. These results reveal it is possible to strengthen the resilience of education systems, enabling education provision amidst disruptions, and to deliver cost-effective learning gains across contexts and with governments.",https://static1.squarespace.com/static/60d0c05ace34212ef5a1131b/t/645a72201a2a280635acb739/1683649057454/Angrist_Ainomugisha_Bathena_Bergman_et-al_Building-Resilient-Education-Systems_2023.pdf,doi.org/10.3386/w31208,"Funding partners include UBS Optimus Foundation, Mulago Foundation, Douglas B. Marshall Foundation, Echidna Giving, Stavros Niarchos Foundation, Jacobs Foundation, JPAL Innovation in Government Initiative, Northwestern’s ‘Economics of Nonprofits’ class, the Peter Cundill Foundation, and the World Bank. Cullen received funding from the UKRI GCRF & Oxford’s OPEN Fellowship",13,7/7/2025,WP,Noam Angrist; Micheal Ainomugisha; Sai Pramod Bathena; Peter Bergman; Colin Crossley; Claire Cullen; Thato Letsomo; Moitshepi Matsheng; Rene Marlon Panti; Shwetlena Sabarwal; Tim Sullivan,12/2/2024,false,true,
Cash Transfers for Child Development: Experimental Evidence from India,"Jeffrey Weaver,Sandip Sukhtankar,Paul Niehaus &Karthik Muralidharan ","Weaver et al., 2025","Cash transfer programs to women in India now reach over 130 million beneficiaries at an annual cost of 0.6% of GDP, yet evidence on their effects remains limited. We study the impact of unconditional transfers to new mothers in India using a large-scale randomized evaluation. Treated households saw a 9.6–15.5% increase in calorie intake for mothers and children, along with gains in dietary diversity and nutrient consumption. Gender disparities in food consumption narrowed. We find significant gains in children’s functional development. While anthropometric indicators did not improve on average, they may have in areas with better sanitation.",https://www.nber.org/papers/w32093,https://doi.org/10.3386/w32093,"[Manual]: Bill and Melinda Gates
Foundation and the Cash Transfers for Child Health Initiative at the Abdul Latif Jameel Poverty
Action Lab for funding this study.",1,9/18/2025,,Jeffrey Weaver; Sandip Sukhtankar; Paul Niehaus; Karthik Muralidharan,9/16/2025,false,true,
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,"Richard T. Carson,Joshua S. Graff Zivin,Jeffrey G. Shrader","Carson et al., 2023","Science funding agencies are often criticized for being too conservative. One explanation is that agencies typically base decisions on a simple average of peer review scores. Using a discrete choice experiment conducted with a large sample of biomedical researchers, we find that scientists prefer to fund projects with more reviewer dissensus. In contrast to funding allocation rules that focus primarily on the first moment of the distribution of reviewer scores, they also value the second moment. Scientists with the greatest domain expertise are particularly enthusiastic about dissensus. Using scientists’ preferences changes funding decisions for projects worth billions of dollars annually. (JEL: O31,O32,O38)",https://jeffreyshrader.com/papers/choose_your_moments.pdf,https://doi.org/10.3386/w31409,,2,7/30/2023,WP,Richard Carson; Joshua S. Graff Zivin; Jeffrey Shrader,6/1/2025,false,false,
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,"Nathan Barker,Gharad T. Bryan,Dean Karlan,Angela Ofori-Atta,Christopher R. Udry","Barker et al., 2022","We study the impact of group-based cognitive behavioral therapy (CBT) for individuals selected from the general population of poor households in rural Ghana (N = 7,227). Results from one to three months after the program show strong impacts on mental and perceived physical health, cognitive and socioemotional skills, and economic self-perceptions. These effects hold regardless of baseline mental distress. We argue that this is because CBT can improve well-being for a general population of poor individuals through two pathways: reducing vulnerability to deteriorating mental health and directly increasing cognitive capacity and socioemotional skills.",https://www.aeaweb.org/articles?id=10.1257/aeri.20210612,http://doi.org/10.1257/aeri.20210612,,8,11/30/2022,American Economic Review: Insights,Nathan Barker; Gharad Bryan; Dean Karlan; Angela Ofori-Atta; Christopher Udry,4/7/2023,false,false,
Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,Digvijay Negi,"Abbink et al., 2025","Deadweight Losses or Gains from In-kind Transfers:Experimental EvidenceKlaus Abbink1, Gaurav Datt∗1, Lata Gangadharan1, Digvijay Negi2, and Bharat Ramaswami21Department of Economics, Monash University, Clayton VIC 3800, Australia2Department of Economics, Ashoka University, Rajiv Gandhi Education City, Sonipat 131029, IndiaMay 29, 2025AbstractAre in-kind transfers associated with deadweight losses? To answer this question, we con-ducted an incentivized field experiment in India, offering low-income respondents a choicebetween a free quantity of rice and varying amounts of cash to elicit their willingness to payfor rice. Contrary to standard economic theory, we find evidence of deadweight gain on aver-age, though with variation across respondents. We investigate potential explanations for thisresult, focusing on infra-marginality, commitment considerations and intra-household bar-gaining dynamics. Notably, we uncover a striking contrast: women in female-headed house-holds exhibit deadweight losses, while women in male-headed households experience dead-weight gains. Upon examining alternative explanations, our results highlight that greaterbargaining power of women within households increases the propensity to choose cash overrice",https://www.dropbox.com/scl/fi/q4ur1sx9p1wtzew7vxira/Manuscript-Cash_or_Kind-20May-2025.pdf?rlkey=o7fy9utxq7gfhpxk4wr58srit&dl=0,,,,,WP,,,false,false,
Does Conservation Work in General Equilibrium?,"Verónica Salazar Restrepo,Gabriel Leite Mariante","Restrepo and Mariante, 2021","Deforestation and the subsequent use of deforested land for agricultural activi-ties account for roughly 20% of the global CO2-equivalent emissions in the past twodecades. Despite the global scope of the consequences of deforestation, public policiesand private initiatives to reduce deforestation are often spatially targeted: they inten-sify environmental protection in specific ecosystems, making agricultural land scarcer.While potentially effective at a local level, their global effectiveness may be attenuatedin general equilibrium, due to resulting increases in the demand for agricultural landin non-targeted areas, i.e. deforestation leakage. To quantify leakage, we build a quan-titative spatial equilibrium model of the Brazilian economy where agricultural land isthe output of a costly process of deforestation, firms produce goods that are differen-tially land-demanding, and there is costly trade and migration. Our main findings arethat (i) targeting the regions with highest deforestation levels can be an effective toolto curb aggregate deforestation in Brazil, and (ii) leakage increases significantly whenconsidering a longer time-horizon. After one year, 2-3% of the deforestation reductionsare outdone by leakage. Simulating the model forward for 10 years, this number goesup to 10%. The relatively small leakage is driven by agricultural intensification, in-cluding more crop farming, increased worker and cattle density per pasture, and shiftsof production towards more productive regions",https://www.dropbox.com/scl/fi/0uv69awcp37tkaozdlmm7/ConservationGeneralEquilibrium_SalazarRestrepo_LeiteMariante_20240312.pdf?rlkey=9e2nx6h50xbaiji94tattvpsn&dl=0,,,,,WP,,7/22/2024,false,false,
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,"Adena, Maja,Hager, Anselm","Adena and Hager, 2025","Does online fundraising increase charitable giving? Using the Facebook advertising tool, we implemented a natural field experiment across Germany, randomly assigning almost 8,000 postal codes to Save the Children fundraising videos or to a pure control. We studied changes in the donation revenue and frequency for Save the Children and other charities by postal code. Our georandomized design circumvented many difficulties inherent in studies based on click-through data, especially substitution and measurement issues. We found that (i) video fundraising increased donation revenue and frequency to Save the Children during the campaign and in the subsequent five weeks; (ii) the campaign was profitable for the fundraiser; and (iii) the effects were similar independent of video content and impression assignment strategy. However, we also found some crowding out of donations to other similar charities or projects. Finally, we demonstrated that click data may be an inappropriate proxy for donations and recommend that managers use careful experimental designs that can plausibly evaluate the effects of advertising on relevant outcomes",https://bibliothek.wzb.eu/pdf/2024/ii20-302r2.pdf,https://doi.org/10.1287/mnsc.2020.00596,,2,4/14/2025,Management Science,Maja Adena; Anselm Hager,,false,false,
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,"Mark Buntaine,Michael Greenstone,Guojun He,Mengdi Liu,Shaoda Wang,Bing Zhang","Buntaine et al., 2024","We conducted a nationwide field experiment in China to evaluate the direct and indirect impacts of assigning firms to public or private citizen appeals when they violate pollution standards. There are three main findings. First, public appeals to the regulator through social media substantially reduce violations and pollution emissions, while private appeals cause more modest environmental improvements. Second, public appeals appear to tilt regulators’ focus away from facilitating economic growth and toward avoiding pollution-induced public unrest. Third, pollution reductions by treated firms are not offset by control firms, based on randomly varying the proportion of treatment firms at the prefecture-level.",https://bfi.uchicago.edu/wp-content/uploads/2022/10/BFI_WP_2022-135.pdf,10.1257/aer.20221215,,117,2/29/2024,American Economic Review,Mark T. Buntaine; Michael Greenstone; Guojun He; Mengdi Liu; Shaoda Wang; Bing Zhang,8/9/2023,false,true,https://doi.org/10.21428/d28e8e57.b9775e89
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,"Caroline Chuard,Hannes Schwandt,Alexander D. Becker,Masahiko Haraguchi","Chuard et al., 2022","A rich economic literature has examined the human capital impacts of disease-eliminating health interventions, such as the rollout of new vaccines. This literature is based on reduced-form approaches which exploit proxies for disease burden, such as mortality, instead of actual infection counts, which are difficult to measure. We develop an epidemiological dynamic accounting model based on the susceptible-infected-recovered (SIR) framework to derive precise measles infection shares across U.S. cohorts born around the introduction of the measles vaccine. Measles is highly infectious and fully immunizing which makes the disease an ideal candidate for epidemiological modeling. Our epidemiological model is strongly predictive of future measles outbreaks but the derived measles infection shares are not systematically related to cohorts' later educational, economic, or health outcomes. The reduced-form approach, on the other hand, shows that these long-term outcomes strongly improved among vaccinated cohorts in states with high pre-vaccine measles mortality. Our results suggest that differences in disease severity are more relevant for long-term human capital impacts than raw differences in actual infection rates, supporting the reduced-form approach used in the economic literature.",https://www.nber.org/papers/w30202,https://doi.org/10.3386/w30202,,0,8/2/2022,WP,Caroline Chuard; Hannes Schwandt; Alexander Becker; Masahiko Haraguchi,7/16/2024,false,false,https://doi.org/10.21428/d28e8e57.a8ee3da5
Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,"Owen Henkel,Hannah Horne-Robinson,Nessie Kozhakhmetova,Amanda Lee ","Henkel et al., 2024","This study is a preliminary evaluation of the impact of receiving extra math instruction provided by Rori, an AI-powered math tutor accessible via WhatsApp, on the math performance of approximately 500 students in Ghana. Students assigned to both the control and treatment groups continued their normal classes with identical curricula and classroom hours. Students in the treatment group were given access to a phone for one hour a week – during their study hall period – and were allowed to use Rori to independently study math. All other aspects of the groups’ in-school experience were the same. We find that the math growth scores were substantially higher for the treatment group and statistically significant (p < 0.001). The effect size of 0.36 is considered large in the context of educational interventions: approximately equivalent to an extra year of learning. Importantly, Rori works on basic mobile devices connected to low-bandwidth data networks, and the marginal cost of providing Rori is approximately $5 per student, making it a potentially scalable intervention in the context of LMICs’ education systems. While the results should be interpreted judiciously, as they only report on year 1 of the intervention, they do suggest that chat-based tutoring solutions leveraging AI could offer a cost-effective and operationally efficient approach to enhancing learning outcomes for millions of students globally",https://arxiv.org/ftp/arxiv/papers/2402/2402.09809.pdf,https://doi.org/10.1007/978-3-031-64315-6_34,,6,7/1/2024,Communications in Computer and Information Science,Owen Henkel; Hannah Horne-Robinson; Nessie Kozhakhmetova; Amanda Lee,,false,false,
