paper_title,author_date_citation,doi,doi_deposit_date,publication_date_unjournal,journal_publication_title,download_date,filename
When do “Nudges” Increase Welfare?,"Hunt Allcott,Daniel Cohen,William Morrison,Dmitry Taubinsky",,,,,2025-12-01,Hunt AllcottDaniel CohenWilliam MorrisonDmitry Taubinsky_When do Nudges Increase Welfare.pdf
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,"Suresh Naidu,Yaw Nyarko,Shing-Yi Wang",,,,,2025-12-01,Suresh NaiduYaw NyarkoShing-Yi Wang_The Benefits and Costs of Guest Worker Programs- Experimental Evidence From the India-UAE Migration .pdf
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,"Abhijit Banerjee,Michael Faye,Alan Krueger,Paul Niehaus,Tavneet Suri",,,,,2025-12-01,Abhijit BanerjeeMichael FayeAlan KruegerPaul NiehausTavneet Suri_Universal Basic Income- Short-Term Results from a Long-Term Experiment in Kenya.pdf
Replicability & Generalisability:  A Guide to CEA discounts,Rosie Bettle,,,,,2025-12-01,FAILED_Rosie Bettle_Replicability  Generalisability-  A Guide to CEA discounts.pdf
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes","Bhargav Bhat,Jonathan de Quidt,Johannes Haushofer,Vikram Patel,Gautam Rao, Frank Schilbach,Pierre-Luc Vautrey",,,,,2025-12-01,Bhargav BhatJonathan de QuidtJohannes HaushoferVikram PatelGautam Rao Frank SchilbachPierre-Luc Vaut_The Long-Run Effects of Psychotherapy on Depression Beliefs and Economic Outcomes.pdf
Legalizing Entrepreneurship,"Dany Bahar,Bo Cowgill,Jorge Guzman",,,,,2025-12-01,Dany BaharBo CowgillJorge Guzman_Legalizing Entrepreneurship.pdf
Effects of Emigration on Rural Labor Markets,"Agha A. Akram,Shyamal Chowdhury,Ahmed Mushfiq Mobarak",,,,,2025-12-01,FAILED_Agha A AkramShyamal ChowdhuryAhmed Mushfiq Mobarak_Effects of Emigration on Rural Labor Markets.pdf
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,"Lee Crawfurd,Rory Todd,Susannah Hares,Justin Sandefur,Rachel Silverman Bonnifield",,,,,2025-12-01,Lee CrawfurdRory ToddSusannah HaresJustin SandefurRachel Silverman Bonnifield_How Much Would Reducing Lead Exposure Improve Childrens Learning in the Developing World.pdf
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,"Caroline Chuard,Hannes Schwandt,Alexander D. Becker,Masahiko Haraguchi",,,,,2025-12-01,Caroline ChuardHannes SchwandtAlexander D BeckerMasahiko Haraguchi_Economic vs Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease .pdf
Does Conservation Work in General Equilibrium?,"Verónica Salazar Restrepo,Gabriel Leite Mariante",,,,,2025-12-01,Verónica Salazar RestrepoGabriel Leite Mariante_Does Conservation Work in General Equilibrium.pdf
Existential risk and growth,"Leopold Aschenbrenner,Philip Trammell",,,,,2025-12-01,Leopold AschenbrennerPhilip Trammell_Existential risk and growth.pdf
Willful Ignorance and Moral Behavior,"Andreas Gerster,Raphael Epperson",,,,,2025-12-01,FAILED_Andreas GersterRaphael Epperson_Willful Ignorance and Moral Behavior.pdf
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,"Banerjee, Abhijit ,Duflo, Esther,Arun G. Chandrasekhar,John Floretta,Harini Kannan,Francine Loza,Anirudh Sankar,Anna Schrimpf,Maheshwor Shrestha",,,,,2025-12-01,Banerjee Abhijit Duflo EstherArun G ChandrasekharJohn FlorettaHarini KannanFrancine LozaAnirudh Sank_Selecting the Most Effective Nudge- Evidence from a Large-Scale Experiment on Immunization.pdf
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament," Ezra Karger,Josh Rosenberg, Zachary Jacobs,Molly Hickman,Rose Hadshar,Kayla Gamin,Taylor Smith,Tegan McCaslin,Bridget Williams,Stephen Thomas,Philip E. Tetlock",,,,,2025-12-01,Ezra KargerJosh Rosenberg Zachary JacobsMolly HickmanRose HadsharKayla GaminTaylor SmithTegan McCasl_Forecasting Existential Risks- Evidence From a Long-Run Forecasting Tournament.pdf
Biodiversity risk,"Stefano Giglio,Theresa Kuchler,Johannes Stroebel,Xuran Zeng,",,,,,2025-12-01,FAILED_Stefano GiglioTheresa KuchlerJohannes StroebelXuran Zeng_Biodiversity risk.pdf
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,"Michael Kremer,Stephen P. Luby,Ricardo Maertens,Brandon Tan,Witold Więcek",,,,,2025-12-01,Michael KremerStephen P LubyRicardo MaertensBrandon TanWitold Więcek_Water Treatment and Child Mortality- A Meta-analysis and Cost-effectiveness Analysis.pdf
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development","Augustin Bergeron,Jean-Paul Carvalho,Joseph Henrich,Nathan Nunn,Jonathan L. Weigel",,,,,2025-12-01,Augustin BergeronJean-Paul CarvalhoJoseph HenrichNathan NunnJonathan L Weigel_Zero-Sum Thinking the Evolution of Effort-Suppressing Beliefs and Economic Development.pdf
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
","Michael W. Walker,Alice H. Huang,Suleiman Asman,Sarah J. Baird,Lia Fernald,Joan Hamory,Fernando Hoces de la Guardia,Satoshi Koiso,Michael Kremer,Matthew N. Krupoff,Michelle N. Layvant,Eric Ochieng,Pooja Suri,Edward Miguel",,,,,2025-12-01,FAILED_Michael W WalkerAlice H HuangSuleiman AsmanSarah J BairdLia FernaldJoan HamoryFernando Hoces de la G_Intergenerational Child Mortality Impacts of Deworming- Experimental Evidence from Two Decades of th.pdf
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,"Ania Jaroszewicz,Oliver Hauser,Jon Jachimowicz,Julian Jamison
,",,,,,2025-12-01,FAILED_Ania JaroszewiczOliver HauserJon JachimowiczJulian Jamison_How Effective Is More Money Randomizing Unconditional Cash Transfer Amounts in the US.pdf
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,"Noam Angrist,Micheal Ainomugisha,Sai Pramod Bathena,Peter Bergman,Colin Crossley,Claire Cullen,Thato Letsomo,Moitshepi Matsheng,Rene Marlon Panti,Shwetlena Sabarwal,Tim Sullivan",,,,,2025-12-01,Noam AngristMicheal AinomugishaSai Pramod BathenaPeter BergmanColin CrossleyClaire CullenThato Letso_Building Resilient Education Systems- Evidence from Large-Scale Randomized Trials in Five Countries.pdf
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,"Adrien Bilal,Diego R. Känzig",,,,,2025-12-01,Adrien BilalDiego R Känzig_The Macroeconomic Impact of Climate Change- Global vs Local Temperature.pdf
The Returns to Science In the Presence of Technological Risks,Matt Clancy,,,,,2025-12-01,FAILED_Matt Clancy_The Returns to Science In the Presence of Technological Risks.pdf
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,Stijn Bruers,,,,,2025-12-01,FAILED_Stijn Bruers_The animal welfare cost of meat- evidence from a survey of hypothetical scenarios among Belgian cons.pdf
Urban Forests: Environmental Health Values and Risks,"Jianwei Xing,Zhiren Hu,Fan Xia,Jintao Xu,Eric Zou",,,,,2025-12-01,Jianwei XingZhiren HuFan XiaJintao XuEric Zou_Urban Forests- Environmental Health Values and Risks.pdf
Stagnation and Scientific Incentives,"Jay Bhattacharya,Mikko Packalen",,,,,2025-12-01,Jay BhattacharyaMikko Packalen_Stagnation and Scientific Incentives.pdf
Adaptability and the Pivot Penalty in Science,"Ryan Hill,Yian Yin,Carolyn Stein,Dashun Wang,Benjamin F. Jones",,,,,2025-12-01,Ryan HillYian YinCarolyn SteinDashun WangBenjamin F Jones_Adaptability and the Pivot Penalty in Science.pdf
"A Welfare Analysis of Policies
Impacting Climate Change","Robert W. Hahn,Nathaniel Hendren,Robert D. Metcalfe,Ben Sprung-Keyser",,,,,2025-12-01,Robert W HahnNathaniel HendrenRobert D MetcalfeBen Sprung-Keyser_A Welfare Analysis of PoliciesImpacting Climate Change.pdf
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,"Richard T. Carson,Joshua S. Graff Zivin,Jeffrey G. Shrader",,,,,2025-12-01,Richard T CarsonJoshua S Graff ZivinJeffrey G Shrader_Choose Your Moments- NIH Peer Review and Scientific Risk Taking.pdf
Global potential for natural regeneration in deforested tropical regions,"Brooke Williams,Hawthorne Beyer,Matthew Fagan,Robin Chazdon,Marina Schmoeller,Starry Sprenkle-Hyppolite,Bronson Griscom,James Watson,Anazélia Tedesco,Mariano Gonzalez-Roglich,Gabriel Daldegan,Blaise Bodin,Danielle Celentano,Sarah Wilson,Nikola Alexandre,Do-Hyung Kim,Diego Bastos Bastos,Renato Crouzeilles,",,,,,2025-12-01,FAILED_Brooke WilliamsHawthorne BeyerMatthew FaganRobin ChazdonMarina SchmoellerStarry Sprenkle-HyppoliteBr_Global potential for natural regeneration in deforested tropical regions.pdf
Towards best practices in AGI safety and governance,"Jonas Schuett,Noemi Dreksler,Markus Anderljung,David McCaffary,Lennart Heim,Emma Bluemke,Ben Garfinkel",,,,,2025-12-01,Jonas SchuettNoemi DrekslerMarkus AnderljungDavid McCaffaryLennart HeimEmma BluemkeBen Garfinkel_Towards best practices in AGI safety and governance.pdf
The Effect of Public Science on Corporate R&D,"Ashish Arora,Sharon Belenzon,Larisa C. Cioaca,Lia Sheer,Hansen Zhang",,,,,2025-12-01,Ashish AroraSharon BelenzonLarisa C CioacaLia SheerHansen Zhang_The Effect of Public Science on Corporate RD.pdf
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,"Joel McGuire,Samuel Dupret,Ryan Dwyer,Michael Plant,Ben Stewart,James Goddard,Maxwell Klapow,Deanna Giraldi,Benjamin Olshin, Juliette Michelet,Thomas Beuchot",,,,,2025-12-01,FAILED_Joel McGuireSamuel DupretRyan DwyerMichael PlantBen StewartJames GoddardMaxwell KlapowDeanna Giraldi_The wellbeing cost-effectiveness of StrongMinds and Friendship Bench- Combining a systematic review .pdf
Pharmaceutical Pricing and R&D as a Global Public Good,"H. E. Frech,Mark V. Pauly,William S. Comanor ,Joseph R. Martinez",,,,,2025-12-01,H E FrechMark V PaulyWilliam S Comanor Joseph R Martinez_Pharmaceutical Pricing and RD as a Global Public Good.pdf
Population ethical intuitions.,"Lucius Caviola,David Althaus,Andreas L. Mogensen,Geoffrey P. Goodwin",,,,,2025-12-01,Lucius CaviolaDavid AlthausAndreas L MogensenGeoffrey P Goodwin_Population ethical intuitions.pdf
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,"Moussa P. Blimpo,Paul Castañeda Dower",,,,,2025-12-01,Moussa P BlimpoPaul Castañeda Dower_Asymmetry in Civic Information- An Experiment on Tax Participation among Informal Firms in Togo.pdf
Misperceptions and Demand for Democracy under Authoritarianism,"Daron Acemoglu,Cevat Giray Aksoy,Ceren Baysan,Carlos Molina,Gamze Zeki",,,,,2025-12-01,Daron AcemogluCevat Giray AksoyCeren BaysanCarlos MolinaGamze Zeki_Misperceptions and Demand for Democracy under Authoritarianism.pdf
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,"Seth Ariel Green,Austin Benny Smith,Maya Mathur",,,,,2025-12-01,Seth Ariel GreenAustin Benny SmithMaya Mathur_Meaningfully reducing consumption of meat and animal products is an unsolved problem- A meta-analysi.pdf
