author,n_seed_dois_cited,n_citing_works,seed_dois,seed_short_titles,seed_titles_full
Kate Orkin,3,5,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Tabassum Rahman,3,5,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Christopher Blattman,3,4,10.1257/aeri.20210612; 10.2139/ssrn.4154000; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Crick Lund,3,4,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Judith Bass,3,4,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Margaret A. Sheridan,3,4,10.1257/aeri.20210612; 10.2139/ssrn.4154000; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Nathan Barker,3,4,10.1257/aeri.20210612; 10.3386/w23929; 10.3386/w28106,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Wietse A. Tol,3,4,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Abu Bakkar Siddique,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
David Reinstein,3,3,10.1257/pandp.20201017; 10.3386/w23929; 10.3386/w30740,"Advance Market Commitments; Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?","Advance Market Commitments: Insights from Theory and Experience; Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?"
Frank Schilbach,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
John A. List,3,3,10.3386/w23929; 10.3386/w30740; 10.3386/w32093,"Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?; Cash Transfers for Child Development","Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?; Cash Transfers for Child Development: Experimental Evidence from India"
John R. Walker,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Laura Murray,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Mahreen Mahmud,3,3,10.1257/aeri.20210612; 10.3386/w28726; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Marc Witte,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Sarah M. Murray,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Thandi Davies,3,3,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Francesco Capozza,3,2,10.2139/ssrn.3938994; 10.3386/w28106; 10.3386/w30011,"Information Avoidance and Moral Behavior; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Luca Parisotto,3,2,10.2139/ssrn.4154000; 10.3386/w28726; 10.3386/w30011,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Sarah Baird,3,2,10.2139/ssrn.4154000; 10.3386/w23929; 10.3386/w30011,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Michael Mulford,3,1,10.1257/aeri.20210612; 10.3386/w28106; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Ugo Gentilini,2,18,10.2139/ssrn.4154000; 10.3386/w28106,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
David Denkenberger,2,9,10.1016/j.ijdrr.2022.102798; 10.31219/osf.io/vrmpf,Long term cost-effectiveness of resilient foods for global catastrophes compared…; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety
Matthew O. Jackson,2,7,10.3386/w23928; 10.3386/w28726,Artificial Intelligence and Economic Growth; Selecting the Most Effective Nudge,Artificial Intelligence and Economic Growth; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Christopher B. Barrett,2,6,10.1257/aeri.20230431; 10.1257/pandp.20201017,Money (Not) to Burn; Advance Market Commitments,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning; Advance Market Commitments: Insights from Theory and Experience
Corey Vernot,2,5,10.3386/w23929; 10.3386/w30011,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Joshua M. Pearce,2,5,10.1016/j.ijdrr.2022.102798; 10.31219/osf.io/vrmpf,Long term cost-effectiveness of resilient foods for global catastrophes compared…; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety
Nicolas Treich,2,5,10.1080/21606544.2022.2138980; 10.2139/ssrn.3938994,The animal welfare cost of meat; Information Avoidance and Moral Behavior,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers; Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Romain Espinosa,2,5,10.1080/21606544.2022.2138980; 10.2139/ssrn.3938994,The animal welfare cost of meat; Information Avoidance and Moral Behavior,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers; Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices
Ross Tieman,2,5,10.1016/j.ijdrr.2022.102798; 10.31219/osf.io/vrmpf,Long term cost-effectiveness of resilient foods for global catastrophes compared…; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety
Erin Kelley,2,4,10.3386/w23929; 10.3386/w30011,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Giovanna D’Adda,2,4,10.2139/ssrn.3938994; 10.3386/w28726,Information Avoidance and Moral Behavior; Selecting the Most Effective Nudge,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Olivier Sterck,2,4,10.3386/w23929; 10.3386/w28726,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Christopher Udry,2,3,10.1257/aeri.20210612; 10.3386/w28106,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Dennis Egger,2,3,10.3386/w23929; 10.3386/w30011,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Emily Breza,2,3,10.3386/w23929; 10.3386/w28726,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Fatima Zahra,2,3,10.3386/w23929; 10.3386/w30011,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Gaurav Khanna,2,3,10.3386/w23929; 10.3386/w28106,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Gregory Lane,2,3,10.3386/w23929; 10.3386/w30011,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Howard White,2,3,10.1257/pandp.20201017; 10.3386/w23929,Advance Market Commitments; Effects of Emigration on Rural Labor Markets,Advance Market Commitments: Insights from Theory and Experience; Effects of Emigration on Rural Labor Markets
Jenny C. Aker,2,3,10.3386/w28726; 10.3386/w31208,Selecting the Most Effective Nudge; Building Resilient Education Systems,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Jessica Leight,2,3,10.3386/w28106; 10.3386/w28726,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Joël Cariolle,2,3,10.3386/w28726; 10.3386/w31208,Selecting the Most Effective Nudge; Building Resilient Education Systems,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries
Liu Yong,2,3,10.3386/w23928; 10.3386/w23929,Artificial Intelligence and Economic Growth; Effects of Emigration on Rural Labor Markets,Artificial Intelligence and Economic Growth; Effects of Emigration on Rural Labor Markets
Maarten Voors,2,3,10.3386/w28106; 10.3386/w30011,"The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Massimo Tavoni,2,3,10.2139/ssrn.3938994; 10.3386/w28726,Information Avoidance and Moral Behavior; Selecting the Most Effective Nudge,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Patricio Domínguez,2,3,10.3386/w28106; 10.3386/w28726,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Reshmaan Hussam,2,3,10.3386/w23929; 10.3386/w30011,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Santiago M. Perez‐Vincent,2,3,10.3386/w28106; 10.3386/w28726,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization
Sebastián Chaskel,2,3,10.1257/aeri.20210612; 10.3386/w30011,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes"
Thanh Lê,2,3,10.3386/w23928; 10.3386/w31137,Artificial Intelligence and Economic Growth; Biodiversity Risk,Artificial Intelligence and Economic Growth; Biodiversity Risk
Vincent Reina,2,3,10.2139/ssrn.4154000; 10.3386/w28106,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being
Wim Naudé,2,3,10.3386/w23928; 10.3386/w26752,Artificial Intelligence and Economic Growth; Stagnation and Scientific Incentives,Artificial Intelligence and Economic Growth; Stagnation and Scientific Incentives
Лілія Нікіфорова,2,3,10.3386/w26752; 10.3386/w31409,Stagnation and Scientific Incentives; Choose Your Moments,Stagnation and Scientific Incentives; Choose Your Moments: Peer Review and Scientific Risk Taking
Anatoliy A. Shiyan,2,2,10.3386/w26752; 10.3386/w31409,Stagnation and Scientific Incentives; Choose Your Moments,Stagnation and Scientific Incentives; Choose Your Moments: Peer Review and Scientific Risk Taking
Anonymous Anonymous,2,2,10.3386/w30624; 10.3386/w30740,"Legalizing Entrepreneurship; When do ""Nudges"" Increase Welfare?","Legalizing Entrepreneurship; When do ""Nudges"" Increase Welfare?"
Anton Korinek,2,2,10.3386/w23928; 10.48550/arxiv.2305.07153,Artificial Intelligence and Economic Growth; Towards best practices in AGI safety and governance,Artificial Intelligence and Economic Growth; Towards best practices in AGI safety and governance: A survey of expert opinion
Bei Liu,2,2,10.1257/aer.20221215; 10.3386/w23928,Does the Squeaky Wheel Get More Grease? The Direct and…; Artificial Intelligence and Economic Growth,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Artificial Intelligence and Economic Growth
