author,seed_short_titles,seed_titles_full,unjournal_evals,n_seed_dois_cited_by_author,n_citing_works_by_author
David Manheim,Advance Market Commitments; Towards best practices in AGI safety and governance,Advance Market Commitments: Insights from Theory and Experience; Towards best practices in AGI safety and governance: A survey of expert opinion,,3,5
Gharad Bryan,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,3,5
Kate Orkin,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,5
Tabassum Rahman,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,5
Christopher Blattman,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,4
Crick Lund,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,4
Judith Bass,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,4
Margaret A. Sheridan,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,4
Nathan Barker,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,3,4
Wietse A. Tol,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,4
Abu Bakkar Siddique,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
David Reinstein,"Advance Market Commitments; Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?","Advance Market Commitments: Insights from Theory and Experience; Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?",,3,3
Frank Schilbach,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
John A. List,"Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?; Cash Transfers for Child Development","Effects of Emigration on Rural Labor Markets; When do ""Nudges"" Increase Welfare?; Cash Transfers for Child Development: Experimental Evidence from India",,3,3
John R. Walker,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
Laura Murray,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
Mahreen Mahmud,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
Marc Witte,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
Sarah M. Murray,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
Thandi Davies,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,3
Francesco Capozza,"Information Avoidance and Moral Behavior; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,2
Luca Parisotto,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Selecting the Most Effective Nudge; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,2
Sarah Baird,"How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,2
Michael Mulford,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,3,1
Ugo Gentilini,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,18
David Denkenberger,Long term cost-effectiveness of resilient foods for global catastrophes compared…; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,,2,9
Matthew O. Jackson,Selecting the Most Effective Nudge,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,7
Christopher B. Barrett,Money (Not) to Burn; Advance Market Commitments,Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning; Advance Market Commitments: Insights from Theory and Experience,,2,6
Corey Vernot,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,5
Joshua M. Pearce,Long term cost-effectiveness of resilient foods for global catastrophes compared…; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,,2,5
Nicolas Treich,The animal welfare cost of meat; Information Avoidance and Moral Behavior,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers; Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,2,5
Romain Espinosa,The animal welfare cost of meat; Information Avoidance and Moral Behavior,The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers; Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices,,2,5
Ross Tieman,Long term cost-effectiveness of resilient foods for global catastrophes compared…; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared…,Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety; Long Term Cost-Effectiveness of Resilient Foods for Global Catastrophes Compared to Artificial General Intelligence Safety,,2,5
Erin Kelley,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,4
Giovanna D’Adda,Information Avoidance and Moral Behavior; Selecting the Most Effective Nudge,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,4
Olivier Sterck,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,4
Christopher Udry,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,3
Dennis Egger,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,3
Emily Breza,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge,Effects of Emigration on Rural Labor Markets; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,3
Fatima Zahra,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,3
Gaurav Khanna,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Effects of Emigration on Rural Labor Markets; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,3
Gregory Lane,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,3
Howard White,Advance Market Commitments; Effects of Emigration on Rural Labor Markets,Advance Market Commitments: Insights from Theory and Experience; Effects of Emigration on Rural Labor Markets,,2,3
Jenny C. Aker,Selecting the Most Effective Nudge; Building Resilient Education Systems,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,2,3
Jessica Leight,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,3
Joël Cariolle,Selecting the Most Effective Nudge; Building Resilient Education Systems,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,2,3
Liu Yong,Effects of Emigration on Rural Labor Markets,Effects of Emigration on Rural Labor Markets,,2,3
Maarten Voors,"The Comparative Impact of Cash Transfers and a Psychotherapy Program…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,3
Massimo Tavoni,Information Avoidance and Moral Behavior; Selecting the Most Effective Nudge,Information Avoidance and Moral Behavior: Experimental Evidence from Food Choices; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,3
Patricio Domínguez,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,3
Reshmaan Hussam,"Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Effects of Emigration on Rural Labor Markets; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,3
Santiago M. Perez‐Vincent,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Selecting the Most Effective Nudge,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,,2,3
Sebastián Chaskel,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,3
Thanh Lê,Biodiversity Risk,Biodiversity Risk,,2,3
Vincent Reina,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,3
Wim Naudé,Stagnation and Scientific Incentives,Stagnation and Scientific Incentives,,2,3
Лілія Нікіфорова,Stagnation and Scientific Incentives; Choose Your Moments,Stagnation and Scientific Incentives; Choose Your Moments: Peer Review and Scientific Risk Taking,,2,3
Anatoliy A. Shiyan,Stagnation and Scientific Incentives; Choose Your Moments,Stagnation and Scientific Incentives; Choose Your Moments: Peer Review and Scientific Risk Taking,,2,2
Anonymous Anonymous,"Legalizing Entrepreneurship; When do ""Nudges"" Increase Welfare?","Legalizing Entrepreneurship; When do ""Nudges"" Increase Welfare?",,2,2
Anton Korinek,Towards best practices in AGI safety and governance,Towards best practices in AGI safety and governance: A survey of expert opinion,,2,2
Bei Liu,Does the Squeaky Wheel Get More Grease? The Direct and…,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,,2,2
Caroline Flammer,The Governance of Nonprofits and Their Social Impact; Biodiversity Risk,The Governance of Nonprofits and Their Social Impact: Evidence from a Randomized Program in Healthcare in the Democratic Republic of Congo; Biodiversity Risk,,2,2
Christopher M. Snyder,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,2
Daniel Salicath,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Dayong Zhang,Does the Squeaky Wheel Get More Grease? The Direct and…; Biodiversity Risk,Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China; Biodiversity Risk,,2,2
Dimitrios Gouglas,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,2
Elisa M. Maffioli,Selecting the Most Effective Nudge; Water Treatment And Child Mortality,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,2,2
Erin Grela,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Felix Stein,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,2
Francisco Gallego,The Comparative Impact of Cash Transfers and a Psychotherapy Program…; Building Resilient Education Systems,The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being; Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,,2,2
Frederico Finan,Selecting the Most Effective Nudge; A Welfare Analysis of Policies Impacting Climate Change,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization; A Welfare Analysis of Policies Impacting Climate Change,,2,2
Garima Sharma,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Girija Vaidyanathan,"Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic…","Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,2,2
Hitoshi Shigeoka,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; Urban Forests,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; Urban Forests: Environmental Health Values and Risks,,2,2
Jules Gazeaud,Effects of Emigration on Rural Labor Markets; Water Treatment And Child Mortality,Effects of Emigration on Rural Labor Markets; Water Treatment And Child Mortality: A Meta-Analysis And Cost-effectiveness Analysis,,2,2
Kelsey Wright,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless…; The Comparative Impact of Cash Transfers and a Psychotherapy Program…,Cognitive Behavioral Therapy among Ghana's Rural Poor Is Effective Regardless of Baseline Mental Distress; The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,,2,2
Kendall Hoyt,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,2
Klaus Prettner,Advance Market Commitments; Advance Market Commitments,Advance Market Commitments: Insights from Theory and Experience; Advance Market Commitments: Insights from Theory and Experience,,2,2
Luke Kemp,Population ethical intuitions; Long term cost-effectiveness of resilient foods for global catastrophes compared…,Population ethical intuitions; Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,,2,2
