match_id,confidence,after_title,after_authors,after_file,before_file,before_path,score,confirmed
14,MEDIUM,Legalizing Entrepreneurship,"Dany Bahar,Bo Cowgill,Jorge Guzman",Dany BaharBo CowgillJorge Guzman_Legalizing Entrepreneurship.pdf,Bahar et al. 2022.pdf,more papers/Bahar et al. 2022.pdf,0.5930232558139534,YES
15,MEDIUM,How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,"Lee Crawfurd,Rory Todd,Susannah Hares,Justin Sandefur,Rachel Silverman Bonnifield",Lee CrawfurdRory ToddSusannah HaresJustin SandefurRachel Silverman Bonnifield_How Much Would Reducing Lead Exposure Improve Childrens Learning in the Developing World.pdf,Crawfurd et al. 2023.pdf,more papers/Crawfurd et al. 2023.pdf,0.5747663551401869,YES
16,MEDIUM,Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,"Caroline Chuard,Hannes Schwandt,Alexander D. Becker,Masahiko Haraguchi",Caroline ChuardHannes SchwandtAlexander D BeckerMasahiko Haraguchi_Economic vs Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease .pdf,Chuard et al. 2022.pdf,more papers/Chuard et al. 2022.pdf,0.546875,YES
17,MEDIUM,Does Conservation Work in General Equilibrium?,"Verónica Salazar Restrepo,Gabriel Leite Mariante",Verónica Salazar RestrepoGabriel Leite Mariante_Does Conservation Work in General Equilibrium.pdf,Salazar and Restrepo 2024.pdf,more papers/Salazar and Restrepo 2024.pdf,0.5571428571428572,YES
18,MEDIUM,Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,"Banerjee, Abhijit ,Duflo, Esther,Arun G. Chandrasekhar,John Floretta,Harini Kannan,Francine Loza,Anirudh Sankar,Anna Schrimpf,Maheshwor Shrestha",Banerjee Abhijit Duflo EstherArun G ChandrasekharJohn FlorettaHarini KannanFrancine LozaAnirudh Sank_Selecting the Most Effective Nudge- Evidence from a Large-Scale Experiment on Immunization.pdf,Banerjee et al. 2022.pdf,more papers/Banerjee et al. 2022.pdf,0.5747663551401869,YES
19,MEDIUM,Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,"Michael Kremer,Stephen P. Luby,Ricardo Maertens,Brandon Tan,Witold Więcek",Michael KremerStephen P LubyRicardo MaertensBrandon TanWitold Więcek_Water Treatment and Child Mortality- A Meta-analysis and Cost-effectiveness Analysis.pdf,Kremer et al. 2022.pdf,more papers/Kremer et al. 2022.pdf,0.62,YES
20,MEDIUM,"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development","Augustin Bergeron,Jean-Paul Carvalho,Joseph Henrich,Nathan Nunn,Jonathan L. Weigel",Augustin BergeronJean-Paul CarvalhoJoseph HenrichNathan NunnJonathan L Weigel_Zero-Sum Thinking the Evolution of Effort-Suppressing Beliefs and Economic Development.pdf,Bergeron et al. 2024.pdf,more papers/Bergeron et al. 2024.pdf,0.5970873786407767,YES
21,MEDIUM,Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,"Noam Angrist,Micheal Ainomugisha,Sai Pramod Bathena,Peter Bergman,Colin Crossley,Claire Cullen,Thato Letsomo,Moitshepi Matsheng,Rene Marlon Panti,Shwetlena Sabarwal,Tim Sullivan",Noam AngristMicheal AinomugishaSai Pramod BathenaPeter BergmanColin CrossleyClaire CullenThato Letso_Building Resilient Education Systems- Evidence from Large-Scale Randomized Trials in Five Countries.pdf,Angrist et al. 2023.pdf,more papers/Angrist et al. 2023.pdf,0.6043478260869565,YES
22,MEDIUM,The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,"Adrien Bilal,Diego R. Känzig",Adrien BilalDiego R Känzig_The Macroeconomic Impact of Climate Change- Global vs Local Temperature.pdf,Bilal and Kaenzig 2024.pdf,more papers/Bilal and Kaenzig 2024.pdf,0.5869565217391304,YES
23,MEDIUM,Urban Forests: Environmental Health Values and Risks,"Jianwei Xing,Zhiren Hu,Fan Xia,Jintao Xu,Eric Zou",Jianwei XingZhiren HuFan XiaJintao XuEric Zou_Urban Forests- Environmental Health Values and Risks.pdf,Xing et al. 2023.pdf,more papers/Xing et al. 2023.pdf,0.6060606060606061,YES
24,MEDIUM,Stagnation and Scientific Incentives,"Jay Bhattacharya,Mikko Packalen",Jay BhattacharyaMikko Packalen_Stagnation and Scientific Incentives.pdf,Bhattacharya and Packalen 2020.pdf,more papers/Bhattacharya and Packalen 2020.pdf,0.6818181818181819,YES
25,MEDIUM,Adaptability and the Pivot Penalty in Science,"Ryan Hill,Yian Yin,Carolyn Stein,Dashun Wang,Benjamin F. Jones",Ryan HillYian YinCarolyn SteinDashun WangBenjamin F Jones_Adaptability and the Pivot Penalty in Science.pdf,Hill et al. 2024.pdf,more papers/Hill et al. 2024.pdf,0.6,YES
26,MEDIUM,"A Welfare Analysis of Policies
Impacting Climate Change","Robert W. Hahn,Nathaniel Hendren,Robert D. Metcalfe,Ben Sprung-Keyser",Robert W HahnNathaniel HendrenRobert D MetcalfeBen Sprung-Keyser_A Welfare Analysis of PoliciesImpacting Climate Change.pdf,Hahn et al. 2025.pdf,more papers/Hahn et al. 2025.pdf,0.6,YES
27,MEDIUM,Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,"Richard T. Carson,Joshua S. Graff Zivin,Jeffrey G. Shrader",Richard T CarsonJoshua S Graff ZivinJeffrey G Shrader_Choose Your Moments- NIH Peer Review and Scientific Risk Taking.pdf,Carson et al. 2023.pdf,more papers/Carson et al. 2023.pdf,0.5886075949367089,YES
28,MEDIUM,Towards best practices in AGI safety and governance,"Jonas Schuett,Noemi Dreksler,Markus Anderljung,David McCaffary,Lennart Heim,Emma Bluemke,Ben Garfinkel",Jonas SchuettNoemi DrekslerMarkus AnderljungDavid McCaffaryLennart HeimEmma BluemkeBen Garfinkel_Towards best practices in AGI safety and governance.pdf,Schuett et al. 2023.pdf,papers/Schuett et al. 2023.pdf,0.6014492753623188,YES
29,MEDIUM,The Effect of Public Science on Corporate R&D,"Ashish Arora,Sharon Belenzon,Larisa C. Cioaca,Lia Sheer,Hansen Zhang",Ashish AroraSharon BelenzonLarisa C CioacaLia SheerHansen Zhang_The Effect of Public Science on Corporate RD.pdf,Arora et al. 2023.pdf,more papers/Arora et al. 2023.pdf,0.6,YES
30,MEDIUM,Pharmaceutical Pricing and R&D as a Global Public Good,"H. E. Frech,Mark V. Pauly,William S. Comanor ,Joseph R. Martinez",H E FrechMark V PaulyWilliam S Comanor Joseph R Martinez_Pharmaceutical Pricing and RD as a Global Public Good.pdf,Frech et al. 2023.pdf,more papers/Frech et al. 2023.pdf,0.5869565217391304,YES
31,MEDIUM,Population ethical intuitions.,"Lucius Caviola,David Althaus,Andreas L. Mogensen,Geoffrey P. Goodwin",Lucius CaviolaDavid AlthausAndreas L MogensenGeoffrey P Goodwin_Population ethical intuitions.pdf,Caviola et al. 2022.pdf,more papers/Caviola et al. 2022.pdf,0.6914893617021276,YES
32,MEDIUM,Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,"Moussa P. Blimpo,Paul Castañeda Dower",Moussa P BlimpoPaul Castañeda Dower_Asymmetry in Civic Information- An Experiment on Tax Participation among Informal Firms in Togo.pdf,Blimpo and Castaneda-Dower 2025.pdf,more papers/Blimpo and Castaneda-Dower 2025.pdf,0.5806451612903226,YES
33,MEDIUM,Misperceptions and Demand for Democracy under Authoritarianism,"Daron Acemoglu,Cevat Giray Aksoy,Ceren Baysan,Carlos Molina,Gamze Zeki",Daron AcemogluCevat Giray AksoyCeren BaysanCarlos MolinaGamze Zeki_Misperceptions and Demand for Democracy under Authoritarianism.pdf,Acemoglu et al. 2024.pdf,more papers/Acemoglu et al. 2024.pdf,0.5987654320987654,YES
34,MEDIUM,Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,"Seth Ariel Green,Austin Benny Smith,Maya Mathur",Seth Ariel GreenAustin Benny SmithMaya Mathur_Meaningfully reducing consumption of meat and animal products is an unsolved problem- A meta-analysi.pdf,Green et al. 2025.pdf,more papers/Green et al. 2025.pdf,0.5956521739130435,YES
