research,criteria,publication_status,main_cause_cat,evaluator,Anonymous,middle_rating,lower_CI,upper_CI,confidence_level,checked_against_source,notes on check against source,evaluator_comment,eval_weight (not used yet),cause areas,Journal publication title,publication_date_unjournal,row_created_date
Adaptability and the Pivot Penalty in Science,journal_predict,"Published, ~top journal","Innovation, meta-science, and research",Evaluator 1,true,4.5,4,5,,,,,,"Innovation, meta-science, & research",WP,2025-05-21,6/5/2025 12:58:51 PM
Advance Market Commitments: Insights from Theory and Experience,adv_knowledge,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,25,20,40,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,methods,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,95,85,97.5,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,logic_comms,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,75,60,90,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,real_world,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,gp_relevance,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,60,40,75,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,journal_predict,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,3,2.5,4.5,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,open_sci,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,merits_journal,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,overall,"published, decent journal ",Global health; “Health & well-being in low-income countries”,David Manheim,false,80,70,90,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,adv_knowledge,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,90,70,100,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,methods,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,70,50,90,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,logic_comms,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,70,50,90,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,real_world,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,90,70,100,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,gp_relevance,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,90,70,100,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,journal_predict,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,5,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,open_sci,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,50,30,70,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,merits_journal,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,5,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,overall,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Joel Tan,false,79,59,94,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,adv_knowledge,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,90,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,methods,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,80,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,logic_comms,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,80,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,real_world,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,gp_relevance,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,95,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,journal_predict,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,4,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,open_sci,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,90,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,merits_journal,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,4,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Advance Market Commitments: Insights from Theory and Experience,overall,"published, decent journal ",Global health; “Health & well-being in low-income countries”,Dan Tortorice,false,80,,,,false,,,,Global health (LMICs),AEA Papers and Proceedings,2023-03-20,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,adv_knowledge,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,75,65,85,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,methods,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,80,75,85,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,logic_comms,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,70,60,80,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,real_world,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,,,,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,gp_relevance,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,90,85,100,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,journal_predict,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,,,,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,open_sci,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,95,90,100,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,merits_journal,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,4,3.5,5,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,overall,book chapter,Emerging technologies: social and economic impacts (focus: AI),Seth Benzell,false,80,70,90,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,adv_knowledge,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,97,80,100,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,methods,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,70,40,90,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,logic_comms,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,45,30,70,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,real_world,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,,,,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,gp_relevance,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,92,80,100,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,journal_predict,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,3.5,,,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,open_sci,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,80,,,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,merits_journal,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,5,,,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Artificial Intelligence and Economic Growth,overall,book chapter,Emerging technologies: social and economic impacts (focus: AI),Phil Trammel,false,92,80,100,,false,,,,Emerging tech: social & economic impacts,University of Chicago Press,2023-03-16,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,adv_knowledge,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,80,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,methods,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,50,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,logic_comms,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,70,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,real_world,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,90,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,gp_relevance,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,65,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,journal_predict,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,2.5,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,open_sci,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,50,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,merits_journal,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,3,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,overall,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Liew Jia Huan,false,75,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,adv_knowledge,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Anonymous_8,true,70,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,methods,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Anonymous_8,true,80,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,logic_comms,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Anonymous_8,true,70,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
Banning wildlife trade can boost demand for unregulated threatened species,real_world,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),Anonymous_8,true,90,,,,,,,,"Animal Welfare (markets, attitudes)",Conservation Letters,2023-05-24,6/7/2024 4:40:59 PM
