paper,metric,score,ci_lower,ci_upper,model
Liang_et_al_2023,tier_should,4.3,3.7,4.8,gpt-5-pro-2025-10-06
Liang_et_al_2023,tier_will,4.2,3.5,4.7,gpt-5-pro-2025-10-06
McGuire_et_al._2024,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06
McGuire_et_al._2024,tier_will,3.0,2.3,3.7,gpt-5-pro-2025-10-06
Naidu_et_al._2023,tier_should,4.4,3.8,4.9,gpt-5-pro-2025-10-06
Naidu_et_al._2023,tier_will,4.2,3.5,4.7,gpt-5-pro-2025-10-06
Peterman_et_al._2025,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Peterman_et_al._2025,tier_will,4.0,3.3,4.5,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06
Salazar_and_Restrepo_2024,tier_will,3.2,2.6,3.8,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,tier_should,3.6,3.0,4.2,gpt-5-pro-2025-10-06
Schoenegger_et_al._2025,tier_will,3.7,3.1,4.3,gpt-5-pro-2025-10-06
Schuett_et_al._2023,tier_should,3.4,2.8,4.1,gpt-5-pro-2025-10-06
Schuett_et_al._2023,tier_will,3.0,2.2,3.7,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,tier_should,3.8,3.2,4.3,gpt-5-pro-2025-10-06
Trammel_and_Aschenbrenner_2024,tier_will,3.5,2.9,4.0,gpt-5-pro-2025-10-06
Walker_et_al._2023,tier_should,4.3,3.7,4.8,gpt-5-pro-2025-10-06
Walker_et_al._2023,tier_will,4.1,3.4,4.6,gpt-5-pro-2025-10-06
Weaver_et_al._2025,tier_should,4.4,3.8,4.8,gpt-5-pro-2025-10-06
Weaver_et_al._2025,tier_will,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Williams_et_al._2024,tier_should,4.3,3.8,4.8,gpt-5-pro-2025-10-06
Williams_et_al._2024,tier_will,4.6,4.0,5.0,gpt-5-pro-2025-10-06
Xing_et_al._2023,tier_should,4.2,3.6,4.7,gpt-5-pro-2025-10-06
Xing_et_al._2023,tier_will,4.3,3.5,4.8,gpt-5-pro-2025-10-06
