paper,metric,midpoint,lower_bound,upper_bound,rationale
Alatas et al. 2019,claims_evidence,82,74,88,"Core questions clearly stated. Causal claims on endorsement and sourcing supported by randomized authorship/sourcing and F1/F2 design; forced retweets address selection. RI p-values and clustering used; content controls applied. Offline results are presented as ‘suggestive’ with appropriate caveats. Multiple-testing adjustments are limited, and reliance on p-values over intervals reduces transparency somewhat."
Alatas et al. 2019,methods,85,78,92,"Strong design: randomized tweet timing/content/authorship/sourcing; decomposition of reach vs endorsement via F2 “blinding”; forced F1 retweets; exposure–response analysis. Appropriate Poisson models, FE, clustering, and tests for retweet-count display confound. Limitations: survey sample via promoted ads, self-reports, partial MT correction, platform-specific context. Pre-registered and IRB-approved."
Alatas et al. 2019,advancing_knowledge,85,77,91,"Provides rare causal evidence on influencer endorsement effects at national scale; overturns common assumptions (sources reduce diffusion), and informs complex contagion vs simple contagion. Offers actionable guidance for public-health messaging. Generalizability across platforms, topics, and eras is uncertain, and hard outcomes are limited, but the contribution meaningfully advances both theory and practice."
Alatas et al. 2019,logic_communication,86,80,92,"Clear articulation of goals, design schematics, and logic. Assumptions and threats to identification are explicit; appendixed model connects theory to findings. Tables/figures are interpretable; conclusions match evidence and are cautious. Minor weaknesses: heavy econometric focus with few intuitive uncertainty summaries; multiplicity discussion could be deeper."
Alatas et al. 2019,open_science,60,45,75,"AEA registry and IRB approvals are provided; design is well-documented. However, Twitter Firehose data likely cannot be shared; no clear public replication package/code is indicated. Survey data availability is unclear. Platform changes hinder exact reproduction. Overall: moderate transparency, constrained by data rights."
Alatas et al. 2019,global_relevance,82,74,89,"Highly relevant to vaccination promotion and broader public-health communication, especially in LMIC contexts. Offers practical, testable design rules (use influential endorsements, be cautious with sourcing, optimize exposures). Lacks cost-effectiveness and verified health outcomes, but insights are readily applicable for campaign design and policy."
Alcott et al. 2024,overall,90,84,96,"High-impact theory plus careful empirics. Provides a portable sufficient-statistics framework tying nudges, pass-through, and variance/targeting to welfare; implements it in two preregistered RCTs. Transparent about limits (proxy-based bias in drinks, lab-like choices, potential demand effects). Replication files available. Likely to shape future work and policy debates on labels vs taxes."
Alcott et al. 2024,claims_evidence,88,80,94,"Core claims (average effects can mislead; variance/targeting and pass-through matter) are theoretically derived and empirically illustrated. They estimate ATEs, Var(τ), Cov(τ, bias/externalities), and conduct sensitivity to ρ and μ. Limits: drinks bias relies on proxies; some covariance estimates are noisy; external validity is limited. Claims are carefully scoped and caveated."
Alcott et al. 2024,methods,87,78,93,"Rigorous theory (Weyl–Fabinger conduct, endogenous prices) and implementable sufficient statistics. Empirics use randomized labels, adaptive incentivized MPLs, mixed-effects to identify heterogeneity. Registration done; no PAP due to structural modeling. Assumptions (normality, independence of measurement error, pass-through from literature) are reasonable but nontrivial. Robustness and appendices are strong."
Alcott et al. 2024,advancing_knowledge,92,85,97,Reorients welfare evaluation of nudges toward heterogeneity/targeting and interaction with taxes and pass-through; supplies estimable formulas and a template for measurement. Bridges behavioral public finance and applied nudge evaluation. Likely to influence policy design (labels with taxes) and future empirical practice.
Alcott et al. 2024,logic_communication,90,83,95,"Clear statement of goals, assumptions, and derivations; intuitive examples; diagrams; thorough appendices. Results tied back to literature (libertarian/asymmetric paternalism). Minor drawbacks: heavy notation and length may challenge some readers."
Alcott et al. 2024,open_science,85,75,93,"Trials registered (AEARCTR, ClinicalTrials.gov); IRB approvals; replication files posted; detailed appendices and sensitivity analyses. Some data come from panels/shipping logistics limiting full openness; no pre-analysis plan. Still above-average transparency and reproducibility."
Alcott et al. 2024,global_relevance,89,80,95,"High relevance to global priorities: climate/energy (fuel economy) and public health (SSBs). Offers actionable guidance on when nudges help or hurt, especially alongside taxes. Insights generalize to other markets with externalities and market power."
Arora et al. 2023,overall,85,78,92,"Large, carefully assembled multi-source dataset; clear conceptual framework; strong and consistent results across outcomes; inventive IV using subcommittee composition. Credible robustness and heterogeneity analyses. Remaining concerns about exclusion restrictions, exposure-share endogeneity, and measurement noise temper the top rating."
Arora et al. 2023,claims_evidence,80,72,88,"Main questions and claims are explicit. Evidence triangulates patents, publications, scientist employment, R&D spend, and firm value, with coherent signs and magnitudes. Authors are generally cautious in interpretation. Causal claims rest on IV assumptions that, while argued for and stress‑tested, are not airtight."
Arora et al. 2023,methods,78,70,86,"Shift–share IVs built from predicted agency R&D budgets via political composition, plus rich fixed effects and alternative instruments. Strong first stages and many robustness checks. Risks remain: exclusion restriction, correlated exposure shares, text-similarity weighting choices, and reliance on proprietary bibliometrics."
Arora et al. 2023,advancing_knowledge,85,77,92,"Important advance separating ‘publications, patents, people’ channels with firm-level relevance measures. Policy-relevant insight that human capital boosts, while public inventions can crowd out, incumbent R&D; life-science exception documented. Likely to shape debates on university tech transfer and science policy."
Arora et al. 2023,logic_communication,88,82,94,"Goals, constructs, and assumptions are clearly laid out; theory maps to empirics. Tables and appendices are thorough; heterogeneity and robustness are well explained. Limitations discussed, though some threats could be more explicitly stress-tested."
Arora et al. 2023,open_science,60,45,75,"Helpful methodological detail and some referenced datasets (e.g., DISCERN/Zenodo). However, substantial reliance on proprietary sources (Dimensions, ProQuest, AMWS) limits full reproducibility; unclear public code release; complex linkages may be hard to replicate independently."
Arora et al. 2023,global_relevance,75,65,85,"Findings inform science/innovation policy, university tech transfer, and corporate R&D strategy—relevant to productivity and growth. Strongest applicability for U.S. context; indirect for practitioners outside policy/innovation ecosystems; limited direct cost–benefit quantification."
Bahar et al. 2022,overall,88,82,93,"Compelling causal study of Colombia’s PEP using innovative RVI-fuzzy RD with large admin linkage; strong first stage, balance/placebo checks, dynamics and panel corroboration. Clear policy relevance and methodological contribution. Main caveats: model-dependent mapping from rain to queue order; assumptions on within-week exchangeability; outcome limited to formal firm registrations; replication limited by data access."
Bahar et al. 2022,claims_evidence,86,82,91,"Main claims (legal status substantially boosts entrepreneurship; effect grows over time; larger than relocation) are well-stated and supported via IV, placebo, heterogeneity, and panel DiD. LATE interpretation is explicit. Evidence that effects reflect new creation vs formalization is suggestive (timing) but not definitive. Mechanisms discussed plausibly."
Bahar et al. 2022,methods,87,80,92,"Novel running-variable instrument via rainfall permutations embedded in fuzzy RD/2SLS; controls for expected instrument; strong first-stage; manipulation and balance tests; complementary panel. Risks: reliance on fitted mapping from precipitation to census order, monotonicity, local randomization within week×city. Robustness variants help, but residual model dependence remains."
Bahar et al. 2022,advancing_knowledge,90,84,95,"First rigorous micro-evidence on legalization’s impact on entrepreneurship among undocumented migrants in a LMIC; quantifies sizable effects reaching parity with natives; separates relocation vs rights; provides methodological advance generalizable to other threshold settings. High value for migration, development, and entrepreneurship policy."
Bahar et al. 2022,logic_communication,85,80,90,"Objectives, context, and assumptions are clearly laid out; formal framework aids transparency; figures/tables are informative; stacked RD diagnostics and dynamic plots persuasive. Some sections are complex; sensitivity to instrument construction could be summarized more accessibly; otherwise coherent and consistent."
Bahar et al. 2022,open_science,62,50,72,"Administrative RAMV–RUES data likely restricted; weather data proprietary; paper includes detailed appendices and specs but no clear public replication package noted. Methods are reproducible in principle; actual reanalysis requires data agreements. Useful building blocks (design, equations) provided."
Bahar et al. 2022,global_relevance,92,85,97,"Directly relevant to global migration policy and regularization programs; offers actionable magnitudes and timing; speaks to entrepreneurship, job creation, and integration in LMICs. Findings generalize conceptually to other amnesties; high usefulness for practitioners and policymakers."
Banerjee et al 2022,overall,94,89,98,"Introduces TVA with theory, simulations, and a large policy-scale RCT; provides actionable best-policy estimates with winner’s-curse correction. Assumptions (beta-min, homoskedastic errors, pointwise asymptotics) and moderate openness temper a perfect score."
Banerjee et al 2022,claims_evidence,92,86,96,"Claims on TVA performance and policy effects are supported by formal results, extensive simulations, a large cross-randomized RCT, administrative data validation, robustness and bootstraps. Some dependence on tuning (λ), administrative data coverage, and partial sensitivity remain."
Banerjee et al 2022,methods,91,85,96,"Sound reparameterization, Puffer-transformed LASSO for support, post-selection OLS, and Andrews–Kitagawa–McCloskey correction. Assumptions explicit; proofs and simulations thorough. Caveats: homoskedasticity in Puffer theory, beta-min/local-alternative constraints, non-uniform asymptotics."
Banerjee et al 2022,advancing_knowledge,96,91,99,"Fills a key gap for large factorial policy selection, blending selection, estimation, and winner’s-curse adjustment. Likely to shape experimental design/analysis and practical policy choice beyond immunization."
Banerjee et al 2022,logic_communication,90,84,95,"Goals and constructs are clear; Hasse diagrams and stepwise algorithm help; limitations are stated. Technical density may challenge some applied readers, but reasoning is generally transparent and coherent."
Banerjee et al 2022,open_science,68,55,80,"Design details and appendices are rich; validation documented. However, explicit public code/data repositories are not evident here. Reproducibility would improve with released code and (de-identified or synthetic) data."
Banerjee et al 2022,global_relevance,95,90,99,"Addresses child immunization uptake at scale with government partnership; cost-effectiveness focus; TVA applicable to many multi-arm policy settings, enhancing decision-making under constraints."
Banerjee et al. 2022,overall,90,84,95,"Introduces a principled TVA procedure and applies it to a very large, policy-relevant RCT. Strong identification, careful post-selection inference (winner’s curse), extensive simulations, and actionable results. Assumptions (sparsity/beta-min, K<n, homoskedasticity in theory) and some opacity on full replication resources temper a top score."
Banerjee et al. 2022,claims_evidence,88,82,93,"Main questions and claims are explicit; evidence includes a large factorial RCT, validated admin data, rich robustness and simulations, and coherent adjustments. Some reliance on strong assumptions and limited detail on pre-specification/λ choice may modestly weaken characterization of uncertainty."
Banerjee et al. 2022,methods,89,82,95,"Innovative combination of marginal-effects reparameterization, Puffer-preconditioned LASSO, post-selection OLS, and winner’s-curse correction. Assumptions are stated and justified; proofs and simulations support validity. Limitations: beta-min/local alternatives, homoskedasticity in theory, and practical sensitivity to tuning."
Banerjee et al. 2022,advancing_knowledge,91,85,96,"TVA is a useful methodological advance for selecting among many treatment bundles; contributes to design/analysis of factorial trials with interactions. Applied findings (synergies among hubs, incentives, SMS; cost-effectiveness) are informative for practice and future research."
Banerjee et al. 2022,logic_communication,86,80,92,"Clear structure, explicit assumptions, helpful Hasse diagrams, algorithms, and detailed appendices. Arguments are logically consistent and cautious about scope. Dense proofs and length may challenge accessibility for some readers."
Banerjee et al. 2022,open_science,68,55,80,"Open working paper and extensive appendices, simulations described well. However, no clear public replication package/code and underlying administrative data likely not shareable; preregistration details unclear."
Banerjee et al. 2022,global_relevance,93,88,98,"Directly targets childhood immunization in LMICs with scalable, cost-aware policy guidance. Method generalizes to other policy bundle settings; results are highly actionable for governments and implementers focused on global health impact."
Barker et al. 2021,overall,84,76,91,"Large multi-community RCT with strong short-run impacts on mental/physical health, socioemotional skills, cognition, and economic expectations. Careful randomization, RI-based inference, and heterogeneity via LASSO. Limitations: 2–3 month horizon, heavy reliance on self-reports, unclear pre-registration, potential demand effects, and uncertain persistence/generalizability."
Barker et al. 2021,claims_evidence,78,70,86,"Core claims are generally supported: robust improvements and suggestive evidence for vulnerability and bandwidth channels. Heterogeneity patterns align with theory. However, bandwidth evidence on cognition is modest, economic outcomes are proximate, and the ‘core human capital strategy’ framing extrapolates beyond measured horizons and objective outcomes."
Barker et al. 2021,methods,81,73,89,"Well-powered, multi-stage randomization with re-randomization for balance, RI, and holdout LASSO. Addresses spillovers; manualized delivery; indices pre-standardized. Weaknesses: short follow-up; self-reports; no clear PAP or multiple-testing adjustments beyond RI; no blinding; limited objective outcomes; potential demand effects."
Barker et al. 2021,advancing_knowledge,86,78,93,"Shows general-population, lay-delivered CBT can improve multiple human-capital dimensions; introduces vulnerability risk-scoring heterogeneity; links therapy to bandwidth. Contrasts with prior nulls, informing design intensity/timeframes. High policy salience. Key gaps: durability, scaling fidelity, and cost-effectiveness over longer horizons."
Barker et al. 2021,logic_communication,85,77,92,"Clear motivation and theory (vulnerability, scarcity/bandwidth), transparent specifications, thorough tables, and structured ethics appendix. Reasoning largely consistent with evidence; mechanisms carefully caveated. Some extrapolations ambitious; technical details heavy but generally well explained."
Barker et al. 2021,open_science,58,45,70,"CBT manual and ethics appendix available; heterogeneity procedure described. However, no evident public replication package or data/code in WP; pre-registration unspecified; limited materials for turnkey reproduction reduce replicability."
Barker et al. 2021,global_relevance,90,82,96,"Mental health in LMICs is a major priority; group CBT by lay counselors is scalable and integrable (e.g., Ghana NSS). Evidence of multi-domain gains with potential for broad human-capital impacts. Uncertainty about long-run persistence and cost-effectiveness tempers certainty but relevance is high."
Bergeron et al. 2024,overall,84,76,92,"Strong synthesis of evolutionary theory and empirics. Clear predictions, multiple validations (DRC + WVS), and careful framing (associations, not causality). Limitations: measurement via perceptions, residual endogeneity, and no sharp identification. Nonetheless, breadth, coherence, and robustness checks justify a high overall rating."
Bergeron et al. 2024,claims_evidence,82,74,90,"Core claims are explicit and matched to testable predictions. Evidence triangulates vignette validation, local surveys, and global WVS. Authors generally avoid causal overreach. Remaining concerns: reliance on perceived zero-sumness as proxy for α, potential reverse causality, and cultural measurement equivalence across countries."
Bergeron et al. 2024,methods,78,70,86,"Evolutionary model is well-specified with proofs and robustness. Empirics use FE, large samples, validation (employment, rainfall, growth), and within-α stratification. However, identification is correlational; potential omitted variables and response biases remain. Limited discussion of multiple-testing control and measurement invariance across cultures."
Bergeron et al. 2024,advancing_knowledge,86,78,93,"Introduces ‘demotivating beliefs’ in an evolutionary framework, aligning anthropology with economics. Novel prediction of hump-shaped welfare–belief relation within environments; connects to growth via learning-by-doing. Empirical patterns are broad and policy-relevant, likely to stimulate further causal and intervention research."
Bergeron et al. 2024,logic_communication,88,80,94,"Concepts and assumptions are defined clearly; math derivations and comparative statics are transparent. Empirical sections are logically structured with ample robustness and appendices. Figures and validations support the narrative. Minor complexity may challenge non-specialists, but overall communication is excellent."
Bergeron et al. 2024,open_science,62,50,74,"WVS data are public; appendices are detailed. However, no clear release of DRC microdata/code or preregistration; reproducibility may be partial. Sharing analysis scripts and survey microdata (de-identified) would substantially improve replicability."
Bergeron et al. 2024,global_relevance,83,75,90,"High relevance to development practice and policy: links perceived zero-sumness to beliefs, welfare, and well-being across contexts. Offers guidance for interventions that reduce zero-sum perceptions/competition externalities. Less immediately actionable for cost-effectiveness, but valuable for prioritizing socio-cultural levers."
Bettle 2023,overall,75,62,85,"Well-reasoned, practice-oriented framework for discounting RCT evidence in CEAs. Anchors guidance in replication/meta-science literature, separates internal vs external validity, offers actionable steps and a worked example. Biggest limitations: largely heuristic synthesis without new empirical validation; external validity guidance remains coarse; no implemented calculator or replication package. Still above-average usefulness for applied evaluators."
Bettle 2023,claims_evidence,72,60,80,"Key claims (Type M prevalent; Type S rare; external validity highly variable) are supported by credible sources (Gelman & Carlin, Vivalt, Camerer, OSC, Button, Ioannidis). Caveats are explicit. Some numerical rules-of-thumb (e.g., 50–60% Type M discount; 99% generalization spread) risk overgeneralization; RoBMA preprint cited cautiously."
Bettle 2023,methods,68,55,78,"Method is structured expert synthesis with literature-based heuristics and suggested Bayesian tools (retrodesign). Sound reasoning on power/publication bias; clear checklists. Limited original analysis; no formal uncertainty propagation across steps; potential double-count risks (e.g., Hawthorne across internal/external) noted but not fully formalized. Robustness depends on user implementation."
Bettle 2023,advancing_knowledge,72,60,85,"Adds practical value by operationalizing replication and generalizability discounts for CEAs, likely improving consistency across evaluations. Advances practice more than theory. Particularly useful for early-stage or sparse-evidence interventions; less novel for well-studied domains."
Bettle 2023,logic_communication,82,72,90,"Clear structure, definitions, and reasoning; good separation of internal vs external validity; step-by-step guidance and example. Transparent about uncertainties and limitations. Minor redundancies and reliance on figures external to the text; no formal decision tree or tool provided."
Bettle 2023,open_science,55,42,68,"Extensive referencing and links; encourages use of open tools (retrodesign). However, no shared code, datasets, or templates; no preregistration; no packaged calculator or replication materials. Internal consistency reasonable but not auditable via artifacts."
Bettle 2023,global_relevance,82,72,90,"Highly relevant to global health/development CEAs and charity recommendations; directly informs discounting of RCTs and quasi-experiments for policy/practice. Offers quantifiable adjustments and practitioner-focused guidance. General policymakers may need domain tailoring, but core insights travel well."
Bhat et al. 2022,overall,88,80,94,"Compelling long-run follow-up of two psychotherapy RCTs in India. Strong, policy-relevant mental-health impacts (HAP) at 5 years, rigorous behavioral outcomes, careful analysis (DML, FDR), and clear nulls on economic outcomes. Communication and framing are excellent. Limitations: 24% attrition (balanced), limited power for THPP/heterogeneity, some PAP deviations, partial reliance on self-reports, and external validity constraints."
Bhat et al. 2022,claims_evidence,87,78,93,"Main claims—persistent depression reduction (HAP), changes in belief-updating/overconfidence, no long-run economic gains—are well-supported by ITT estimates, PHQ-9 thresholds, incentivized tasks, and robustness checks with FDR. Expert-forecast benchmarking strengthens interpretation. Caveats: effects concentrated in HAP; belief-updating inference relies on task comprehension/model; mediation is exploratory; preference indices partly driven by self-assessments."
Bhat et al. 2022,methods,84,74,90,"Sound RCT foundations with 4–5y tracking (76%), balanced attrition, DML controls, FDR within families, and transparent PAP deviations. Belief-updating modeled via logit-Bayes with robustness to exclusion rules. Assumptions reasonable. Weaknesses: limited power in THPP, many outcomes with partial multiplicity control, some unplanned modules, external validity constraints."
Bhat et al. 2022,advancing_knowledge,86,77,93,Provides rare long-run evidence on non-specialist psychotherapy’s persistence and cost-effectiveness; integrates behavioral-economics measures of confidence updating in LMICs; challenges depressive realism via causal evidence; documents important nulls on economic outcomes. High value for global mental health and development economics.
Bhat et al. 2022,logic_communication,90,82,96,"Clear questions, precise constructs, logical flow, and transparent reasoning. Detailed appendices, figures, and robustness. Deviations from PAP are disclosed; multiple-testing corrections explained. Minor scope to streamline generalizability discussion and emphasize limits of self-reported preference measures."
Bhat et al. 2022,open_science,72,60,85,"IRB approval, AEA pre-registration (AEARCTR-0003823), extensive appendices, and expert-forecast pre-specification. However, public availability of data/code is unclear; some outcomes were added post-PAP; not all materials appear archived for replication."
Bhat et al. 2022,global_relevance,92,85,97,"High relevance to global priorities: scalable, low-cost psychotherapy in LMICs; ~9 months of depression averted over 5 years at ~$7/month; insights on demand formation and belief updating; policy-relevant nulls for economic outcomes. Applicability broad but sample largely female in Goa with labor-market constraints."
Bhattacharya and Packalen 2020,overall,71,60,82,"Compelling, clear argument that citation-centric incentives depress exploration, with plausible mechanism and actionable proposals (novelty/edge metrics). Draws on credible literature and authors’ prior work. However, causal evidence is limited, and the paper adds little new empirical analysis or open materials. Strong but not elite."
Bhattacharya and Packalen 2020,claims_evidence,62,50,75,"Main claims are explicit and supported by case studies (PCR, CRISPR), cited empirical literature (e.g., HHMI natural experiment), and a simple model. Evidence is largely suggestive; the causal link from citation incentives to stagnation is not rigorously identified, and alternative explanations receive limited testing."
Bhattacharya and Packalen 2020,methods,48,35,60,"Relies on a stylized lifecycle model and narrative review. The novelty-versus-impact illustration leans on prior text-mining work without methodological detail, robustness checks, or shared code. Assumptions (e.g., mapping terms to ideas) are plausible but not validated here."
Bhattacharya and Packalen 2020,advancing_knowledge,74,60,85,Reframes incentive design by proposing to measure and reward novelty alongside impact; delineates roles for search engines and funders. Provides a unifying conceptual framework with policy relevance. Limited by absence of implementation trials or quantitative policy evaluation in this paper.
Bhattacharya and Packalen 2020,logic_communication,78,68,88,"Lucid, well-structured narrative; figures effectively convey the lifecycle concept. Assumptions and steps are mostly explicit. Some overreach when moving from correlational evidence to macro-stagnation conclusions, but overall reasoning is coherent and persuasive."
Bhattacharya and Packalen 2020,open_science,35,20,50,"No shared data or code; empirical illustration not reproducible from this paper. Sources are clearly cited, but tools/resources are not provided. Relies on prior datasets and proprietary platforms; limited transparency hinders replication."
Bhattacharya and Packalen 2020,global_relevance,82,70,92,Highly pertinent to global research policy and innovation portfolios; recommendations could shift incentives toward higher-risk exploration across fields and countries. Practicality is decent but lacks detailed implementation playbooks and quantified impact/cost analyses.
Bruers 2021,overall,55,40,70,"Addresses an important, policy-relevant question with a novel framing. Communication is transparent about severe limitations. However, contingent valuation with highly hypothetical scenarios, extreme skew/outliers, small effective samples, and ad hoc exclusions make quantitative estimates fragile. Good for qualitative insight and agenda-setting, weak for calibration."
Bruers 2021,claims_evidence,45,30,60,"Claims that many view farm-animal lives as not worth living and that chicken welfare costs dominate are partly supported by medians and nonparametrics. However, evidence hinges on fragile CV responses, sensitivity to exclusion/outlier rules, low power, and an unvalidated representative-agent mapping. Authors appropriately flag uncertainty; quantitative claims remain tentative."
Bruers 2021,methods,35,20,50,"Uses online panel, randomized ordering, certainty scales, and nonparametric tests. Yet scenario is extremely hypothetical/transformative; high inconsistency and attrition; low power; arbitrary outlier handling; large WTA–WTP gaps; limited robustness to analytic choices; no pre-registration or multiple-testing corrections. Suitable for exploratory work, not precise estimation."
Bruers 2021,advancing_knowledge,60,45,75,"Contributes by explicitly monetizing animal-welfare externalities and linking them to optimal meat taxation and climate externalities. Highlights misalignment between consumer concern and welfare impact. Though estimates are too fragile for policy calibration, the conceptual framework and qualitative insights advance discussion and future research directions."
Bruers 2021,logic_communication,65,50,80,Clear statement of goals; solid theoretical setup; assumptions mostly explicit; tables and sensitivity analyses aid transparency. Limitations are candidly discussed. Some conceptual leaps (representative-agent WTP equating to welfare costs; critical-level interpretations) and complexity may confuse; nonetheless generally coherent and careful.
Bruers 2021,open_science,35,20,55,"Procedures and key survey items are described, but no public data, code, or pre-registration are provided. Results are highly sensitive to analytic choices, increasing the need for open materials. Replicability is therefore limited despite reasonable methodological description."
Bruers 2021,global_relevance,70,55,85,"Highly relevant to global priorities and animal welfare policy, with implications for meat taxation and consumer guidance (e.g., chicken). External validity beyond Belgium and quantitative reliability limit immediate decision-use, but the work is useful for agenda-setting and highlighting multi-externality interactions."
Buntaine et al. 2023,overall,93,88,97,"Nationwide randomized field experiment with strong identification, mechanism and spillover tests, and sizable, policy-relevant effects. Robust analyses and clear results. Minor weaknesses: partial general-equilibrium design (95% vs 70% only), external validity beyond China, and modest openness of data/code."
Buntaine et al. 2023,claims_evidence,94,90,97,"Main claims align directly with randomized assignments (public vs private appeals), visibility manipulation, and cross-randomized intensity. Strong fixed-effects designs, appropriate clustering, event studies, and falsification tests (manipulation checks). Some mechanism evidence (career incentives) is partly correlational."
